moa	p_value	Freq	normalised_freq	count_lists_with_drugs	normalised_count_lists_with_drugs	score
electrolyte reabsorption inhibitor	0.00114171	2	0.133333333	2	0.285714286	0.2247619048
FLT3 inhibitor	0.194402699	2	0.133333333	2	0.285714286	0.2247619048
HDAC inhibitor	0.476246402	2	0.133333333	2	0.285714286	0.2247619048
PPAR receptor agonist	0.320725554	2	0.133333333	1	0.142857143	0.139047619
retinoid receptor agonist	0.169782604	2	0.133333333	1	0.142857143	0.139047619
sodium channel blocker	0.498286524	2	0.133333333	1	0.142857143	0.139047619
sodium/potassium/chloride transporter inhibitor	0.006547442	2	0.133333333	1	0.142857143	0.139047619
thromboxane receptor antagonist	0.015648989	2	0.133333333	2	0.285714286	0.2247619048
tricyclic antidepressant	0.015648989	2	0.133333333	2	0.285714286	0.2247619048
tyrosine kinase inhibitor	0.244720319	2	0.133333333	2	0.285714286	0.2247619048
5 alpha reductase inhibitor	0.158263427	1	0.066666667	1	0.142857143	0.1123809526
adenosine receptor antagonist	0.711591683	1	0.066666667	1	0.142857143	0.1123809526
adrenergic neuron blocker	0.033860713	1	0.066666667	1	0.142857143	0.1123809526
ALK tyrosine kinase receptor inhibitor	0.424075719	1	0.066666667	1	0.142857143	0.1123809526
angiotensin converting enzyme inhibitor	0.577995852	1	0.066666667	1	0.142857143	0.1123809526
antioxidant	0.730894816	1	0.066666667	1	0.142857143	0.1123809526
aromatic L-amino acid decarboxylase inhibitor	0.033860713	1	0.066666667	1	0.142857143	0.1123809526
bacterial 50S ribosomal subunit inhibitor	0.498389754	1	0.066666667	1	0.142857143	0.1123809526
bacterial cell wall synthesis inhibitor	0.965463873	1	0.066666667	1	0.142857143	0.1123809526
bacterial DNA gyrase inhibitor	0.668753024	1	0.066666667	1	0.142857143	0.1123809526
Bcr-Abl kinase inhibitor	0.4038446	1	0.066666667	1	0.142857143	0.1123809526
benzodiazepine receptor agonist	0.680022606	1	0.066666667	1	0.142857143	0.1123809526
calcineurin inhibitor	0.186786315	1	0.066666667	1	0.142857143	0.1123809526
carbonic anhydrase activator	0.033860713	1	0.066666667	1	0.142857143	0.1123809526
carboxamide antiepileptic	0.033860713	1	0.066666667	1	0.142857143	0.1123809526
catechol O methyltransferase inhibitor	0.186786315	1	0.066666667	1	0.142857143	0.1123809526
chloride channel blocker	0.214346761	1	0.066666667	1	0.142857143	0.1123809526
chloride reabsorption inhibitor	0.033860713	1	0.066666667	1	0.142857143	0.1123809526
cyclooxygenase inhibitor	0.987495749	1	0.066666667	1	0.142857143	0.1123809526
cytochrome P450 inhibitor	0.701429272	1	0.066666667	1	0.142857143	0.1123809526
cytokine production inhibitor	0.186786315	1	0.066666667	1	0.142857143	0.1123809526
dehydrogenase inhibitor	0.128744641	1	0.066666667	1	0.142857143	0.1123809526
dipeptidyl peptidase inhibitor	0.462509962	1	0.066666667	1	0.142857143	0.1123809526
dopamine reuptake inhibitor	0.443623171	1	0.066666667	1	0.142857143	0.1123809526
EGFR inhibitor	0.874577042	1	0.066666667	1	0.142857143	0.1123809526
ephrin inhibitor	0.066579715	1	0.066666667	1	0.142857143	0.1123809526
estrogen receptor antagonist	0.382906014	1	0.066666667	1	0.142857143	0.1123809526
GABA aminotransferase inhibitor	0.033860713	1	0.066666667	1	0.142857143	0.1123809526
GABA uptake inhibitor	0.186786315	1	0.066666667	1	0.142857143	0.1123809526
glucosidase inhibitor	0.240977103	1	0.066666667	1	0.142857143	0.1123809526
heme oxygenase inhibitor	0.033860713	1	0.066666667	1	0.142857143	0.1123809526
hemoglobin antagonist	0.033860713	1	0.066666667	1	0.142857143	0.1123809526
histamine receptor agonist	0.480758327	1	0.066666667	1	0.142857143	0.1123809526
histamine receptor antagonist	0.941692699	1	0.066666667	1	0.142857143	0.1123809526
HMGCR inhibitor	0.338807071	1	0.066666667	1	0.142857143	0.1123809526
HSP inhibitor	0.577995852	1	0.066666667	1	0.142857143	0.1123809526
hydantoin antiepileptic	0.098195341	1	0.066666667	1	0.142857143	0.1123809526
inositol monophosphatase inhibitor	0.158263427	1	0.066666667	1	0.142857143	0.1123809526
insulin sensitizer	0.291571454	1	0.066666667	1	0.142857143	0.1123809526
kainate receptor antagonist	0.098195341	1	0.066666667	1	0.142857143	0.1123809526
LDL oxidation inhibitor	0.033860713	1	0.066666667	1	0.142857143	0.1123809526
melanin inhibitor	0.128744641	1	0.066666667	1	0.142857143	0.1123809526
melatonin receptor agonist	0.315594871	1	0.066666667	1	0.142857143	0.1123809526
membrane integrity inhibitor	0.266708597	1	0.066666667	1	0.142857143	0.1123809526
membrane permeability enhancer	0.098195341	1	0.066666667	1	0.142857143	0.1123809526
mTOR inhibitor	0.721409656	1	0.066666667	1	0.142857143	0.1123809526
mucolytic agent	0.361235331	1	0.066666667	1	0.142857143	0.1123809526
neurotransmitter	0.066579715	1	0.066666667	1	0.142857143	0.1123809526
NFkB pathway inhibitor	0.668753024	1	0.066666667	1	0.142857143	0.1123809526
nitric oxide synthase inhibitor	0.56315116	1	0.066666667	1	0.142857143	0.1123809526
norepinephrine inhibitor	0.066579715	1	0.066666667	1	0.142857143	0.1123809526
norepinephrine precursor	0.033860713	1	0.066666667	1	0.142857143	0.1123809526
norepinephrine reputake inhibitor	0.186786315	1	0.066666667	1	0.142857143	0.1123809526
norepinephrine transporter inhibitor	0.066579715	1	0.066666667	1	0.142857143	0.1123809526
oxazolidine antiepileptic	0.066579715	1	0.066666667	1	0.142857143	0.1123809526
phospholipase activator	0.098195341	1	0.066666667	1	0.142857143	0.1123809526
PKC inhibitor	0.480758327	1	0.066666667	1	0.142857143	0.1123809526
platelet aggregation inhibitor	0.266708597	1	0.066666667	1	0.142857143	0.1123809526
protein synthesis stimulant	0.158263427	1	0.066666667	1	0.142857143	0.1123809526
RAF inhibitor	0.54778664	1	0.066666667	1	0.142857143	0.1123809526
retinoid receptor ligand	0.098195341	1	0.066666667	1	0.142857143	0.1123809526
RNA polymerase inhibitor	0.4038446	1	0.066666667	1	0.142857143	0.1123809526
RNA synthesis inhibitor	0.240977103	1	0.066666667	1	0.142857143	0.1123809526
selective estrogen receptor modulator (SERM)	0.315594871	1	0.066666667	1	0.142857143	0.1123809526
serotonin transporter (SERT) inhibitor	0.066579715	1	0.066666667	1	0.142857143	0.1123809526
serotonin?€“norepinephrine reuptake inhibitor (SNRI)	0.214346761	1	0.066666667	1	0.142857143	0.1123809526
SIRT activator	0.098195341	1	0.066666667	1	0.142857143	0.1123809526
solute carrier family member inhibitor	0.128744641	1	0.066666667	1	0.142857143	0.1123809526
SRC inhibitor	0.515425012	1	0.066666667	1	0.142857143	0.1123809526
sterol demethylase inhibitor	0.382906014	1	0.066666667	1	0.142857143	0.1123809526
thromboxane synthase inhibitor	0.214346761	1	0.066666667	1	0.142857143	0.1123809526
thymidine phosphorylase inhibitor	0.033860713	1	0.066666667	1	0.142857143	0.1123809526
thyroid hormone stimulant	0.128744641	1	0.066666667	1	0.142857143	0.1123809526
topoisomerase inhibitor	0.803019341	1	0.066666667	1	0.142857143	0.1123809526
TP53 activator	0.098195341	1	0.066666667	1	0.142857143	0.1123809526
tumor necrosis factor production inhibitor	0.240977103	1	0.066666667	1	0.142857143	0.1123809526
vitamin B	0.266708597	1	0.066666667	1	0.142857143	0.1123809526
xanthine oxidase inhibitor	0.158263427	1	0.066666667	1	0.142857143	0.1123809526
