pathway	p_value	Freq_of_paths	count_lists_with_drugs	normalised_freq.freq.max.	normalised_count_lists_with_drugs	sum_of_norm_freq_norm_count_lists	product_of_norm_freq_norm_count_lists	score
Arginine biosynthesis	0.782447432	8	7	0.032520325	0.170731707	0.203252033	0.005552251	0.1154471542
Arrhythmogenic right ventricular cardiomyopathy	0.816728444	11	10	0.044715447	0.243902439	0.288617886	0.010906207	0.1642276422
Ascorbate and aldarate metabolism	0.545514301	3	3	0.012195122	0.073170732	0.085365854	0.000892326	0.048780488
Asthma	0.729409215	4	4	0.016260163	0.097560976	0.113821138	0.001586357	0.0650406508
Autoimmune thyroid disease	0.787136486	1	1	0.004065041	0.024390244	0.028455285	9.91473e-05	0.0162601628
Autophagy	0.99993709	26	15	0.105691057	0.365853659	0.471544715	0.03866746	0.2617886182
Axon guidance	0.813764584	48	22	0.195121951	0.536585366	0.731707317	0.104699584	0.4
B cell receptor signaling pathway	0.931054414	33	16	0.134146341	0.390243902	0.524390244	0.052349792	0.2878048776
Bacterial invasion of epithelial cells	0.997760943	13	9	0.052845528	0.219512195	0.272357724	0.011600238	0.1528455282
Basal cell carcinoma	0.975473926	8	6	0.032520325	0.146341463	0.178861789	0.004759072	0.1008130078
Basal transcription factors	0.929510696	1	1	0.004065041	0.024390244	0.028455285	9.91473e-05	0.0162601628
Base excision repair	0.986558523	2	2	0.008130081	0.048780488	0.056910569	0.000396589	0.0325203252
beta-Alanine metabolism	0.213321123	7	7	0.028455285	0.170731707	0.199186992	0.004858219	0.1138211382
Bile secretion	0.001626024	61	26	0.24796748	0.634146341	0.882113821	0.15724767	0.4796747966
Bladder cancer	0.10515716	52	17	0.211382114	0.414634146	0.62601626	0.087646242	0.3333333332
Breast cancer	0.616039806	85	25	0.345528455	0.609756098	0.955284553	0.210688082	0.5040650408
Butanoate metabolism	0.491589926	4	4	0.016260163	0.097560976	0.113821138	0.001586357	0.0650406508
Caffeine metabolism	0.898276544	3	3	0.012195122	0.073170732	0.085365854	0.000892326	0.048780488
Calcium signaling pathway	0.051211083	246	41	1	1	2	1	1
cAMP signaling pathway	0.530694709	191	39	0.776422764	0.951219512	1.727642276	0.738548483	0.8813008128
Carbohydrate digestion and absorption	0.988900651	17	15	0.069105691	0.365853659	0.43495935	0.02528257	0.2471544718
Cardiac muscle contraction	0.700104753	12	11	0.048780488	0.268292683	0.317073171	0.013087448	0.180487805
Cell adhesion molecules	0.953796251	3	3	0.012195122	0.073170732	0.085365854	0.000892326	0.048780488
Cell cycle	0.269536225	45	23	0.182926829	0.56097561	0.743902439	0.10261749	0.4097560976
Cellular senescence	0.999981389	39	25	0.158536585	0.609756098	0.768292683	0.09666865	0.4292682928
Central carbon metabolism in cancer	0.684004105	68	22	0.276422764	0.536585366	0.81300813	0.14832441	0.4325203252
cGMP-PKG signaling pathway	0.0042707	148	36	0.601626016	0.87804878	1.479674797	0.52825699	0.7674796744
Chagas disease	0.267608062	57	18	0.231707317	0.43902439	0.670731707	0.101725164	0.3560975608
Chemical carcinogenesis	0.178011623	185	36	0.75203252	0.87804878	1.630081301	0.660321237	0.827642276
Chemokine signaling pathway	0.994949169	50	18	0.203252033	0.43902439	0.642276423	0.0892326	0.3447154472
Cholesterol metabolism	0.348296888	7	7	0.028455285	0.170731707	0.199186992	0.004858219	0.1138211382
Choline metabolism in cancer	0.325790172	62	19	0.25203252	0.463414634	0.715447154	0.116795558	0.3788617884
Cholinergic synapse	0.059802299	100	32	0.406504065	0.780487805	1.18699187	0.317271465	0.630894309
Chronic myeloid leukemia	0.546100104	52	24	0.211382114	0.585365854	0.796747967	0.123735872	0.435772358
Circadian entrainment	0.582016656	43	26	0.174796748	0.634146341	0.808943089	0.110846718	0.4504065038
Circadian rhythm	0.013619181	9	7	0.036585366	0.170731707	0.207317073	0.006246282	0.1170731706
Citrate cycle (TCA cycle)	0.395005198	4	4	0.016260163	0.097560976	0.113821138	0.001586357	0.0650406508
Cocaine addiction	7.21e-05	97	29	0.394308943	0.707317073	1.101626016	0.278901448	0.582113821
Collecting duct acid secretion	0.672910535	10	7	0.040650407	0.170731707	0.211382114	0.006940313	0.118699187
Colorectal cancer	0.9966546	44	17	0.178861789	0.414634146	0.593495935	0.074162205	0.3203252032
Complement and coagulation cascades	0.945205463	4	4	0.016260163	0.097560976	0.113821138	0.001586357	0.0650406508
Coronavirus disease	0.16818488	81	20	0.329268293	0.487804878	0.817073171	0.160618679	0.424390244
Cortisol synthesis and secretion	7.81e-07	43	23	0.174796748	0.56097561	0.735772358	0.098056712	0.4065040652
C-type lectin receptor signaling pathway	0.307123925	75	26	0.304878049	0.634146341	0.93902439	0.193337299	0.5024390242
Cushing syndrome	0.004068246	79	30	0.321138211	0.731707317	1.052845528	0.234979179	0.5674796746
Cysteine and methionine metabolism	0.983042816	3	3	0.012195122	0.073170732	0.085365854	0.000892326	0.048780488
Cytokine-cytokine receptor interaction	0.55349564	24	15	0.097560976	0.365853659	0.463414634	0.03569304	0.2585365858
Cytosolic DNA-sensing pathway	0.37155669	10	7	0.040650407	0.170731707	0.211382114	0.006940313	0.118699187
D-Glutamine and D-glutamate metabolism	0.586887909	1	1	0.004065041	0.024390244	0.028455285	9.91473e-05	0.0162601628
Diabetic cardiomyopathy	0.859937547	66	21	0.268292683	0.512195122	0.780487805	0.137418203	0.4146341464
Dilated cardiomyopathy	0.023925757	42	21	0.170731707	0.512195122	0.682926829	0.087447948	0.375609756
DNA replication	0.787136486	1	1	0.004065041	0.024390244	0.028455285	9.91473e-05	0.0162601628
Dopaminergic synapse	0.000847044	122	36	0.495934959	0.87804878	1.37398374	0.435455086	0.7252032516
Drug metabolism	0.789309326	30	19	0.12195122	0.463414634	0.585365854	0.05651398	0.3268292684
ECM-receptor interaction	0.928473005	2	2	0.008130081	0.048780488	0.056910569	0.000396589	0.0325203252
Endocrine and other factor-regulated calcium reabsorption	0.097059789	34	18	0.138211382	0.43902439	0.577235772	0.060678168	0.3186991868
Endocytosis	0.06542931	49	15	0.199186992	0.365853659	0.56504065	0.07287329	0.2991869922
Endometrial cancer	0.957128031	37	15	0.150406504	0.365853659	0.516260163	0.05502677	0.279674797
Epithelial cell signaling in Helicobacter pylori infection	0.460924663	46	15	0.18699187	0.365853659	0.552845528	0.06841166	0.2943089434
Epstein-Barr virus infection	0.996833976	53	23	0.215447154	0.56097561	0.776422764	0.120860599	0.4227642276
ErbB signaling pathway	0.804221647	55	19	0.223577236	0.463414634	0.68699187	0.103608963	0.3674796748
Estrogen signaling pathway	0.732055103	91	30	0.369918699	0.731707317	1.101626016	0.270672219	0.5869918698
Ether lipid metabolism	0.427105324	9	9	0.036585366	0.219512195	0.256097561	0.008030934	0.1463414634
Fat digestion and absorption	0.048394337	15	11	0.06097561	0.268292683	0.329268293	0.01635931	0.1853658538
Fatty acid biosynthesis	0.064946559	7	7	0.028455285	0.170731707	0.199186992	0.004858219	0.1138211382
Fatty acid degradation	0.011867168	10	10	0.040650407	0.243902439	0.284552846	0.009914733	0.1626016262
Fc epsilon RI signaling pathway	0.998126962	32	16	0.130081301	0.390243902	0.520325203	0.050763434	0.2861788616
Fc gamma R-mediated phagocytosis	0.996154292	22	12	0.089430894	0.292682927	0.382113821	0.026174896	0.2113821138
Ferroptosis	0.126359536	8	8	0.032520325	0.195121951	0.227642276	0.006345429	0.1300813006
Fluid shear stress and atherosclerosis	0.737789628	77	25	0.31300813	0.609756098	0.922764228	0.190858616	0.4910569108
Focal adhesion	0.949038602	71	18	0.288617886	0.43902439	0.727642276	0.126710291	0.3788617884
Folate biosynthesis	0.016291892	17	10	0.069105691	0.243902439	0.31300813	0.016855047	0.1739837398
FoxO signaling pathway	0.999930732	51	18	0.207317073	0.43902439	0.646341463	0.091017252	0.3463414632
Fructose and mannose metabolism	0.086112321	9	4	0.036585366	0.097560976	0.134146341	0.003569304	0.073170732
GABAergic synapse	0.489958364	40	25	0.162601626	0.609756098	0.772357724	0.099147333	0.4308943092
Galactose metabolism	0.304593763	9	4	0.036585366	0.097560976	0.134146341	0.003569304	0.073170732
Gap junction	7.11e-09	171	35	0.695121951	0.853658537	1.548780488	0.593396788	0.7902439026
Gastric acid secretion	7.29e-07	89	34	0.361788618	0.829268293	1.191056911	0.300019829	0.642276423
Gastric cancer	0.982125662	61	17	0.24796748	0.414634146	0.662601626	0.102815784	0.3479674796
Glioma	0.064724071	74	26	0.300813008	0.634146341	0.93495935	0.190759469	0.5008130078
Glucagon signaling pathway	0.056642151	39	25	0.158536585	0.609756098	0.768292683	0.09666865	0.4292682928
Glutamatergic synapse	0.999943952	26	19	0.105691057	0.463414634	0.569105691	0.048978782	0.3203252032
Glutathione metabolism	0.995836674	3	3	0.012195122	0.073170732	0.085365854	0.000892326	0.048780488
Glycerolipid metabolism	0.091255415	14	6	0.056910569	0.146341463	0.203252033	0.008328376	0.1105691054
Glycerophospholipid metabolism	0.001668948	28	13	0.113821138	0.317073171	0.430894309	0.036089629	0.2357723578
Glycine, serine and threonine metabolism	0.960774449	6	6	0.024390244	0.146341463	0.170731707	0.003569304	0.0975609754
Glycolysis / Gluconeogenesis	0.888813062	4	4	0.016260163	0.097560976	0.113821138	0.001586357	0.0650406508
Glyoxylate and dicarboxylate metabolism	0.53742697	4	4	0.016260163	0.097560976	0.113821138	0.001586357	0.0650406508
GnRH secretion	0.471400583	56	25	0.227642276	0.609756098	0.837398374	0.138806266	0.4569105692
GnRH signaling pathway	0.144009027	65	26	0.264227642	0.634146341	0.898373984	0.167558993	0.4861788614
Graft-versus-host disease	0.313173587	7	7	0.028455285	0.170731707	0.199186992	0.004858219	0.1138211382
Growth hormone synthesis, secretion and action	0.999333934	41	19	0.166666667	0.463414634	0.630081301	0.077235772	0.3447154472
Hedgehog signaling pathway	0.982563253	10	8	0.040650407	0.195121951	0.235772358	0.007931787	0.1333333334
Hematopoietic cell lineage	8.85e-05	38	16	0.154471545	0.390243902	0.544715447	0.060281578	0.2959349592
Hepatitis B	0.999773372	53	19	0.215447154	0.463414634	0.678861789	0.099841364	0.364227642
Hepatitis C	0.969065589	62	23	0.25203252	0.56097561	0.81300813	0.141384097	0.437398374
Hepatocellular carcinoma	0.999606696	48	19	0.195121951	0.463414634	0.658536585	0.090422368	0.3560975608
Herpes simplex virus 1 infection	0.99972801	35	18	0.142276423	0.43902439	0.581300813	0.06246282	0.3203252032
HIF-1 signaling pathway	0.679312395	71	20	0.288617886	0.487804878	0.776422764	0.140789213	0.4081300812
Hippo signaling pathway	0.990848069	11	8	0.044715447	0.195121951	0.239837398	0.008724965	0.1349593494
Histidine metabolism	0.902821021	7	7	0.028455285	0.170731707	0.199186992	0.004858219	0.1138211382
Homologous recombination	0.558613471	2	2	0.008130081	0.048780488	0.056910569	0.000396589	0.0325203252
Human cytomegalovirus infection	0.386561887	128	32	0.520325203	0.780487805	1.300813008	0.406107476	0.6764227642
Human immunodeficiency virus 1 infection	0.999391825	49	23	0.199186992	0.56097561	0.760162602	0.111739044	0.4162601628
Human papillomavirus infection	0.241383925	124	31	0.504065041	0.756097561	1.260162602	0.381122348	0.655284553
Human T-cell leukemia virus 1 infection	0.999925687	43	21	0.174796748	0.512195122	0.68699187	0.089530042	0.3772357724
Huntington disease	0.489684886	69	28	0.280487805	0.682926829	0.963414634	0.191552647	0.5219512194
Hypertrophic cardiomyopathy	0.000495351	39	14	0.158536585	0.341463415	0.5	0.054134444	0.268292683
IL-17 signaling pathway	0.670599188	53	20	0.215447154	0.487804878	0.703252033	0.105096173	0.3788617884
Inflammatory bowel disease	0.041663333	22	12	0.089430894	0.292682927	0.382113821	0.026174896	0.2113821138
Inflammatory mediator regulation of TRP channels	0.026429789	113	34	0.459349593	0.829268293	1.288617886	0.380924053	0.681300813
Influenza A	0.995010237	42	21	0.170731707	0.512195122	0.682926829	0.087447948	0.375609756
Inositol phosphate metabolism	0.996884169	5	5	0.020325203	0.12195122	0.142276423	0.002478683	0.0813008132
Insulin resistance	0.999215083	40	21	0.162601626	0.512195122	0.674796748	0.08328376	0.3723577236
Insulin secretion	4.36e-05	79	34	0.321138211	0.829268293	1.150406504	0.266309736	0.6260162602
Insulin signaling pathway	0.939387711	50	26	0.203252033	0.634146341	0.837398374	0.128891533	0.4617886178
JAK-STAT signaling pathway	0.085408211	71	20	0.288617886	0.487804878	0.776422764	0.140789213	0.4081300812
Kaposi sarcoma-associated herpesvirus infection	0.972936189	85	29	0.345528455	0.707317073	1.052845528	0.244398176	0.5626016258
Legionellosis	0.553816271	15	11	0.06097561	0.268292683	0.329268293	0.01635931	0.1853658538
Leishmaniasis	0.112848852	62	22	0.25203252	0.536585366	0.788617886	0.135236962	0.4227642276
Leukocyte transendothelial migration	0.996409914	23	14	0.093495935	0.341463415	0.43495935	0.031925441	0.242276423
Linoleic acid metabolism	0.266944754	20	16	0.081300813	0.390243902	0.471544715	0.031727147	0.2666666664
Lipid and atherosclerosis	0.9844859	85	28	0.345528455	0.682926829	1.028455285	0.235970652	0.5479674794
Longevity regulating pathway	0.301518417	59	25	0.239837398	0.609756098	0.849593496	0.146242316	0.461788618
Long-term depression	0.983707925	25	15	0.101626016	0.365853659	0.467479675	0.03718025	0.2601626018
Long-term potentiation	0.959759403	40	22	0.162601626	0.536585366	0.699186992	0.087249653	0.38699187
Lysine degradation	0.998426298	2	2	0.008130081	0.048780488	0.056910569	0.000396589	0.0325203252
Lysosome	0.912777838	3	3	0.012195122	0.073170732	0.085365854	0.000892326	0.048780488
Malaria	0.726961204	16	13	0.06504065	0.317073171	0.382113821	0.020622645	0.2162601626
MAPK signaling pathway	0.21742769	109	31	0.443089431	0.756097561	1.199186992	0.335018838	0.630894309
Measles	0.994578722	41	19	0.166666667	0.463414634	0.630081301	0.077235772	0.3447154472
Melanogenesis	5.76e-05	58	26	0.235772358	0.634146341	0.869918699	0.149514178	0.4747967478
Melanoma	0.358041075	62	21	0.25203252	0.512195122	0.764227642	0.129089827	0.4081300812
Metabolism of xenobiotics by cytochrome P450	0.403868395	21	18	0.085365854	0.43902439	0.524390244	0.037477692	0.2975609756
MicroRNAs in cancer	0.214097416	130	32	0.528455285	0.780487805	1.308943089	0.412452905	0.679674797
Mineral absorption	0.020223074	19	9	0.077235772	0.219512195	0.296747967	0.016954194	0.1626016258
Mismatch repair	0.484707946	1	1	0.004065041	0.024390244	0.028455285	9.91473e-05	0.0162601628
Mitophagy	0.254178359	21	13	0.085365854	0.317073171	0.402439024	0.027067222	0.2243902442
Morphine addiction	0.000106833	90	32	0.365853659	0.780487805	1.146341463	0.285544319	0.6146341466
mTOR signaling pathway	0.998386948	34	17	0.138211382	0.414634146	0.552845528	0.057307158	0.3040650404
Natural killer cell mediated cytotoxicity	0.852066091	33	18	0.134146341	0.43902439	0.573170732	0.058893516	0.3170731704
Necroptosis	0.974078202	29	18	0.117886179	0.43902439	0.556910569	0.051754908	0.3105691056
Neuroactive ligand-receptor interaction	0.999999933	207	36	0.841463415	0.87804878	1.719512195	0.738845925	0.863414634
Neurotrophin signaling pathway	0.819583093	58	24	0.235772358	0.585365854	0.821138211	0.138013087	0.4455284556
Neutrophil extracellular trap formation	0.921493793	56	23	0.227642276	0.56097561	0.788617886	0.127701765	0.4276422764
NF-kappa B signaling pathway	0.240814376	59	21	0.239837398	0.512195122	0.75203252	0.122843546	0.4032520324
Nicotinate and nicotinamide metabolism	0.983042816	3	3	0.012195122	0.073170732	0.085365854	0.000892326	0.048780488
Nicotine addiction	0.999996791	14	11	0.056910569	0.268292683	0.325203252	0.015268689	0.1837398374
Nitrogen metabolism	0.624021547	10	8	0.040650407	0.195121951	0.235772358	0.007931787	0.1333333334
NOD-like receptor signaling pathway	0.990432825	37	16	0.150406504	0.390243902	0.540650407	0.058695221	0.2943089428
Non-alcoholic fatty liver disease	0.760972385	56	22	0.227642276	0.536585366	0.764227642	0.122149514	0.41300813
Non-homologous end-joining	0.890322017	1	1	0.004065041	0.024390244	0.028455285	9.91473e-05	0.0162601628
Non-small cell lung cancer	0.285664676	72	21	0.292682927	0.512195122	0.804878049	0.149910767	0.424390244
Notch signaling pathway	0.040559652	16	10	0.06504065	0.243902439	0.308943089	0.015863573	0.1723577234
Nucleotide excision repair	0.855638335	2	2	0.008130081	0.048780488	0.056910569	0.000396589	0.0325203252
Olfactory transduction	0.010110717	16	14	0.06504065	0.341463415	0.406504065	0.022209003	0.230894309
One carbon pool by folate	0.662146513	6	4	0.024390244	0.097560976	0.12195122	0.002379536	0.0682926832
Oocyte meiosis	0.995338181	36	22	0.146341463	0.536585366	0.682926829	0.078524688	0.3804878048
Osteoclast differentiation	0.546056247	65	27	0.264227642	0.658536585	0.922764228	0.174003569	0.5008130078
Ovarian steroidogenesis	0.001044949	58	27	0.235772358	0.658536585	0.894308943	0.155264723	0.4894308942
Oxidative phosphorylation	0.491589926	4	3	0.016260163	0.073170732	0.089430894	0.001189768	0.0504065044
Oxytocin signaling pathway	0.001517963	110	32	0.447154472	0.780487805	1.227642276	0.348998612	0.6471544718
p53 signaling pathway	0.996992146	15	13	0.06097561	0.317073171	0.37804878	0.01933373	0.2146341466
Pancreatic cancer	0.995982001	51	20	0.207317073	0.487804878	0.695121951	0.10113028	0.375609756
Pancreatic secretion	2.59e-07	84	34	0.341463415	0.829268293	1.170731707	0.283164783	0.6341463418
Pantothenate and CoA biosynthesis	0.722745935	3	3	0.012195122	0.073170732	0.085365854	0.000892326	0.048780488
Parathyroid hormone synthesis, secretion and action	2.3e-06	86	25	0.349593496	0.609756098	0.959349593	0.213166766	0.5056910572
Parkinson disease	4.5e-06	109	31	0.443089431	0.756097561	1.199186992	0.335018838	0.630894309
Pathogenic Escherichia coli infection	0.757820917	46	18	0.18699187	0.43902439	0.62601626	0.082093992	0.338211382
Pathways in cancer	0.932714236	205	39	0.833333333	0.951219512	1.784552846	0.792682927	0.9040650404
Pathways of neurodegeneration	0.608077006	154	36	0.62601626	0.87804878	1.504065041	0.549672814	0.777235772
PD-L1 expression and PD-1 checkpoint pathway in cancer	0.633517518	70	21	0.284552846	0.512195122	0.796747967	0.145746579	0.4211382116
Pentose and glucuronate interconversions	0.016326421	10	4	0.040650407	0.097560976	0.138211382	0.003965893	0.0747967484
Pentose phosphate pathway	0.890322017	1	1	0.004065041	0.024390244	0.028455285	9.91473e-05	0.0162601628
Peroxisome	0.738733256	10	8	0.040650407	0.195121951	0.235772358	0.007931787	0.1333333334
Pertussis	0.385917791	34	22	0.138211382	0.536585366	0.674796748	0.074162205	0.3772357724
Phagosome	0.441230877	18	8	0.073170732	0.195121951	0.268292683	0.014277216	0.1463414634
Phenylalanine metabolism	0.936472594	8	8	0.032520325	0.195121951	0.227642276	0.006345429	0.1300813006
Phenylalanine, tyrosine and tryptophan biosynthesis	0.720258532	2	2	0.008130081	0.048780488	0.056910569	0.000396589	0.0325203252
Phosphatidylinositol signaling system	0.285294288	20	16	0.081300813	0.390243902	0.471544715	0.031727147	0.2666666664
Phospholipase D signaling pathway	0.900334372	76	20	0.308943089	0.487804878	0.796747967	0.150703946	0.4162601624
Phototransduction	2.94e-09	17	14	0.069105691	0.341463415	0.410569106	0.023597065	0.2325203254
PI3K-Akt signaling pathway	0.544207548	141	34	0.573170732	0.829268293	1.402439024	0.475312314	0.7268292686
Platelet activation	0.82535335	65	20	0.264227642	0.487804878	0.75203252	0.128891533	0.3983739836
Porphyrin and chlorophyll metabolism	0.855638335	2	2	0.008130081	0.048780488	0.056910569	0.000396589	0.0325203252
PPAR signaling pathway	0.01193055	35	17	0.142276423	0.414634146	0.556910569	0.058992663	0.3056910568
Primary immunodeficiency	0.738733256	10	9	0.040650407	0.219512195	0.260162602	0.00892326	0.1479674798
Prion disease	0.857136748	56	22	0.227642276	0.536585366	0.764227642	0.122149514	0.41300813
Progesterone-mediated oocyte maturation	0.999999845	31	16	0.12601626	0.390243902	0.516260163	0.049177077	0.2845528452
Prolactin signaling pathway	0.999840388	43	20	0.174796748	0.487804878	0.662601626	0.085266706	0.362601626
Propanoate metabolism	0.086112321	9	9	0.036585366	0.219512195	0.256097561	0.008030934	0.1463414634
Prostate cancer	0.965519411	79	22	0.321138211	0.536585366	0.857723577	0.172318065	0.450406504
Proteasome	0.000352835	6	4	0.024390244	0.097560976	0.12195122	0.002379536	0.0682926832
Protein digestion and absorption	0.993476697	10	8	0.040650407	0.195121951	0.235772358	0.007931787	0.1333333334
Protein export	0	3	3	0.012195122	0.073170732	0.085365854	0.000892326	0.048780488
Protein processing in endoplasmic reticulum	0.997238795	7	6	0.028455285	0.146341463	0.174796748	0.004164188	0.0991869918
Proteoglycans in cancer	0.999356108	89	21	0.361788618	0.512195122	0.87398374	0.185306365	0.4520325204
Proximal tubule bicarbonate reclamation	0.827252224	10	9	0.040650407	0.219512195	0.260162602	0.00892326	0.1479674798
Purine metabolism	0.60014782	26	16	0.105691057	0.390243902	0.495934959	0.041245291	0.276422764
Pyrimidine metabolism	0.823199951	9	8	0.036585366	0.195121951	0.231707317	0.007138608	0.131707317
Pyruvate metabolism	0.139652189	10	9	0.040650407	0.219512195	0.260162602	0.00892326	0.1479674798
Rap1 signaling pathway	0.049712297	146	37	0.593495935	0.902439024	1.495934959	0.535593893	0.7788617884
Ras signaling pathway	0.001944714	134	33	0.544715447	0.804878049	1.349593496	0.438429506	0.7008130082
Regulation of actin cytoskeleton	0.017610661	103	34	0.418699187	0.829268293	1.24796748	0.34721396	0.6650406506
Regulation of lipolysis in adipocytes	0.030076511	90	30	0.365853659	0.731707317	1.097560976	0.267697799	0.5853658538
Relaxin signaling pathway	0.829411571	63	21	0.256097561	0.512195122	0.768292683	0.131171921	0.4097560976
Renal cell carcinoma	0.999493825	22	14	0.089430894	0.341463415	0.430894309	0.030537379	0.2406504066
Renin secretion	3.26e-05	92	26	0.37398374	0.634146341	1.008130081	0.23716042	0.5300813006
Renin-angiotensin system	3.75e-06	28	4	0.113821138	0.097560976	0.211382114	0.011104501	0.1040650408
Retinol metabolism	0.639656917	15	12	0.06097561	0.292682927	0.353658537	0.01784652	0.2000000002
Retrograde endocannabinoid signaling	0.78608663	71	28	0.288617886	0.682926829	0.971544715	0.197104898	0.5252032518
Rheumatoid arthritis	0.000182363	39	17	0.158536585	0.414634146	0.573170732	0.065734682	0.3121951216
Riboflavin metabolism	0.734483327	1	1	0.004065041	0.024390244	0.028455285	9.91473e-05	0.0162601628
Ribosome biogenesis in eukaryotes	0.048751686	5	4	0.020325203	0.097560976	0.117886179	0.001982947	0.0666666668
RIG-I-like receptor signaling pathway	0.933145365	15	10	0.06097561	0.243902439	0.304878049	0.0148721	0.1707317074
Salivary secretion	4.98e-08	117	36	0.475609756	0.87804878	1.353658537	0.417608566	0.7170731704
Salmonella infection	0.999973223	40	18	0.162601626	0.43902439	0.601626016	0.07138608	0.3284552844
Serotonergic synapse	0.000106088	173	40	0.703252033	0.975609756	1.678861789	0.686099544	0.8666666668
Shigellosis	0.999325773	56	17	0.227642276	0.414634146	0.642276423	0.094388261	0.339837398
Signaling pathways regulating pluripotency of stem cells	0.999366696	34	14	0.138211382	0.341463415	0.479674797	0.04719413	0.2601626018
Small cell lung cancer	0.690652256	64	22	0.260162602	0.536585366	0.796747967	0.139599445	0.4260162604
Sphingolipid metabolism	0.684219933	3	3	0.012195122	0.073170732	0.085365854	0.000892326	0.048780488
Sphingolipid signaling pathway	0.999999627	40	18	0.162601626	0.43902439	0.601626016	0.07138608	0.3284552844
Spinocerebellar ataxia	0.999999589	23	18	0.093495935	0.43902439	0.532520325	0.041046996	0.300813008
Staphylococcus aureus infection	0.926836538	4	4	0.016260163	0.097560976	0.113821138	0.001586357	0.0650406508
Starch and sucrose metabolism	0.971827255	3	3	0.012195122	0.073170732	0.085365854	0.000892326	0.048780488
Steroid biosynthesis	0.684219933	3	3	0.012195122	0.073170732	0.085365854	0.000892326	0.048780488
Steroid hormone biosynthesis	0.089793143	32	20	0.130081301	0.487804878	0.617886179	0.063454293	0.3447154472
Synaptic vesicle cycle	6.91e-05	41	17	0.166666667	0.414634146	0.581300813	0.069105691	0.3154471544
Synthesis and degradation of ketone bodies	0.787136486	1	1	0.004065041	0.024390244	0.028455285	9.91473e-05	0.0162601628
Systemic lupus erythematosus	0.994302047	7	6	0.028455285	0.146341463	0.174796748	0.004164188	0.0991869918
T cell receptor signaling pathway	0.97549126	42	18	0.170731707	0.43902439	0.609756098	0.074955384	0.3317073168
Taste transduction	7.47e-05	114	31	0.463414634	0.756097561	1.219512195	0.350386675	0.6390243902
Terpenoid backbone biosynthesis	0.002866403	13	8	0.052845528	0.195121951	0.24796748	0.010311323	0.1382113818
TGF-beta signaling pathway	0.998035245	9	8	0.036585366	0.195121951	0.231707317	0.007138608	0.131707317
Th1 and Th2 cell differentiation	0.755725199	27	14	0.109756098	0.341463415	0.451219512	0.037477692	0.2487804882
Th17 cell differentiation	0.943317392	46	17	0.18699187	0.414634146	0.601626016	0.077533214	0.3235772356
Thermogenesis	0.009069195	69	26	0.280487805	0.634146341	0.914634146	0.177870315	0.4926829266
Thiamine metabolism	0.734483327	1	1	0.004065041	0.024390244	0.028455285	9.91473e-05	0.0162601628
