pathway	p_value	Freq.x	normalised_freq	score
Phagosome	0.521086353	2	0.042553191	0.042553191
Malaria	0.545551374	2	0.042553191	0.042553191
Natural killer cell mediated cytotoxicity	0.549192952	4	0.085106383	0.085106383
Mitophagy	0.551529474	2	0.042553191	0.042553191
GABAergic synapse	0.573333992	4	0.085106383	0.085106383
Ovarian steroidogenesis	0.573333992	4	0.085106383	0.085106383
Arginine and proline metabolism	0.586221578	2	0.042553191	0.042553191
ABC transporters	0.592987446	1	0.021276596	0.021276596
B cell receptor signaling pathway	0.60055321	4	0.085106383	0.085106383
Olfactory transduction	0.601221161	1	0.021276596	0.021276596
RIG-I-like receptor signaling pathway	0.618883611	2	0.042553191	0.042553191
Arginine biosynthesis	0.632524912	1	0.021276596	0.021276596
Hematopoietic cell lineage	0.634454306	2	0.042553191	0.042553191
Regulation of actin cytoskeleton	0.636669867	8	0.170212766	0.170212766
Pertussis	0.638484138	3	0.063829787	0.063829787
Folate biosynthesis	0.647243551	1	0.021276596	0.021276596
TNF signaling pathway	0.658329604	6	0.127659574	0.127659574
Nitrogen metabolism	0.661373096	1	0.021276596	0.021276596
Rheumatoid arthritis	0.668838402	2	0.042553191	0.042553191
Toll-like receptor signaling pathway	0.668903097	4	0.085106383	0.085106383
IL-17 signaling pathway	0.66998977	5	0.106382979	0.106382979
Collecting duct acid secretion	0.674937106	1	0.021276596	0.021276596
Small cell lung cancer	0.683314337	6	0.127659574	0.127659574
Pyrimidine metabolism	0.687958199	1	0.021276596	0.021276596
Peroxisome	0.694271973	1	0.021276596	0.021276596
Antigen processing and presentation	0.706519135	1	0.021276596	0.021276596
Bacterial invasion of epithelial cells	0.709142598	2	0.042553191	0.042553191
Leukocyte transendothelial migration	0.717823637	3	0.063829787	0.063829787
Inositol phosphate metabolism	0.718276052	1	0.021276596	0.021276596
Proximal tubule bicarbonate reclamation	0.723976827	1	0.021276596	0.021276596
C-type lectin receptor signaling pathway	0.729597003	6	0.127659574	0.127659574
Non-alcoholic fatty liver disease	0.739970596	5	0.106382979	0.106382979
Tight junction	0.741064804	3	0.063829787	0.063829787
Pathogenic Escherichia coli infection	0.751413309	4	0.085106383	0.085106383
Carbohydrate digestion and absorption	0.756414132	2	0.042553191	0.042553191
Necroptosis	0.762757548	3	0.063829787	0.063829787
NOD-like receptor signaling pathway	0.764814248	4	0.085106383	0.085106383
African trypanosomiasis	0.770366505	1	0.021276596	0.021276596
Chronic myeloid leukemia	0.782619631	4	0.085106383	0.085106383
Neurotrophin signaling pathway	0.783184002	5	0.106382979	0.106382979
Thermogenesis	0.787505538	4	0.085106383	0.085106383
Protein processing in endoplasmic reticulum	0.796878737	1	0.021276596	0.021276596
Osteoclast differentiation	0.798411013	5	0.106382979	0.106382979
Wnt signaling pathway	0.809001594	2	0.042553191	0.042553191
Th1 and Th2 cell differentiation	0.811926138	2	0.042553191	0.042553191
Viral protein interaction with cytokine and cytokine receptor	0.812831532	1	0.021276596	0.021276596
GnRH secretion	0.814998265	4	0.085106383	0.085106383
Linoleic acid metabolism	0.831023562	1	0.021276596	0.021276596
Phosphatidylinositol signaling system	0.834444191	1	0.021276596	0.021276596
Human T-cell leukemia virus 1 infection	0.835502405	5	0.106382979	0.106382979
Measles	0.835617203	4	0.085106383	0.085106383
Acute myeloid leukemia	0.837569398	4	0.085106383	0.085106383
Epithelial cell signaling in Helicobacter pylori infection	0.839491022	3	0.063829787	0.063829787
Fluid shear stress and atherosclerosis	0.840662876	6	0.127659574	0.127659574
Influenza A	0.848878308	4	0.085106383	0.085106383
Protein digestion and absorption	0.850537004	1	0.021276596	0.021276596
VEGF signaling pathway	0.854298173	5	0.106382979	0.106382979
TGF-beta signaling pathway	0.856527587	1	0.021276596	0.021276596
Apoptosis	0.859513886	4	0.085106383	0.085106383
Cushing syndrome	0.859513886	4	0.085106383	0.085106383
Yersinia infection	0.859513886	4	0.085106383	0.085106383
Oxytocin signaling pathway	0.862126292	6	0.127659574	0.127659574
Hippo signaling pathway	0.86227824	1	0.021276596	0.021276596
Tuberculosis	0.867882481	4	0.085106383	0.085106383
Diabetic cardiomyopathy	0.872726224	5	0.106382979	0.106382979
Fc gamma R-mediated phagocytosis	0.873099252	2	0.042553191	0.042553191
Fc epsilon RI signaling pathway	0.876130726	3	0.063829787	0.063829787
Long-term depression	0.879060874	2	0.042553191	0.042553191
Kaposi sarcoma-associated herpesvirus infection	0.893809515	7	0.14893617	0.14893617
MAPK signaling pathway	0.893809515	7	0.14893617	0.14893617
mTOR signaling pathway	0.898176351	3	0.063829787	0.063829787
Transcriptional misregulation in cancer	0.899788889	4	0.085106383	0.085106383
Neutrophil extracellular trap formation	0.903567606	4	0.085106383	0.085106383
Chagas disease	0.905150933	3	0.063829787	0.063829787
Renal cell carcinoma	0.906703887	2	0.042553191	0.042553191
Axon guidance	0.910416207	3	0.063829787	0.063829787
Salmonella infection	0.914157458	4	0.085106383	0.085106383
T cell receptor signaling pathway	0.915414714	3	0.063829787	0.063829787
Chemokine signaling pathway	0.916365059	4	0.085106383	0.085106383
Cytokine-cytokine receptor interaction	0.917418608	1	0.021276596	0.021276596
PPAR signaling pathway	0.917418608	1	0.021276596	0.021276596
Longevity regulating pathway	0.921305059	3	0.063829787	0.063829787
Cell cycle	0.923428654	2	0.042553191	0.042553191
Pancreatic cancer	0.925683298	4	0.085106383	0.085106383
Herpes simplex virus 1 infection	0.928922187	3	0.063829787	0.063829787
AGE-RAGE signaling pathway in diabetic complications	0.933170005	4	0.085106383	0.085106383
p53 signaling pathway	0.934064176	1	0.021276596	0.021276596
Platelet activation	0.934931742	4	0.085106383	0.085106383
Adherens junction	0.936238814	2	0.042553191	0.042553191
Human immunodeficiency virus 1 infection	0.93665125	4	0.085106383	0.085106383
PD-L1 expression and PD-1 checkpoint pathway in cancer	0.937495436	4	0.085106383	0.085106383
Epstein-Barr virus infection	0.939153203	4	0.085106383	0.085106383
Endocrine and other factor-regulated calcium reabsorption	0.940477781	1	0.021276596	0.021276596
Coronavirus disease	0.941564903	4	0.085106383	0.085106383
Adipocytokine signaling pathway	0.944249113	2	0.042553191	0.042553191
Insulin signaling pathway	0.945500419	3	0.063829787	0.063829787
Insulin resistance	0.947102185	3	0.063829787	0.063829787
Aldosterone-regulated sodium reabsorption	0.951495289	1	0.021276596	0.021276596
PI3K-Akt signaling pathway	0.953000266	9	0.191489362	0.191489362
Lipid and atherosclerosis	0.953927986	6	0.127659574	0.127659574
Glucagon signaling pathway	0.957101702	1	0.021276596	0.021276596
Viral carcinogenesis	0.959049549	3	0.063829787	0.063829787
Thyroid cancer	0.961275753	1	0.021276596	0.021276596
Shigellosis	0.963915656	4	0.085106383	0.085106383
MicroRNAs in cancer	0.96562025	7	0.14893617	0.14893617
Cellular senescence	0.967440722	3	0.063829787	0.063829787
Human cytomegalovirus infection	0.971218979	7	0.14893617	0.14893617
Parathyroid hormone synthesis, secretion and action	0.974189567	2	0.042553191	0.042553191
Melanogenesis	0.974810193	1	0.021276596	0.021276596
Hepatocellular carcinoma	0.977925948	3	0.063829787	0.063829787
Th17 cell differentiation	0.978690138	2	0.042553191	0.042553191
Human papillomavirus infection	0.979789313	6	0.127659574	0.127659574
GnRH signaling pathway	0.981147699	2	0.042553191	0.042553191
HIF-1 signaling pathway	0.981731305	3	0.063829787	0.063829787
Choline metabolism in cancer	0.983033357	2	0.042553191	0.042553191
Hepatitis C	0.983910739	3	0.063829787	0.063829787
ErbB signaling pathway	0.985776332	2	0.042553191	0.042553191
Prostate cancer	0.986899925	4	0.085106383	0.085106383
Colorectal cancer	0.987434315	2	0.042553191	0.042553191
Growth hormone synthesis, secretion and action	0.987655237	2	0.042553191	0.042553191
Hepatitis B	0.987744839	3	0.063829787	0.063829787
FoxO signaling pathway	0.987940614	3	0.063829787	0.063829787
Estrogen signaling pathway	0.988717563	4	0.085106383	0.085106383
Toxoplasmosis	0.988903397	2	0.042553191	0.042553191
Endometrial cancer	0.992003504	1	0.021276596	0.021276596
Prolactin signaling pathway	0.992510658	2	0.042553191	0.042553191
Autophagy	0.992633042	1	0.021276596	0.021276596
Relaxin signaling pathway	0.993743361	2	0.042553191	0.042553191
Central carbon metabolism in cancer	0.99458433	2	0.042553191	0.042553191
Oocyte meiosis	0.995111264	1	0.021276596	0.021276596
Signaling pathways regulating pluripotency of stem cells	0.99601774	1	0.021276596	0.021276596
Apelin signaling pathway	0.997247207	1	0.021276596	0.021276596
Melanoma	0.997757837	1	0.021276596	0.021276596
JAK-STAT signaling pathway	0.998135943	1	0.021276596	0.021276596
Pathways in cancer	0.998150215	11	0.234042553	0.234042553
Focal adhesion	0.998284926	2	0.042553191	0.042553191
Glioma	0.998450328	1	0.021276596	0.021276596
Phospholipase D signaling pathway	0.998625492	2	0.042553191	0.042553191
Progesterone-mediated oocyte maturation	0.998685005	1	0.021276596	0.021276596
Breast cancer	0.998746846	2	0.042553191	0.042553191
Non-small cell lung cancer	0.999053184	1	0.021276596	0.021276596
Proteoglycans in cancer	0.999581568	3	0.063829787	0.063829787
Gastric cancer	0.999631938	1	0.021276596	0.021276596
Thyroid hormone signaling pathway	0.999745745	1	0.021276596	0.021276596
