indication	p_value	Freq	normalised_freq	count_lists_with_drugs	normalised_count_lists_with_drugs	score
diarrhea	0.601750094	2	0.064516129	2	0.25	0.1758064516
emphysema	0.190958615	2	0.064516129	1	0.125	0.1008064516
erectile dysfunction	0.190958615	2	0.064516129	2	0.25	0.1758064516
headache	0.36318709	2	0.064516129	1	0.125	0.1008064516
heartburn	0.094974681	2	0.064516129	1	0.125	0.1008064516
hypercholesterolemia	0.157469468	2	0.064516129	1	0.125	0.1008064516
hyperprolactinemia	0.042857856	2	0.064516129	2	0.25	0.1758064516
intraocular pressure	0.36318709	2	0.064516129	2	0.25	0.1758064516
irritable bowel syndrome	0.520550675	2	0.064516129	2	0.25	0.1758064516
meningitis	0.601750094	2	0.064516129	2	0.25	0.1758064516
muscle pain	0.460608568	2	0.064516129	2	0.25	0.1758064516
myocardial infarction	0.520550675	2	0.064516129	2	0.25	0.1758064516
osteoarthritis	0.878422003	2	0.064516129	2	0.25	0.1758064516
otitis	0.429042173	2	0.064516129	2	0.25	0.1758064516
pharyngitis	0.36318709	2	0.064516129	2	0.25	0.1758064516
psoriasis	0.62641226	2	0.064516129	1	0.125	0.1008064516
renal cell carcinoma (RCC)	0.125280939	2	0.064516129	2	0.25	0.1758064516
rheumatoid arthritis	0.978360447	2	0.064516129	2	0.25	0.1758064516
seasonal affective disorder	0.008074319	2	0.064516129	2	0.25	0.1758064516
seborrheic dermatitis	0.125280939	2	0.064516129	1	0.125	0.1008064516
spasms	0.548809901	2	0.064516129	2	0.25	0.1758064516
tonsillitis	0.329173919	2	0.064516129	2	0.25	0.1758064516
tuberculosis	0.460608568	2	0.064516129	2	0.25	0.1758064516
vasospastic angina	0.008074319	2	0.064516129	2	0.25	0.1758064516
acetaminophen overdose	0.089974293	1	0.032258065	1	0.125	0.087903226
acromegaly	0.246422622	1	0.032258065	1	0.125	0.087903226
acute lymphoblastic leukemia (ALL)	0.757538457	1	0.032258065	1	0.125	0.087903226
acute promyelocytic leukemia (APL)	0.171874267	1	0.032258065	1	0.125	0.087903226
allergic rhinitis	0.995104078	1	0.032258065	1	0.125	0.087903226
anaphylactic shock	0.089974293	1	0.032258065	1	0.125	0.087903226
anemia	0.646017317	1	0.032258065	1	0.125	0.087903226
anesthetic	0.757538457	1	0.032258065	1	0.125	0.087903226
anxiety	0.875083214	1	0.032258065	1	0.125	0.087903226
atrial fibrillation (AF)	0.707022232	1	0.032258065	1	0.125	0.087903226
bacterial septicemia	0.799365062	1	0.032258065	1	0.125	0.087903226
bone and joint infections	0.733471089	1	0.032258065	1	0.125	0.087903226
bradycardia	0.171874267	1	0.032258065	1	0.125	0.087903226
breast cancer	0.977432942	1	0.032258065	1	0.125	0.087903226
bulimia nervosa	0.089974293	1	0.032258065	1	0.125	0.087903226
cardiac arrest	0.089974293	1	0.032258065	1	0.125	0.087903226
cervical cancer	0.089974293	1	0.032258065	1	0.125	0.087903226
chronic myeloid leukemia (CML)	0.646017317	1	0.032258065	1	0.125	0.087903226
chronic obstructive pulmonary disease (COPD)	0.733471089	1	0.032258065	1	0.125	0.087903226
claudication	0.483412907	1	0.032258065	1	0.125	0.087903226
colorectal cancer	0.677956977	1	0.032258065	1	0.125	0.087903226
conjunctivitis	0.935723602	1	0.032258065	1	0.125	0.087903226
constipation	0.779438209	1	0.032258065	1	0.125	0.087903226
contact dermatitis	0.314277544	1	0.032258065	1	0.125	0.087903226
coronary heart disease	0.314277544	1	0.032258065	1	0.125	0.087903226
cutaneous T-cell lymphoma (CTCL)	0.246422622	1	0.032258065	1	0.125	0.087903226
cytomegalovirus (CMV)	0.246422622	1	0.032258065	1	0.125	0.087903226
dermatitis herpetiformis (DH)	0.314277544	1	0.032258065	1	0.125	0.087903226
dizziness	0.089974293	1	0.032258065	1	0.125	0.087903226
enteritis	0.757538457	1	0.032258065	1	0.125	0.087903226
fever	0.875083214	1	0.032258065	1	0.125	0.087903226
fungal infection	0.707022232	1	0.032258065	1	0.125	0.087903226
gastrointestinal stromal tumors (GIST)	0.246422622	1	0.032258065	1	0.125	0.087903226
giardiasis	0.246422622	1	0.032258065	1	0.125	0.087903226
glaucoma	0.935723602	1	0.032258065	1	0.125	0.087903226
gout	0.572353461	1	0.032258065	1	0.125	0.087903226
heart block	0.089974293	1	0.032258065	1	0.125	0.087903226
hemorrhage	0.529976256	1	0.032258065	1	0.125	0.087903226
hepatic encephalopathy (HE)	0.171874267	1	0.032258065	1	0.125	0.087903226
hepatic injury	0.089974293	1	0.032258065	1	0.125	0.087903226
hepatocellular carcinoma (HCC)	0.171874267	1	0.032258065	1	0.125	0.087903226
hypercalcemia	0.646017317	1	0.032258065	1	0.125	0.087903226
hypertriglyceridemia	0.483412907	1	0.032258065	1	0.125	0.087903226
hypotension	0.707022232	1	0.032258065	1	0.125	0.087903226
hypothyroidism	0.089974293	1	0.032258065	1	0.125	0.087903226
influenza A virus infection	0.646017317	1	0.032258065	1	0.125	0.087903226
intra abdominal infections	0	1	0.032258065	1	0.125	0.087903226
intracranial pressure	0.089974293	1	0.032258065	1	0.125	0.087903226
kidney stones	0.171874267	1	0.032258065	1	0.125	0.087903226
leishmaniasis	0.171874267	1	0.032258065	1	0.125	0.087903226
lupus	0.246422622	1	0.032258065	1	0.125	0.087903226
lymphangioleiomyomatosis	0.089974293	1	0.032258065	1	0.125	0.087903226
malaria	0.90602434	1	0.032258065	1	0.125	0.087903226
medullary thyroid cancer (MTC)	0.171874267	1	0.032258065	1	0.125	0.087903226
multiple sclerosis	0.799365062	1	0.032258065	1	0.125	0.087903226
muscle relaxant	0.862658981	1	0.032258065	1	0.125	0.087903226
myeloma	0.089974293	1	0.032258065	1	0.125	0.087903226
myxedema coma	0.171874267	1	0.032258065	1	0.125	0.087903226
narcolepsy	0.246422622	1	0.032258065	1	0.125	0.087903226
nausea	0.935723602	1	0.032258065	1	0.125	0.087903226
neuroendocrine tumors of pancreatic origin (PNET)	0.171874267	1	0.032258065	1	0.125	0.087903226
non-small cell lung cancer (NSCLC)	0.862658981	1	0.032258065	1	0.125	0.087903226
obesity	0.171874267	1	0.032258065	1	0.125	0.087903226
parkinsonism	0.171874267	1	0.032258065	1	0.125	0.087903226
peptic ulcer disease (PUD)	0.922275873	1	0.032258065	1	0.125	0.087903226
plague	0.171874267	1	0.032258065	1	0.125	0.087903226
premenstrual syndrome	0.171874267	1	0.032258065	1	0.125	0.087903226
psittacosis	0.246422622	1	0.032258065	1	0.125	0.087903226
psoriatic arthritis	0.483412907	1	0.032258065	1	0.125	0.087903226
restless leg syndrome	0.376038445	1	0.032258065	1	0.125	0.087903226
shingles	0.529976256	1	0.032258065	1	0.125	0.087903226
skin depigmentation	0.171874267	1	0.032258065	1	0.125	0.087903226
sleep cycle support	0.171874267	1	0.032258065	1	0.125	0.087903226
small cell lung cancer	0.314277544	1	0.032258065	1	0.125	0.087903226
stroke	0.849002914	1	0.032258065	1	0.125	0.087903226
thyroid cancer	0.171874267	1	0.032258065	1	0.125	0.087903226
Tourette's disorder	0.171874267	1	0.032258065	1	0.125	0.087903226
tremors	0.246422622	1	0.032258065	1	0.125	0.087903226
ulcerative colitis	0.849002914	1	0.032258065	1	0.125	0.087903226
urticaria	0.817496285	1	0.032258065	1	0.125	0.087903226
vaginal atrophy	0.432251198	1	0.032258065	1	0.125	0.087903226
ventricular arrhythmias	0.707022232	1	0.032258065	1	0.125	0.087903226
virus herpes simplex (HSV)	0.610919884	1	0.032258065	1	0.125	0.087903226
vitamin B6 deficiency	0.089974293	1	0.032258065	1	0.125	0.087903226
vitamin E deficiency	0.171874267	1	0.032258065	1	0.125	0.087903226
vomiting	0.90602434	1	0.032258065	1	0.125	0.087903226
