drug name	moa
4-iodo-6-phenylpyrimidine	macrophage migration inhibiting factor inhibitor
4-methylgenistein	protein tyrosine kinase inhibitor
4-methylhistamine	histamine receptor agonist
4-mu-8c	IRE1 inhibitor
"4-phenyl-1,2,3,4-tetrahydroisoquinoline"	dopamine release inhibitor
4-ppbp	sigma receptor ligand
4-p-pdot	melatonin receptor antagonist
4sc-202	HDAC inhibitor
"5,7-dichlorokynurenic-acid"	glutamate receptor antagonist
5-aminolevulinic-acid	oxidizing agent
5-bdbd	purinergic receptor antagonist
5-carboxamidotryptamine	serotonin receptor agonist
5'-chloro-5'-deoxy-enba-(+/-)	adenosine receptor agonist
5-fluoropyrimidine	kinase inhibitor
5-fluorouracil	thymidylate synthase inhibitor
5-fp	thymidylate synthase inhibitor
5-hydroxymethyl-tolterodine	acetylcholine receptor antagonist
5-hydroxytryptophan	neurotransmitter
5-iodo-a-85380	acetylcholine receptor agonist
5-methylfurmethiodide	acetylcholine receptor agonist
5-octanoylsalicylic-acid	protein kinase activator
"6,7-dehydro-17-acetoxy-progesterone"	steroidal progestin
6-aminochrysene	transferase inhibitor
6-benzylaminopurine	purinergic receptor activator
6-chloromelatonin	melatonin receptor agonist
6-diazo-5-oxo-l-norleucine	glutamate receptor antagonist
6-diazo-5-oxo-l-norleucine	glutaminase inhibitor
6-iodo-nordihydrocapsaicin	TRPV antagonist
7-aminocephalosporanic-acid	beta lactamase inhibitor
7-chlorokynurenic-acid	glutamate receptor antagonist
7-hydroxy-dpat	dopamine receptor agonist
7-hydroxy-pipat	dopamine receptor ligand
7-hydroxystaurosporine	CDK inhibitor
7-hydroxystaurosporine	CHK inhibitor
7-hydroxystaurosporine	PKC inhibitor
7-keto-dhea	steroid
7-methoxytacrine	acetylcholinesterase inhibitor
7-methylxanthine	adenosine receptor antagonist
7-nitroindazole	nitric oxide synthase inhibitor
8-bromo-camp	PKA activator
8-bromo-cgmp	PKA activator
8-hydroxy-dpat	serotonin receptor agonist
8-hydroxy-pipat	dopamine receptor ligand
8-m-pdot	melatonin receptor agonist
9-aminocamptothecin	topoisomerase inhibitor
a-1070722	glycogen synthase kinase inhibitor
a-1120	retinoid receptor ligand
a12b4c3	polynucleotide kinase/phosphatase inhibitor
a205804	ICAM1 expression inhibitor
a-317491	purinergic receptor antagonist
a-366	histone lysine methyltransferase inhibitor
a-381393	dopamine receptor antagonist
a-412997	dopamine receptor agonist
a-438079	purinergic receptor antagonist
a-485	histone acetyltransferase inhibitor
a-582941	nicotinic receptor agonist
a61603	adrenergic receptor agonist
a-61603	adrenergic receptor agonist
a66	PI3K inhibitor
a-674563	AKT inhibitor
a-7	calmodulin antagonist
a740003	purinergic receptor antagonist
a-769662	AMPK activator
a77636	dopamine receptor agonist
a-784168	transient receptor potential channel antagonist
a-803467	sodium channel blocker
a-804598	purinergic receptor antagonist
a-839977	purinergic receptor antagonist
a-867744	acetylcholine receptor allosteric modulator
a-887826	sodium channel blocker
a922500	diacylglycerol O acyltransferase inhibitor
a-922500	diacylglycerol O acyltransferase inhibitor
a-939572	stearoyl-CoA desaturase inhibitor
a-967079	transient receptor potential channel antagonist
a-987306	histamine receptor antagonist
aa-29504	GABA receptor positive allosteric modulator
aai101	lactamase inhibitor
ab-423	HBV capsid assembly inhibitor
abacavir	nucleoside reverse transcriptase inhibitor
abafungin	sterol methyltransferase inhibitor
abamectin	benzodiazepine receptor agonist
abametapir	metalloproteinase inhibitor
abarelix	gonadotropin releasing factor hormone receptor antagonist
abbv-744	bromodomain inhibitor
abc-294640	sphingosine kinase inhibitor
abemaciclib	CDK inhibitor
abiraterone	androgen biosynthesis inhibitor
abiraterone-acetate	androgen biosynthesis inhibitor
abt-072	RNA polymerase inhibitor
abt-202	acetylcholine receptor agonist
abt-239	histamine receptor antagonist
abt-491	platelet activating factor receptor antagonist
abt-639	calcium channel blocker
abt-702	adenosine kinase inhibitor
abt-724	dopamine receptor agonist
abt-737	BCL inhibitor
abt-751	tubulin polymerization inhibitor
abx-1431	monoacylglycerol lipase inhibitor
abx464	antiviral
ac-186	estrogen receptor agonist
ac260584	cholinergic receptor agonist
ac-261066	retinoid receptor agonist
ac-264613	PAR agonist
ac-55541	PARP inhibitor
ac-55649	retinoid receptor agonist
ac-710	PDGFR tyrosine kinase receptor inhibitor
ac-7954-(+/-)	urotensin receptor agonist
acadesine	AMPK activator
acalabrutinib	Bruton's tyrosine kinase (BTK) inhibitor
acalisib	PI3K inhibitor
acamprosate	glutamate receptor antagonist
acarbose	glucosidase inhibitor
acdpp	glutamate receptor antagonist
acebilustat	leukotriene inhibitor
acebutolol	adrenergic receptor antagonist
acecainide	polarization inhibitor
aceclidine	acetylcholine receptor agonist
aceclofenac	prostanoid receptor antagonist
acefylline	adenosine receptor agonist
acelarin	anticancer agent
acemetacin	cyclooxygenase inhibitor
acenocoumarol	vitamin K antagonist
acepromazine	dopamine receptor antagonist
acetanilide	hydrogen peroxide decomposition inhibitor
acetazolamide	carbonic anhydrase inhibitor
acetohexamide	ATP channel blocker
acetohydroxamic-acid	urease inhibitor
acetophenazine	dopamine receptor antagonist
acetyl-11-keto-beta-boswellic-acid	lipoxygenase inhibitor
acetylcholine	acetylcholine receptor agonist
acetylcysteine	mucolytic agent
acetyl-farnesyl-cysteine	methyltransferase inhibitor
acetylsalicylsalicylic-acid	cyclooxygenase inhibitor
acetylspiramycin	other antibiotic
acexamic-acid	5 alpha reductase inhibitor
acifran	cholesterol inhibitor
acipimox	cholesterol inhibitor
acitazanolast	mediator release inhibitor
acitretin	retinoid receptor agonist
acivicin	gamma glutamyltransferase inhibitor
aclarubicin	topoisomerase inhibitor
aclidinium	acetylcholine receptor antagonist
acolbifene	estrogen receptor antagonist
acoziborole	antitrypanosomal
acpc	glutamate receptor antagonist
acriflavine	hypoxia inducible factor inhibitor
acriflavinium	hypoxia inducible factor inhibitor
acrisorcin	other antifungal
acrivastine	histamine receptor antagonist
acrylate	mucus protecting agent
act-132577	endothelin receptor antagonist
act-462206	orexin receptor antagonist
actarit	interleukin receptor agonist
actb-1003	FGFR inhibitor
actb-1003	VEGFR inhibitor
actinomycin-d	RNA polymerase inhibitor
acumapimod	p38 MAPK inhibitor
acy-1215	HDAC inhibitor
acyclovir	DNA polymerase inhibitor
ad-5467	aldose reductase inhibitor
adapalene	retinoid receptor agonist
adaprev	TGF beta receptor inhibitor
adaptavir	CC chemokine receptor antagonist
adarotene	retinoid receptor agonist
adatanserin	serotonin receptor agonist
adatanserin	serotonin receptor antagonist
adavivint	WNT pathway inhibitor
add-233089	benzodiazepine receptor agonist
adefovir	DNA polymerase inhibitor
adefovir-dipivoxil	DNA polymerase inhibitor
adelmidrol	anti-inflammatory agent
ademetionine	methyltransferase stimulant
ademetionine	phosphodiesterase inhibitor
adenine	protein synthesis stimulant
adenosine	adenosine receptor agonist
adenosine-phosphate	adenosine receptor agonist
adenosine-triphosphate	adenosine receptor agonist
adiphenine	acetylcholine receptor antagonist
adipic-acid	solute carrier family member inhibitor
adiporon	adiponectin receptor agonist
adl5859	opioid receptor agonist
adomeglivant	glucagon receptor antagonist
adoprazine	dopamine receptor antagonist
adoprazine	serotonin receptor agonist
adrafinil	adrenergic receptor agonist
adrenalone	adrenergic receptor agonist
adrenosterone	11-beta hydroxysteroid dehydrogenase inhibitor
adx-10059	glutamate receptor negative allosteric modulator
adx-47273	glutamate receptor modulator
aee788	EGFR inhibitor
aee788	VEGFR inhibitor
aeg3482	HSP inducer
af38469	sortilin inhibitor
afalanine	dopamine receptor agonist
afamelanotide	melanocyte-stimulating hormone mimetic
afatinib	EGFR inhibitor
afimoxifene	estrogen receptor antagonist
afloqualone	acetylcholine receptor antagonist
afn-1252	FABI inhibitor
afobazole	anxiolytic
ag-1024	insulin growth factor receptor inhibitor
ag-14361	PARP inhibitor
ag-490	EGFR inhibitor
ag-490	JAK inhibitor
ag-555	tyrosine kinase inhibitor
ag-556	tyrosine kinase inhibitor
agi-5198	isocitrate dehydrogenase inhibitor
agi-6780	isocitrate dehydrogenase inhibitor
agm-1470	cell cycle inhibitor
agmatine	nitric oxide synthase inhibitor
agn-192403	imidazoline receptor ligand
agn-194310	retinoid receptor antagonist
agn-195183	retinoid receptor agonist
agomelatine	melatonin receptor agonist
agomelatine	serotonin receptor antagonist
agp-103	membrane permeability inhibitor
ah11110	adrenergic receptor ligand
ah6809	prostanoid receptor antagonist
ah-7614	free fatty acid receptor antagonist
ai-10-49	core binding factor inhibitor
aim-100	tyrosine kinase inhibitor
aj76-(+)	dopamine receptor antagonist
ajmaline	sodium channel blocker
ak-7	SIRT inhibitor
akba	lipoxygenase inhibitor
al-8697	p38 MAPK inhibitor
alacepril	angiotensin converting enzyme inhibitor
alafosfalin	bacterial cell wall synthesis inhibitor
alagebrium	glycosylation inhibitor
alanosine	antimetabolite
alantolactone	apoptosis stimulant
alantolactone	STAT inhibitor
alaproclate	serotonin receptor antagonist
alarelin	gonadotropin releasing factor hormone receptor antagonist
albendazole	tubulin polymerization inhibitor
albendazole-oxide	anthelmintic agent
albuterol	adrenergic receptor agonist
alcaftadine	histamine receptor antagonist
alclofenac	cyclooxygenase inhibitor
alclometasone-dipropionate	glucocorticoid receptor agonist
alcuronium	muscle relaxant
alda-1	aldehyde dehydrogenase activator
aldoxorubicin	topoisomerase inhibitor
alectinib	ALK tyrosine kinase receptor inhibitor
alendronate	bone resorption inhibitor
alexidine	phosphatidylglycerophosphatase inhibitor
alfacalcidol	vitamin D receptor agonist
alfadolone-acetate	benzodiazepine receptor agonist
alfuzosin	adrenergic receptor antagonist
alibendol	antispasmodic
alimemazine	histamine receptor agonist
alimemazine	histamine receptor antagonist
alinidine	bradycardic effect 
alisertib	Aurora kinase inhibitor
aliskiren-hemifumarate	renin inhibitor
alisporivir	cyclophilin inhibitor
alizapride	dopamine receptor antagonist
allantoin	cosmetic
allicin	cytokine production inhibitor
allopurinol	xanthine oxidase inhibitor
allopurinol-riboside	anti-leishmanial agent
allopurinol-riboside	phosphorylase inhibitor
allylestrenol	steroidal progestin
allylisothiocyanate	TRPV agonist
allylthiourea	nitrification inhibitor
almitrine	neurotransmitter agonist
almorexant	orexin receptor antagonist
almotriptan	serotonin receptor agonist
aloe-emodin	anticancer agent
alogliptin	dipeptidyl peptidase inhibitor
aloin	angiogenesis inhibitor
alosetron	serotonin receptor antagonist
alovudine	DNA synthesis marker
aloxistatin	protease inhibitor
alpelisib	PI3K inhibitor
alpha-asarone	cytochrome P450 inhibitor
alpha-asarone	HMGCR inhibitor
alpha-glucosyl-hesperidin	antioxidant
alpha-linolenic-acid	omega 3 fatty acid stimulant
alpha-methylhistamine-dihydrobromide-(r)-(-)	histamine receptor agonist
alpha-methylhistamine-dihydrobromide-(s)-(+)	histamine receptor agonist
alpha-methylserotonin	serotonin receptor agonist
alpha-tochopherol	antioxidant
alpha-tochopheryl-acetate	antioxidant
alpidem	benzodiazepine receptor agonist
alprenolol	adrenergic receptor antagonist
alprostadil	prostanoid receptor agonist
alrestatin	aldose reductase inhibitor
als-8176	RNA polymerase inhibitor
altanserin	serotonin receptor antagonist
althiazide	diuretic
altinicline	nicotinic receptor agonist
altiratinib	MET inhibitor
altiratinib	VEGFR inhibitor
altrenogest	progestogen hormone
altretamine	DNA synthesis inhibitor
alverine	muscle relaxant
alvespimycin	HSP inhibitor
alvimopan	opioid receptor antagonist
alvocidib	CDK inhibitor
alx-40-4c	CC chemokine receptor antagonist
alx-5407	glycine transporter inhibitor
am095	lysophosphatidic acid receptor antagonist
am-1241	cannabinoid receptor agonist
am211	prostaglandin inhibitor
am-24	lipoxygenase inhibitor
am-251	cannabinoid receptor antagonist
am-281	cannabinoid receptor antagonist
am-404	cyclooxygenase inhibitor
am-404	FAAH inhibitor
am-404	TRPV antagonist
am-580	retinoid receptor agonist
am-630	cannabinoid receptor antagonist
am679	cannabinoid receptor agonist
am679	lipoxygenase inhibitor
am-92016	potassium channel blocker
amantadine	glutamate receptor antagonist
ambazone	DNA damage inducer
ambenonium	cholinesterase inhibitor
ambrisentan	endothelin receptor antagonist
ambroxol	sodium channel blocker
amcasertib	kinase inhibitor
amcinonide	glucocorticoid receptor agonist
amd11070	CC chemokine receptor antagonist
amd-3465	CC chemokine receptor antagonist
amdinocillin	bacterial cell wall synthesis inhibitor
ameltolide	anticonvulsant
amenamevir	helicase primase inhibitor
ametantrone	anticancer agent
amezinium	adrenergic receptor agonist
amfenac	cyclooxygenase inhibitor
amflutizole	xanthine oxidase inhibitor
amg-176	MCL1 inhibitor
amg-208	tyrosine kinase inhibitor
amg-232	MDM inhibitor
amg319	PI3K inhibitor
amg-319	PI3K inhibitor
amg-337	MET inhibitor
amg458	MET inhibitor
amg-487	CC chemokine receptor antagonist
amg-487-(+/-)	CC chemokine receptor antagonist
amg-510	K-Ras inhibitor
amg-517	TRPV antagonist
amg-548	MAP kinase inhibitor
amg-837	free fatty acid receptor agonist
amg900	Aurora kinase inhibitor
amg-925	CDK inhibitor
amg-925	FLT3 inhibitor
amg-9810	TRPV antagonist
amg-perk-44	PERK inhibitor
ami-1	protein arginine N-methyltransferase inhibitor
amibegron	adrenergic receptor agonist
amidopyrine	analgesic agent
amifampridine	potassium channel blocker
amiflamine	monoamine oxidase inhibitor
amifostine	reducing agent
amikacin	bacterial 30S ribosomal subunit inhibitor
amiloride	sodium channel blocker
amineptine	dopamine receptor agonist
aminocaproic-acid	plasminogen activator inhibitor
aminoglutethimide	glucocorticoid receptor antagonist
aminoguanidine	nitric oxide synthase inhibitor
aminomethyltransferase	nitric oxide synthase inhibitor
aminopentamide	acetylcholine receptor antagonist
aminophylline	adenosine receptor antagonist
aminopterin	dihydrofolate reductase inhibitor
aminopurvalanol-a	CDK inhibitor
aminopurvalanol-a	tyrosine kinase inhibitor
aminosalicylate	cyclooxygenase inhibitor
aminothiadiazole	inosine monophosphate dehydrogenase inhibitor
aminothiazole	cyclin D inhibitor
amiodarone	potassium channel blocker
amiprilose	CD antagonist
amiselimod	sphingosine 1-phosphate receptor modulator
amisulpride	dopamine receptor antagonist
amitifadine	serotonin transporter (SERT) inhibitor
amitraz	adrenergic receptor agonist
amitriptyline	norepinephrine inhibitor
amitriptyline	norepinephrine reuptake inhibitor
amitriptyline	serotonin receptor antagonist
amitriptyline	serotonin???norepinephrine reuptake inhibitor (SNRI)
amlexanox	histamine receptor modulator
amlodipine	calcium channel blocker
ammonium-glycyrrhizinate	thrombin inhibitor
ammonium-perfluorocaprylate	Pim kinase inhibitor
amn-082	glutamate receptor modulator
amodiaquine	histamine receptor agonist
amonafide	topoisomerase inhibitor
amorolfine	membrane integrity inhibitor
amoxapine	norepinephrine reputake inhibitor
amoxicillin	penicillin binding protein inhibitor
ampa-(rs)	glutamate receptor agonist
ampa-(s)	glutamate receptor agonist
ampalex	glutamate receptor agonist
amperozide	dopamine receptor antagonist
amphotericin-b	membrane permeability enhancer
ampicillin	bacterial cell wall synthesis inhibitor
ampiroxicam	cyclooxygenase inhibitor
amprenavir	HIV protease inhibitor
amprolium	thiamine uptake blocker
ampyrone	cyclooxygenase inhibitor
amrinone	phosphodiesterase inhibitor
amrubicin	topoisomerase inhibitor
amsacrine	topoisomerase inhibitor
amthamine	histamine receptor agonist
amtolmetin-guacil	cyclooxygenase inhibitor
amuvatinib	FLT3 inhibitor
amuvatinib	KIT inhibitor
amuvatinib	PDGFR tyrosine kinase receptor inhibitor
amuvatinib	RAD51 inhibitor
amuvatinib	RET tyrosine kinase inhibitor
amygdalin	caspase activator
amyleine	local anesthetic
amylene-hydrate	local anesthetic
amyl-nitrite	atrial natriuretic peptide receptor agonist
amz30	protein phosphatase inhibitor
an2718	leucyl-tRNA synthetase inhibitor
ana-12	tropomyosin receptor kinase inhibitor
anabasine	acetylcholine receptor agonist
anacetrapib	cholesteryl ester transfer protein inhibitor
anagliptin	dipeptidyl peptidase inhibitor
anagrelide	phosphodiesterase inhibitor
anamorelin	growth hormone secretagogue receptor agonist
anandamide	cannabinoid receptor agonist
anastrozole	aromatase inhibitor
andarine	androgen receptor modulator
andrographolide	tumor necrosis factor production inhibitor
androstenone	steroid
androsterone	androgen receptor agonist
anecortave-acetate	angiogenesis inhibitor
anethole	glutathione transferase stimulant
anethole-trithione	glutathione transferase stimulant
anguidine	protein synthesis inhibitor
anidulafungin	"fungal 1,3-beta-D-glucan synthase inhibitor"
aniracetam	glutamate receptor agonist
anisindione	vitamin K antagonist
anisodamine	lipid peroxidase inhibitor
anisomycin	DNA synthesis inhibitor
anisotropine	acetylcholine receptor antagonist
anlotinib	PDGFR tyrosine kinase receptor inhibitor
anlotinib	VEGFR inhibitor
anpirtoline	serotonin receptor agonist
anr-94	adenosine receptor antagonist
ansamitocin-p-3	apoptosis stimulant
antagonist-g	neuropeptide receptor antagonist
antalarmin	corticotropin releasing factor receptor antagonist
antazoline	antihistamine
anthralin	DNA synthesis inhibitor
anthraquinone	CDC inhibitor
antimycin-a	ATP synthase inhibitor
ap-18	transient receptor potential channel antagonist
ap26113	ALK tyrosine kinase receptor inhibitor
apabetalone	apolipoprotein expression enhancer
apafant	platelet activating factor receptor antagonist
apalutamide	androgen receptor antagonist
apararenone	mineralocorticoid receptor antagonist
apatinib	RET tyrosine kinase inhibitor
apc-100	androgen receptor antagonist
apc-100	anti-inflammatory agent
apck-110	KIT inhibitor
apd597	glucose dependent insulinotropic receptor agonist
apd668	glucose dependent insulinotropic receptor agonist
aphidicolin	RNA synthesis inhibitor
api-001	sigma receptor antagonist
api-1	AKT inhibitor
apigenin	casein kinase inhibitor
apigenin	cell proliferation inhibitor
apixaban	coagulation factor inhibitor
apocynin	NADPH oxidase inhibitor
apoptosis-activator-ii	carboxylesterase inhibitor
apr-246	p53 activator
apraclonidine	adrenergic receptor agonist
apramycin	bacterial 30S ribosomal subunit inhibitor
apratastat	matrix metalloprotease inhibitor
apratastat	tumor necrosis factor production inhibitor
apremilast	phosphodiesterase inhibitor
aprepitant	tachykinin antagonist
apricitabine	nucleoside reverse transcriptase inhibitor
aprindine	voltage-gated sodium channel blocker
apronal	cytochrome P450 modulator
aptiganel	glutamate receptor antagonist
apto-253	kr??ppel-like factor expression enhancer
apy0201	phosphoinositide dependent kinase inhibitor
apy-29	serine/threonine kinase inhibitor
apyramide	cyclooxygenase inhibitor
aq-13	antimalarial agent
aq-ra741	acetylcholine receptor antagonist
aqw-051	nicotinic receptor agonist
ar-12	phosphoinositide dependent kinase inhibitor
ar-42	HDAC inhibitor
ar-a014418	glycogen synthase kinase inhibitor
arachidonic-acid	cytochrome P450 inhibitor
aramchol	stearoyl-CoA desaturase inhibitor
arbidol	cytochrome P450 inhibitor
arbutin	melanin inhibitor
ar-c155858	monocarboxylate transporter inhibitor
arc-239	adrenergic receptor antagonist
arctigenin	MEK inhibitor
arcyriaflavin-a	CDK inhibitor
ardeparin	thrombin inhibitor
arecaidine-but-2-ynyl-ester	acetylcholine receptor agonist
arecaidine-propargyl-ester	acetylcholine receptor agonist
arecoline	acetylcholine receptor agonist
argatroban	thrombin inhibitor
argireline	neurotransmitter release inhibitor
arglabin	farnesyltransferase inhibitor
aripiprazole	serotonin receptor agonist
aripiprazole	serotonin receptor antagonist
aripiprazole-lauroxil	serotonin receptor agonist
arofylline	phosphodiesterase inhibitor
arotinolol	adrenergic receptor antagonist
arq-092	AKT inhibitor
arq-621	kinesin-like spindle protein inhibitor
arry-334543	EGFR inhibitor
arsenic-trioxide	apoptosis stimulant
artemether	antimalarial agent
artemisinin	DNA synthesis inhibitor
artesunate	DNA synthesis inhibitor
articaine	local anesthetic
arundic-acid	astrocyte modulating agent
arv-825	bromodomain inhibitor
as-1269574	glucose dependent insulinotropic receptor agonist
as-1892802	rho associated kinase inhibitor
as-1949490	SHIP2 phosphatase inhibitor
as-2034178	free fatty acid receptor agonist
as-2444697	interleukin inhibitor
as-252424	PI3K inhibitor
as-604850	PI3K inhibitor
as-703026	MEK inhibitor
as-77	potassium channel blocker
asa-404	angiogenesis inhibitor
asapiprant	prostaglandin inhibitor
asaraldehyde	cyclooxygenase inhibitor
asciminib	Bcr-Abl kinase inhibitor
asc-j9	androgen receptor enhancer
ascomycin	calcineurin inhibitor
ascorbic-acid	antioxidant
asenapine	dopamine receptor antagonist
asenapine	serotonin receptor antagonist
asiatic-acid	apoptosis stimulant
asimadoline	opioid receptor agonist
asivatrep	transient receptor potential channel antagonist
asp-2535	glycine transporter inhibitor
asp3026	ALK tyrosine kinase receptor inhibitor
asp-6537	cyclooxygenase inhibitor
asp-9521	aldo-keto reductase inhibitor
aspirin	cyclooxygenase inhibitor
ast-1306	EGFR inhibitor
astaxanthin	antioxidant
astemizole	histamine receptor antagonist
astilbin	nuclear factor erythroid derived
astilbin	like (NRF2) activator
astragaloside-a	anti-inflammatory agent
astx660	apoptosis inhibitor
asunaprevir	HCV inhibitor
asymmetrical-dimethylarginine	nitric oxide synthase inhibitor
at-1015	serotonin receptor antagonist
at13148	protein kinase inhibitor
at13387	HSP inhibitor
at-406	IAP antagonist 
at-7519	CDK inhibitor
at7867	AKT inhibitor
at-9283	Aurora kinase inhibitor
at-9283	JAK inhibitor
ataluren	CFTR channel agonist
ataluren	dystrophin stimulant
atazanavir	HIV protease inhibitor
atb-346	cyclooxygenase inhibitor
atenolol-(-)	adrenergic receptor antagonist
atenolol-(+)	adrenergic receptor antagonist
atenolol-(+/-)	adrenergic receptor antagonist
atglistatin	adipose triglyceride lipase inhibitor
aticaprant	opioid receptor antagonist
atipamezole	adrenergic receptor antagonist
atiprimod	JAK inhibitor
atiprimod	STAT inhibitor
atizoram	phosphodiesterase inhibitor
atn-161	integrin antagonist
atomoxetine	norepinephrine transporter inhibitor
atorvastatin	HMGCR inhibitor
atosiban	oxytocin receptor antagonist
atovaquone	mitochondrial electron transport inhibitor
atpa	glutamate receptor agonist
atractylenolide-i	JAK inhibitor
atracurium	acetylcholine receptor antagonist
atrasentan	endothelin receptor antagonist
atropine	acetylcholine receptor antagonist
atropine-oxide	acetylcholine receptor antagonist
atuveciclib	CDK9 inhibitor
auranofin	NFkB pathway inhibitor
aurora-a-inhibitor-i	Aurora kinase inhibitor
aurothioglucose	PKC inhibitor
aut-1	potassium channel activator
autotaxin-modulator-1	autotaxin inhibitor
av-412	protein tyrosine kinase inhibitor
