pathway	p_value	Freq	normalised_freq	count_lists_with_drugs	normalised_count_lists_with_drugs	score
Folate biosynthesis	0.428665708	1	0.071428571	1	0.2	0.1485714284
FoxO signaling pathway	0.933368714	2	0.142857143	2	0.4	0.2971428572
GABAergic synapse	0.173919455	4	0.285714286	3	0.6	0.4742857144
Gap junction	0.291941662	8	0.571428571	4	0.8	0.7085714284
Gastric acid secretion	0.18541597	5	0.357142857	2	0.4	0.3828571428
Gastric cancer	0.98570661	1	0.071428571	1	0.2	0.1485714284
Glioma	0.452904913	4	0.285714286	3	0.6	0.4742857144
Glucagon signaling pathway	0.237046342	3	0.214285714	3	0.6	0.4457142856
Glutamatergic synapse	0.740580862	2	0.142857143	2	0.4	0.2971428572
Glycerophospholipid metabolism	0.593535586	1	0.071428571	1	0.2	0.1485714284
Glycine, serine and threonine metabolism	0.110463356	2	0.142857143	1	0.2	0.1771428572
GnRH secretion	0.085776971	6	0.428571429	4	0.8	0.6514285716
GnRH signaling pathway	0.612205656	3	0.214285714	3	0.6	0.4457142856
Growth hormone synthesis, secretion and action	0.857038562	2	0.142857143	2	0.4	0.2971428572
Hedgehog signaling pathway	0.606713605	1	0.071428571	1	0.2	0.1485714284
Hepatitis B	0.932767308	2	0.142857143	2	0.4	0.2971428572
Hepatitis C	0.600551184	4	0.285714286	4	0.8	0.5942857144
Hepatocellular carcinoma	0.756923015	3	0.214285714	2	0.4	0.3257142856
Herpes simplex virus 1 infection	0.818923443	2	0.142857143	2	0.4	0.2971428572
HIF-1 signaling pathway	0.915956321	2	0.142857143	2	0.4	0.2971428572
Hippo signaling pathway	0.65529487	1	0.071428571	1	0.2	0.1485714284
Histidine metabolism	0.106955139	2	0.142857143	1	0.2	0.1771428572
Human cytomegalovirus infection	0.531124793	7	0.5	4	0.8	0.68
Human immunodeficiency virus 1 infection	0.758560311	3	0.214285714	2	0.4	0.3257142856
Human papillomavirus infection	0.622397204	6	0.428571429	4	0.8	0.6514285716
Human T-cell leukemia virus 1 infection	0.895257239	2	0.142857143	2	0.4	0.2971428572
Huntington disease	0.037038231	8	0.571428571	4	0.8	0.7085714284
Hypertrophic cardiomyopathy	0.726337878	1	0.071428571	1	0.2	0.1485714284
IL-17 signaling pathway	0.192864297	5	0.357142857	3	0.6	0.5028571428
Inflammatory mediator regulation of TRP channels	0.158727247	8	0.571428571	3	0.6	0.5885714284
Influenza A	0.626011149	3	0.214285714	3	0.6	0.4457142856
Inositol phosphate metabolism	0.493675049	1	0.071428571	1	0.2	0.1485714284
Insulin resistance	0.846969458	2	0.142857143	2	0.4	0.2971428572
Insulin secretion	0.320944657	4	0.285714286	3	0.6	0.4742857144
Insulin signaling pathway	0.844353372	2	0.142857143	2	0.4	0.2971428572
JAK-STAT signaling pathway	0.965831589	1	0.071428571	1	0.2	0.1485714284
Kaposi sarcoma-associated herpesvirus infection	0.486847595	6	0.428571429	4	0.8	0.6514285716
Legionellosis	0.56584209	1	0.071428571	1	0.2	0.1485714284
Leishmaniasis	0.566283757	3	0.214285714	3	0.6	0.4457142856
Leukocyte transendothelial migration	0.866106468	1	0.071428571	1	0.2	0.1485714284
Linoleic acid metabolism	0.615261061	1	0.071428571	1	0.2	0.1485714284
Lipid and atherosclerosis	0.346270424	7	0.5	4	0.8	0.68
Long-term depression	0.31056805	3	0.214285714	3	0.6	0.4457142856
Long-term potentiation	0.525132024	3	0.214285714	3	0.6	0.4457142856
Longevity regulating pathway	0.189126904	5	0.357142857	4	0.8	0.6228571428
Lysosome	0.248228176	1	0.071428571	1	0.2	0.1485714284
MAPK signaling pathway	0.810619205	4	0.285714286	4	0.8	0.5942857144
Measles	0.609871789	3	0.214285714	3	0.6	0.4457142856
Melanogenesis	0.586026164	2	0.142857143	2	0.4	0.2971428572
Melanoma	0.632786091	3	0.214285714	2	0.4	0.3257142856
Metabolism of xenobiotics by cytochrome P450	0.662787887	1	0.071428571	1	0.2	0.1485714284
MicroRNAs in cancer	0.505790323	7	0.5	4	0.8	0.68
Mineral absorption	0.482430876	1	0.071428571	1	0.2	0.1485714284
Mitophagy	0.631803476	1	0.071428571	1	0.2	0.1485714284
Morphine addiction	0.448118323	4	0.285714286	3	0.6	0.4742857144
mTOR signaling pathway	0.777450655	2	0.142857143	2	0.4	0.2971428572
Natural killer cell mediated cytotoxicity	0.623901482	2	0.142857143	2	0.4	0.2971428572
Necroptosis	0.169673952	4	0.285714286	3	0.6	0.4742857144
Neuroactive ligand-receptor interaction	0.778136202	13	0.928571429	4	0.8	0.8514285716
Neurotrophin signaling pathway	0.86877273	2	0.142857143	2	0.4	0.2971428572
Neutrophil extracellular trap formation	0.701629027	3	0.214285714	2	0.4	0.3257142856
NF-kappa B signaling pathway	0.571272036	3	0.214285714	3	0.6	0.4457142856
Nicotine addiction	0.85696896	1	0.071428571	1	0.2	0.1485714284
Nitrogen metabolism	0.441076193	1	0.071428571	1	0.2	0.1485714284
NOD-like receptor signaling pathway	0.533012115	3	0.214285714	3	0.6	0.4457142856
Non-alcoholic fatty liver disease	0.118916551	6	0.428571429	5	1	0.7714285716
Non-homologous end-joining	0.103920025	1	0.071428571	1	0.2	0.1485714284
Non-small cell lung cancer	0.886707896	2	0.142857143	2	0.4	0.2971428572
Notch signaling pathway	0.43490497	1	0.071428571	1	0.2	0.1485714284
Olfactory transduction	0.389758779	1	0.071428571	1	0.2	0.1485714284
Oocyte meiosis	0.1567514	5	0.357142857	5	1	0.7428571428
Osteoclast differentiation	0.699695844	3	0.214285714	2	0.4	0.3257142856
Ovarian steroidogenesis	0.369939974	3	0.214285714	3	0.6	0.4457142856
Oxidative phosphorylation	0.016204175	2	0.142857143	2	0.4	0.2971428572
Oxytocin signaling pathway	0.496880548	5	0.357142857	4	0.8	0.6228571428
p53 signaling pathway	0.17813245	3	0.214285714	3	0.6	0.4457142856
Pancreatic cancer	0.897073819	2	0.142857143	2	0.4	0.2971428572
Pancreatic secretion	0.294054493	4	0.285714286	2	0.4	0.3542857144
Parathyroid hormone synthesis, secretion and action	0.949190533	1	0.071428571	1	0.2	0.1485714284
Parkinson disease	0.020833935	9	0.642857143	4	0.8	0.7371428572
Pathogenic Escherichia coli infection	0.519838123	3	0.214285714	3	0.6	0.4457142856
Pathways in cancer	0.353899177	14	1	5	1	1
Pathways of neurodegeneration	0.248223933	11	0.785714286	5	1	0.9142857144
PD-L1 expression and PD-1 checkpoint pathway in cancer	0.981778471	1	0.071428571	1	0.2	0.1485714284
Pertussis	0.260323095	3	0.214285714	2	0.4	0.3257142856
Phagosome	0.611010776	1	0.071428571	1	0.2	0.1485714284
Phenylalanine metabolism	0.029186887	3	0.214285714	1	0.2	0.2057142856
Phosphatidylinositol signaling system	0.249520907	2	0.142857143	2	0.4	0.2971428572
Phospholipase D signaling pathway	0.951030257	2	0.142857143	2	0.4	0.2971428572
Phototransduction	0.205818841	1	0.071428571	1	0.2	0.1485714284
PI3K-Akt signaling pathway	0.792998788	6	0.428571429	3	0.6	0.5314285716
Platelet activation	0.556100591	4	0.285714286	3	0.6	0.4742857144
PPAR signaling pathway	0.384950455	2	0.142857143	1	0.2	0.1771428572
Primary immunodeficiency	0.470937364	1	0.071428571	1	0.2	0.1485714284
Prion disease	0.268090017	5	0.357142857	4	0.8	0.6228571428
Progesterone-mediated oocyte maturation	0.471909825	4	0.285714286	4	0.8	0.5942857144
Prolactin signaling pathway	0.887688822	2	0.142857143	1	0.2	0.1771428572
Propanoate metabolism	0.264551771	1	0.071428571	1	0.2	0.1485714284
Prostate cancer	0.59100686	5	0.357142857	5	1	0.7428571428
Protein processing in endoplasmic reticulum	0.209352408	2	0.142857143	2	0.4	0.2971428572
Proteoglycans in cancer	0.893032693	4	0.285714286	3	0.6	0.4742857144
Proximal tubule bicarbonate reclamation	0.499205326	1	0.071428571	1	0.2	0.1485714284
Rap1 signaling pathway	0.712357561	6	0.428571429	4	0.8	0.6514285716
Ras signaling pathway	0.932756065	3	0.214285714	3	0.6	0.4457142856
Regulation of actin cytoskeleton	0.847089334	3	0.214285714	2	0.4	0.3257142856
Regulation of lipolysis in adipocytes	0.393554346	5	0.357142857	3	0.6	0.5028571428
Relaxin signaling pathway	0.97896809	1	0.071428571	1	0.2	0.1485714284
Renal cell carcinoma	0.882669728	1	0.071428571	1	0.2	0.1485714284
Renin secretion	0.445720095	4	0.285714286	3	0.6	0.4742857144
Retinol metabolism	0.584506189	1	0.071428571	1	0.2	0.1485714284
Retrograde endocannabinoid signaling	0.610731696	4	0.285714286	4	0.8	0.5942857144
RIG-I-like receptor signaling pathway	0.677289492	1	0.071428571	1	0.2	0.1485714284
Salivary secretion	0.575477246	4	0.285714286	3	0.6	0.4742857144
Salmonella infection	0.509136917	4	0.285714286	3	0.6	0.4742857144
Serotonergic synapse	0.017132828	14	1	5	1	1
Shigellosis	0.988282605	1	0.071428571	1	0.2	0.1485714284
Signaling pathways regulating pluripotency of stem cells	0.794952521	2	0.142857143	2	0.4	0.2971428572
Small cell lung cancer	0.31212513	5	0.357142857	4	0.8	0.6228571428
Sphingolipid metabolism	0.170177778	1	0.071428571	1	0.2	0.1485714284
Sphingolipid signaling pathway	0.783560807	3	0.214285714	2	0.4	0.3257142856
Spinocerebellar ataxia	0.775630403	2	0.142857143	2	0.4	0.2971428572
Staphylococcus aureus infection	0.311429369	1	0.071428571	1	0.2	0.1485714284
Steroid hormone biosynthesis	0.164755587	3	0.214285714	3	0.6	0.4457142856
Synaptic vesicle cycle	0.038700832	4	0.285714286	3	0.6	0.4742857144
T cell receptor signaling pathway	0.799960632	2	0.142857143	2	0.4	0.2971428572
Taste transduction	0.467888524	5	0.357142857	3	0.6	0.5028571428
Taurine and hypotaurine metabolism	0.08403682	1	0.071428571	1	0.2	0.1485714284
TGF-beta signaling pathway	0.647635599	1	0.071428571	1	0.2	0.1485714284
Th1 and Th2 cell differentiation	0.809612379	1	0.071428571	1	0.2	0.1485714284
Th17 cell differentiation	0.814339631	2	0.142857143	2	0.4	0.2971428572
Thermogenesis	0.33077205	4	0.285714286	3	0.6	0.4742857144
Thyroid cancer	0.251555851	3	0.214285714	2	0.4	0.3257142856
Thyroid hormone signaling pathway	0.818308367	3	0.214285714	2	0.4	0.3257142856
Thyroid hormone synthesis	0.193468619	2	0.142857143	2	0.4	0.2971428572
Tight junction	0.01854313	6	0.428571429	4	0.8	0.6514285716
TNF signaling pathway	0.486000598	4	0.285714286	3	0.6	0.4742857144
Toll-like receptor signaling pathway	0.915668687	1	0.071428571	1	0.2	0.1485714284
Toxoplasmosis	0.864189276	2	0.142857143	2	0.4	0.2971428572
Transcriptional misregulation in cancer	0.481320175	4	0.285714286	3	0.6	0.4742857144
Tryptophan metabolism	0.019817618	4	0.285714286	2	0.4	0.3542857144
Tuberculosis	0.650433126	3	0.214285714	2	0.4	0.3257142856
Type I diabetes mellitus	0.326382503	1	0.071428571	1	0.2	0.1485714284
Type II diabetes mellitus	0.707892155	2	0.142857143	2	0.4	0.2971428572
Tyrosine metabolism	0.07588894	3	0.214285714	1	0.2	0.2057142856
Valine, leucine and isoleucine degradation	0.296144787	1	0.071428571	1	0.2	0.1485714284
Vascular smooth muscle contraction	0.616762772	4	0.285714286	4	0.8	0.5942857144
VEGF signaling pathway	0.753621572	3	0.214285714	3	0.6	0.4457142856
Vibrio cholerae infection	0.030429211	3	0.214285714	2	0.4	0.3257142856
Viral carcinogenesis	0.467180866	4	0.285714286	3	0.6	0.4742857144
Viral myocarditis	0.415980062	1	0.071428571	1	0.2	0.1485714284
Vitamin digestion and absorption	0.205818841	1	0.071428571	1	0.2	0.1485714284
Wnt signaling pathway	0.488213034	2	0.142857143	2	0.4	0.2971428572
Yersinia infection	0.963495067	1	0.071428571	1	0.2	0.1485714284
