indication	p_value	Freq	count_lists_with_drugs	normalised_freq.freq.max.	normalised_count_lists_with_drugs	sum_of_norm_freq_norm_count_lists	product_of_norm_freq_norm_count_lists	score
medullary thyroid cancer (MTC)	0	5	4	0.084745763	0.210526316	0.295272079	0.017841213	0.1602140948
meningitis	0.86026228	5	4	0.084745763	0.210526316	0.295272079	0.017841213	0.1602140948
myasthenia gravis	0	5	3	0.084745763	0.157894737	0.2426405	0.01338091	0.1286351474
myelodysplastic diseases (MDS)	0	5	5	0.084745763	0.263157895	0.347903657	0.022301517	0.1917930422
obsessive compulsive disorder (OCD)	0.002859582	5	5	0.084745763	0.263157895	0.347903657	0.022301517	0.1917930422
prostate cancer	0.86026228	5	4	0.084745763	0.210526316	0.295272079	0.017841213	0.1602140948
psoriatic arthritis	0.033188958	5	4	0.084745763	0.210526316	0.295272079	0.017841213	0.1602140948
stroke	0.792534058	5	4	0.084745763	0.210526316	0.295272079	0.017841213	0.1602140948
tinea cruris	0.066143045	5	2	0.084745763	0.105263158	0.190008921	0.008920607	0.0970562
Alzheimer's disease	0.212970892	4	2	0.06779661	0.105263158	0.173059768	0.007136485	0.0902765388
anemia	0.460632362	4	4	0.06779661	0.210526316	0.278322926	0.014272971	0.1534344336
angina pectoris	0.966563677	4	3	0.06779661	0.157894737	0.225691347	0.010704728	0.1218554862
atrial fibrillation (AF)	0.611223313	4	3	0.06779661	0.157894737	0.225691347	0.010704728	0.1218554862
bone and joint infections	0.675911518	4	4	0.06779661	0.210526316	0.278322926	0.014272971	0.1534344336
chronic stable angina	0.009237188	4	4	0.06779661	0.210526316	0.278322926	0.014272971	0.1534344336
diabetic nephropathy	0.078775248	4	3	0.06779661	0.157894737	0.225691347	0.010704728	0.1218554862
generalized anxiety disorder (GAD)	0.139556968	4	4	0.06779661	0.210526316	0.278322926	0.014272971	0.1534344336
gout	0.294032573	4	4	0.06779661	0.210526316	0.278322926	0.014272971	0.1534344336
gram-positive bacterial infections	0.996207846	4	4	0.06779661	0.210526316	0.278322926	0.014272971	0.1534344336
hepatic cirrhosis	0.212970892	4	4	0.06779661	0.210526316	0.278322926	0.014272971	0.1534344336
hypercalcemia	0.460632362	4	4	0.06779661	0.210526316	0.278322926	0.014272971	0.1534344336
idiopathic pulmonary fibrosis (IPF)	0	4	4	0.06779661	0.210526316	0.278322926	0.014272971	0.1534344336
itching	0.460632362	4	3	0.06779661	0.157894737	0.225691347	0.010704728	0.1218554862
mycosis	0.078775248	4	4	0.06779661	0.210526316	0.278322926	0.014272971	0.1534344336
ovarian cancer	0.377934859	4	4	0.06779661	0.210526316	0.278322926	0.014272971	0.1534344336
pain relief	0.999640386	4	4	0.06779661	0.210526316	0.278322926	0.014272971	0.1534344336
panic disorders	0.009237188	4	4	0.06779661	0.210526316	0.278322926	0.014272971	0.1534344336
respiratory tract infections	0.997866371	4	4	0.06779661	0.210526316	0.278322926	0.014272971	0.1534344336
sedative	0.823155434	4	2	0.06779661	0.105263158	0.173059768	0.007136485	0.0902765388
tendinitis	0	4	4	0.06779661	0.210526316	0.278322926	0.014272971	0.1534344336
tinea corporis	0.294032573	4	2	0.06779661	0.105263158	0.173059768	0.007136485	0.0902765388
toothache	0.009237188	4	3	0.06779661	0.157894737	0.225691347	0.010704728	0.1218554862
tremors	0	4	3	0.06779661	0.157894737	0.225691347	0.010704728	0.1218554862
tuberculosis	0.823155434	4	4	0.06779661	0.210526316	0.278322926	0.014272971	0.1534344336
urinary incontinence	0.377934859	4	3	0.06779661	0.157894737	0.225691347	0.010704728	0.1218554862
weight-loss aid	0	4	4	0.06779661	0.210526316	0.278322926	0.014272971	0.1534344336
acute promyelocytic leukemia (APL)	0	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
bladder cancer	0.176813538	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
bronchitis	0.999704521	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
chronic renal failure	0.091573981	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
contrast agent	0.890194398	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
dermatitis herpetiformis (DH)	0.091573981	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
gastric adenocarcinoma	0.091573981	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
gastroesophageal reflux disease (GERD)	0.81952578	3	2	0.050847458	0.105263158	0.156110616	0.005352364	0.083496878
gastrointestinal roundworms	0.56448504	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
gastroparesis	0.029821386	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
hepatocellular carcinoma (HCC)	0	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
Hodgkin's lymphoma	0.56448504	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
hyperglycemia	0.091573981	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
hyperprolactinemia	0.091573981	3	2	0.050847458	0.105263158	0.156110616	0.005352364	0.083496878
hypophosphatemia	0	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
infertility	0.091573981	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
intra-abdominal infections	0.983945815	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
nasal congestion	0.56448504	3	2	0.050847458	0.105263158	0.156110616	0.005352364	0.083496878
neuroendocrine tumors of pancreatic origin (PNET)	0	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
otitis	0.915248319	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
peripheral artery disease (PAD)	0.176813538	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
posttraumatic stress disorder	0.029821386	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
restless leg syndrome	0.176813538	3	2	0.050847458	0.105263158	0.156110616	0.005352364	0.083496878
rickets	0	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
seborrheic dermatitis	0.376322971	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
senile dementia	0.81952578	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
social anxiety disorder	0.029821386	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
tapeworm	0.274851827	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
vasospastic angina	0	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
ventricular tachycardia (VT)	0.644435118	3	3	0.050847458	0.157894737	0.208742194	0.008028546	0.1150758254
acromegaly	0.229018345	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
acute glomerulonephritis (AGN)	0.229018345	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
acute intermittent porphyria (AIP)	0.096220372	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
amebiasis	0.866371226	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
anesthetic	0.970761986	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
angioedema	0.601917323	2	1	0.033898305	0.052631579	0.086529884	0.001784121	0.0451382694
backache	0.229018345	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
bacterial septicemia	0.98452051	2	1	0.033898305	0.052631579	0.086529884	0.001784121	0.0451382694
benign prostatic hyperplasia (BPH)	0.764762013	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
bronchospasm	0.821984005	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
cardiac arrythmia	0.970761986	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
cholera	0.764762013	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
chronic kidney disease (CKD)	0.229018345	2	1	0.033898305	0.052631579	0.086529884	0.001784121	0.0451382694
claudication	0.692155064	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
coccidiosis	0.970761986	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
common cold	0.866371226	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
cutaneous candidiasis	0	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
cystic hydatid disease	0.229018345	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
deep vein thrombosis (DVT)	0.94554445	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
drowsiness	0.229018345	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
dysentry	0.36646271	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
exercise-induced bronchoconstriction (EIB)	0	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
fatigue	0.601917323	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
first-aid antibiotic	0.601917323	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
gastrointestinal parasites	0.764762013	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
heart attack	0	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
heartburn	0.601917323	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
hemorrhage	0.764762013	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
histomoniasis	0	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
hookworm	0.36646271	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
human immunodeficiency virus (HIV-1)	0.999898954	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
hyperparathyroidism	0.601917323	2	1	0.033898305	0.052631579	0.086529884	0.001784121	0.0451382694
hyperthyroidism	0.492895491	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
hyperuricemia	0.229018345	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
hypocalcemia	0.096220372	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
hypotension	0.94554445	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
inflammatory bowel disease	0.229018345	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
intraocular pressure	0.960019641	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
iron overload	0.229018345	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
irritable bowel syndrome	0.991897162	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
Kaposi sarcoma	0	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
lupus	0.229018345	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
mantle cell lymphoma (MCL)	0.36646271	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
menopause	0.960019641	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
menstrual pain	0.229018345	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
muscle relaxant	0.99579814	2	1	0.033898305	0.052631579	0.086529884	0.001784121	0.0451382694
pancreatic cancer	0.601917323	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
parkinsonism	0.096220372	2	1	0.033898305	0.052631579	0.086529884	0.001784121	0.0451382694
pelvic inflammatory disease	0.866371226	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
peptic ulcer disease (PUD)	0.999438811	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
pheochromocytoma	0.229018345	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
psychosis	0.900373465	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
pulmonary arterial hypertension (PAH)	0.601917323	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
sinusitis	0.970761986	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
small lymphocytic lymphoma (SLL)	0.096220372	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
smoking cessation	0.229018345	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
soft tissue sarcoma (STS)	0	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
surgical prophylaxis	0.36646271	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
testicular carcinoma	0.764762013	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
tetanus	0	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
tinea versicolor	0	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
Tourette's disorder	0.096220372	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
true histiocytic lymphoma (THL)	0.096220372	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
urticaria	0.988786176	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
vitamin D deficiency	0.096220372	2	1	0.033898305	0.052631579	0.086529884	0.001784121	0.0451382694
vulvovaginal candidiasis	0.601917323	2	1	0.033898305	0.052631579	0.086529884	0.001784121	0.0451382694
yeast infection	0.229018345	2	2	0.033898305	0.105263158	0.139161463	0.003568243	0.0767172168
abstinence from alcohol	0.844097661	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
acquired immunodeficiency syndrome (AIDS)	0.773857227	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
acute abdominal visceral spasm	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
acute iron intoxication	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
akathisia	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
amenorrhea	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
amyotrophic lateral sclerosis (ALS)	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
anterior uveitis	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
anthrax	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
anxiety	0.999725142	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
aphthous ulcers	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
ascariasis	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
aspergillosis	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
atherosclerosis	0.844097661	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
basal cell carcinoma (BCC)	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
blackhead disease	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
bradycardia	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
brucellosis	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
bulimia nervosa	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
caudal epidural block	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
celluitis	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
cerebral cholesterosis	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
cerebrovascular insufficiency	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
cervical cancer	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
chancroid	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
chronic lymphocytic leukemia (CLL)	0.96482547	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
chronic venous insufficiency (CVI)	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
cold sore	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
colitis	0.892533729	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
congenital adrenal hyperplasia	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
congenital heart defects	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
contact dermatitis	0.773857227	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
contraceptive	0.999869931	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
cosmetic	0.999156416	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
cystic fibrosis	0.844097661	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
cytomegalovirus (CMV)	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
dermatographism	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
dermatomyositis	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
diarrhea	0.999725142	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
duchenne muscular dystrophy (DMD)	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
duodenal ulcer disease	0.96482547	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
dyslipidemia	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
dysthymic disorder	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
dystonia	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
ear infections	0.96482547	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
emphysema	0.96482547	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
endocarditis	0.96482547	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
enterocolitis	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
epicondylitis	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
erosive esophagitis (EE)	0.773857227	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
esophageal candidiasis	0.892533729	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
extrapyramidal symptoms (EPS)	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
fescue toxicosis	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
first-aid antiseptic	0.96482547	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
flea control	0.948954196	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
gallstones	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
general anaesthetic	0.773857227	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
genitial herpes	0.773857227	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
giardiasis	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
goiter	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
gonorrhea	0.983303967	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
Grave's disease	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
head and neck squamous cell carcinoma (HNSCC)	0.773857227	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
heart block	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
heavy leg syndrome	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
hemophilia	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
hepatitis B	0.996243561	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
Huntington's disease	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
hyperaldosteronism	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
hypertriglyceridemia	0.925930173	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
hypokalemia	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
impetigo	0.52434518	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
interstitial cystitis (IC)	0.773857227	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
jaundice	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
joint inflammation	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
joint pain	0.96482547	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
labor induction	0.773857227	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
left ventricular systolic dysfunction (LVSD)	0.310282776	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
leprosy	0.773857227	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
lice	0.892533729	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
lumbago	0.672008598	1	1	0.016949153	0.052631579	0.069580731	0.000892061	0.0383586086
