pathway	p_value	Freq.x	normalised_freq	score
Valine, leucine and isoleucine degradation	0.599831143	1	0.025	0.025
African trypanosomiasis	0.606403335	2	0.05	0.05
Starch and sucrose metabolism	0.611124896	1	0.025	0.025
Type II diabetes mellitus	0.61584972	6	0.15	0.15
Cushing syndrome	0.616424236	8	0.2	0.2
Chronic myeloid leukemia	0.617838509	7	0.175	0.175
Thyroid hormone synthesis	0.62132599	2	0.05	0.05
Chagas disease	0.621772	7	0.175	0.175
Staphylococcus aureus infection	0.622100083	1	0.025	0.025
Insulin signaling pathway	0.623792863	8	0.2	0.2
Axon guidance	0.637279534	7	0.175	0.175
Natural killer cell mediated cytotoxicity	0.637338796	5	0.125	0.125
Inflammatory bowel disease	0.642883486	2	0.05	0.05
Complement and coagulation cascades	0.64313043	1	0.025	0.025
Cysteine and methionine metabolism	0.64313043	1	0.025	0.025
Type I diabetes mellitus	0.64313043	1	0.025	0.025
Galactose metabolism	0.653202799	1	0.025	0.025
cGMP-PKG signaling pathway	0.653334587	16	0.4	0.4
Calcium signaling pathway	0.65459915	30	0.75	0.75
Pertussis	0.673363771	4	0.1	0.1
Th17 cell differentiation	0.685058584	7	0.175	0.175
AGE-RAGE signaling pathway in diabetic complications	0.685274013	9	0.225	0.225
Ether lipid metabolism	0.690729943	1	0.025	0.025
Herpes simplex virus 1 infection	0.695492878	7	0.175	0.175
Fc epsilon RI signaling pathway	0.695557462	6	0.15	0.15
Breast cancer	0.695795111	11	0.275	0.275
Epstein-Barr virus infection	0.706682991	9	0.225	0.225
GnRH signaling pathway	0.70905085	7	0.175	0.175
Cytosolic DNA-sensing pathway	0.716186843	1	0.025	0.025
Amoebiasis	0.722058204	4	0.1	0.1
Malaria	0.725181619	2	0.05	0.05
Pathways in cancer	0.725590534	29	0.725	0.725
Mitophagy	0.730794836	2	0.05	0.05
NOD-like receptor signaling pathway	0.734371877	6	0.15	0.15
Rap1 signaling pathway	0.741647244	16	0.4	0.4
mTOR signaling pathway	0.744323606	6	0.15	0.15
Ras signaling pathway	0.746858463	13	0.325	0.325
Tryptophan metabolism	0.74705201	2	0.05	0.05
Yersinia infection	0.747264091	7	0.175	0.175
Hepatitis C	0.752001642	9	0.225	0.225
TGF-beta signaling pathway	0.752280458	2	0.05	0.05
Arginine biosynthesis	0.754046504	1	0.025	0.025
Glycerolipid metabolism	0.754046504	1	0.025	0.025
Hippo signaling pathway	0.762457996	2	0.05	0.05
Toll-like receptor signaling pathway	0.763158378	5	0.125	0.125
Metabolism of xenobiotics by cytochrome P450	0.772270518	2	0.05	0.05
Signaling pathways regulating pluripotency of stem cells	0.775542756	6	0.15	0.15
Parathyroid hormone synthesis, secretion and action	0.778500826	6	0.15	0.15
Nitrogen metabolism	0.780666064	1	0.025	0.025
Growth hormone synthesis, secretion and action	0.781775616	7	0.175	0.175
Tight junction	0.786359553	4	0.1	0.1
Aldosterone-regulated sodium reabsorption	0.790902712	3	0.075	0.075
Gastric acid secretion	0.792850805	6	0.15	0.15
Toxoplasmosis	0.797660669	7	0.175	0.175
Th1 and Th2 cell differentiation	0.801972114	3	0.075	0.075
Pyrimidine metabolism	0.804406009	1	0.025	0.025
PD-L1 expression and PD-1 checkpoint pathway in cancer	0.807580764	8	0.2	0.2
Necroptosis	0.80913901	4	0.1	0.1
Peroxisome	0.80992831	1	0.025	0.025
Coronavirus disease	0.81900756	8	0.2	0.2
Measles	0.824365014	6	0.15	0.15
Rheumatoid arthritis	0.831511568	2	0.05	0.05
B cell receptor signaling pathway	0.835469344	4	0.1	0.1
Apoptosis	0.8540711	6	0.15	0.15
Oocyte meiosis	0.859632425	5	0.125	0.125
Drug metabolism	0.86115184	3	0.075	0.075
Basal cell carcinoma	0.861297076	1	0.025	0.025
Bacterial invasion of epithelial cells	0.861862638	2	0.05	0.05
Cytokine-cytokine receptor interaction	0.861862638	2	0.05	0.05
ErbB signaling pathway	0.862337165	6	0.15	0.15
Human T-cell leukemia virus 1 infection	0.86412478	7	0.175	0.175
Tuberculosis	0.86434207	6	0.15	0.15
Estrogen signaling pathway	0.877589189	10	0.25	0.25
Shigellosis	0.884843523	8	0.2	0.2
Human immunodeficiency virus 1 infection	0.888384034	7	0.175	0.175
Leukocyte transendothelial migration	0.892119401	3	0.075	0.075
p53 signaling pathway	0.892124408	2	0.05	0.05
Protein processing in endoplasmic reticulum	0.892819801	1	0.025	0.025
Viral carcinogenesis	0.893248437	6	0.15	0.15
Retinol metabolism	0.898788483	1	0.025	0.025
Endometrial cancer	0.902213205	4	0.1	0.1
Viral protein interaction with cytokine and cytokine receptor	0.904424954	1	0.025	0.025
Autophagy	0.909012021	4	0.1	0.1
Hedgehog signaling pathway	0.912296906	1	0.025	0.025
Cellular senescence	0.915405148	6	0.15	0.15
Proteoglycans in cancer	0.915679684	12	0.3	0.3
Linoleic acid metabolism	0.917181469	1	0.025	0.025
Regulation of actin cytoskeleton	0.917396328	8	0.2	0.2
Salmonella infection	0.919321884	6	0.15	0.15
Choline metabolism in cancer	0.920800406	5	0.125	0.125
Chemokine signaling pathway	0.92184413	6	0.15	0.15
Hepatitis B	0.934580721	7	0.175	0.175
JAK-STAT signaling pathway	0.935542163	5	0.125	0.125
Central carbon metabolism in cancer	0.940630599	6	0.15	0.15
Glioma	0.944931384	5	0.125	0.125
Fluid shear stress and atherosclerosis	0.946558411	7	0.175	0.175
Bladder cancer	0.95127443	3	0.075	0.075
Progesterone-mediated oocyte maturation	0.952219821	5	0.125	0.125
Epithelial cell signaling in Helicobacter pylori infection	0.956149733	3	0.075	0.075
Prostate cancer	0.958216219	8	0.2	0.2
Fc gamma R-mediated phagocytosis	0.960480058	2	0.05	0.05
Gastric cancer	0.962283947	6	0.15	0.15
Phospholipase D signaling pathway	0.96243497	7	0.175	0.175
Non-small cell lung cancer	0.964225323	5	0.125	0.125
PI3K-Akt signaling pathway	0.966484298	13	0.325	0.325
Influenza A	0.967972645	4	0.1	0.1
FoxO signaling pathway	0.970415676	6	0.15	0.15
Pancreatic cancer	0.970795459	5	0.125	0.125
Renal cell carcinoma	0.975014899	2	0.05	0.05
MAPK signaling pathway	0.977123511	8	0.2	0.2
Colorectal cancer	0.977205306	4	0.1	0.1
Endocytosis	0.978415711	2	0.05	0.05
Focal adhesion	0.979994269	6	0.15	0.15
HIF-1 signaling pathway	0.98107735	5	0.125	0.125
Sphingolipid signaling pathway	0.982809024	5	0.125	0.125
Adherens junction	0.985790689	2	0.05	0.05
Relaxin signaling pathway	0.989812439	4	0.1	0.1
Melanoma	0.990815342	3	0.075	0.075
Hepatocellular carcinoma	0.991928469	4	0.1	0.1
