pathway	p_value	Freq.x	normalised_freq	count_lists_with_drugs	normalised_count_lists_with_drugs	score
Basal cell carcinoma	0.815256156	1	0.038461538	1	0.333333333	0.215384615
Basal transcription factors	0.032799049	2	0.076923077	1	0.333333333	0.2307692306
Bile secretion	0.994847337	1	0.038461538	1	0.333333333	0.215384615
Bladder cancer	0.448628885	6	0.230769231	2	0.666666667	0.4923076926
Breast cancer	0.267011591	13	0.5	3	1	0.8
Butanoate metabolism	0.356205061	1	0.038461538	1	0.333333333	0.215384615
C-type lectin receptor signaling pathway	0.495564136	9	0.346153846	2	0.666666667	0.5384615386
Calcium signaling pathway	0.962753418	19	0.730769231	3	1	0.8923076924
cAMP signaling pathway	0.986635633	14	0.538461538	3	1	0.8153846152
Carbohydrate digestion and absorption	0.406650732	4	0.153846154	2	0.666666667	0.4615384618
Cardiac muscle contraction	0.805982867	1	0.038461538	1	0.333333333	0.215384615
Cell cycle	0.00171175	13	0.5	3	1	0.8
Cellular senescence	0.036324439	14	0.538461538	1	0.333333333	0.415384615
Central carbon metabolism in cancer	0.502238949	9	0.346153846	2	0.666666667	0.5384615386
cGMP-PKG signaling pathway	0.716543416	13	0.5	3	1	0.8
Chagas disease	0.459177613	7	0.269230769	2	0.666666667	0.5076923078
Chemical carcinogenesis	0.962410501	14	0.538461538	3	1	0.8153846152
Chemokine signaling pathway	0.444857287	9	0.346153846	2	0.666666667	0.5384615386
Choline metabolism in cancer	0.420726038	8	0.307692308	2	0.666666667	0.5230769234
Cholinergic synapse	0.980764451	5	0.192307692	2	0.666666667	0.476923077
Chronic myeloid leukemia	0.012726063	13	0.5	3	1	0.8
Circadian entrainment	0.783530016	4	0.153846154	2	0.666666667	0.4615384618
Citrate cycle (TCA cycle)	0.32391622	1	0.038461538	1	0.333333333	0.215384615
Cocaine addiction	0.203336787	11	0.423076923	3	1	0.7692307692
Colorectal cancer	0.630296574	7	0.269230769	1	0.333333333	0.3076923074
Coronavirus disease	0.185988652	12	0.461538462	3	1	0.7846153848
Cortisol synthesis and secretion	0.25438754	4	0.153846154	2	0.666666667	0.4615384618
Cushing syndrome	0.115924425	11	0.423076923	3	1	0.7692307692
Cytokine-cytokine receptor interaction	0.949572572	1	0.038461538	1	0.333333333	0.215384615
Cytosolic DNA-sensing pathway	0.089974482	3	0.115384615	1	0.333333333	0.2461538458
Diabetic cardiomyopathy	0.29092305	11	0.423076923	3	1	0.7692307692
Dilated cardiomyopathy	0.897303734	2	0.076923077	2	0.666666667	0.430769231
DNA replication	0.011304441	2	0.076923077	2	0.666666667	0.430769231
Dopaminergic synapse	0.590149729	11	0.423076923	3	1	0.7692307692
Drug metabolism	0.918842905	2	0.076923077	2	0.666666667	0.430769231
Endocrine and other factor-regulated calcium reabsorption	0.651031834	3	0.115384615	3	1	0.646153846
Endocytosis	0.866387025	3	0.115384615	2	0.666666667	0.4461538462
Endometrial cancer	0.824168965	4	0.153846154	1	0.333333333	0.2615384614
Epithelial cell signaling in Helicobacter pylori infection	0.469754782	6	0.230769231	1	0.333333333	0.2923076922
Epstein-Barr virus infection	0.034369175	15	0.576923077	2	0.666666667	0.630769231
ErbB signaling pathway	0.123713882	11	0.423076923	3	1	0.7692307692
Estrogen signaling pathway	0.948478072	7	0.269230769	2	0.666666667	0.5076923078
Fatty acid degradation	0.444115389	1	0.038461538	1	0.333333333	0.215384615
Fc epsilon RI signaling pathway	0.71121647	5	0.192307692	2	0.666666667	0.476923077
Fc gamma R-mediated phagocytosis	0.421135055	5	0.192307692	2	0.666666667	0.476923077
Fluid shear stress and atherosclerosis	0.411362386	11	0.423076923	3	1	0.7692307692
Focal adhesion	0.801267127	8	0.307692308	3	1	0.7230769232
Folate biosynthesis	0.71293734	1	0.038461538	1	0.333333333	0.215384615
FoxO signaling pathway	0.263681059	12	0.461538462	2	0.666666667	0.584615385
GABAergic synapse	0.527380654	5	0.192307692	2	0.666666667	0.476923077
Gap junction	0.160073635	18	0.692307692	3	1	0.8769230768
Gastric acid secretion	0.96390906	3	0.115384615	2	0.666666667	0.4461538462
Gastric cancer	0.227228703	12	0.461538462	1	0.333333333	0.3846153846
Glioma	0.1465822	11	0.423076923	2	0.666666667	0.5692307694
Glucagon signaling pathway	0.722047773	3	0.115384615	2	0.666666667	0.4461538462
Glutamatergic synapse	0.932366354	3	0.115384615	2	0.666666667	0.4461538462
Glutathione metabolism	0.659279755	1	0.038461538	1	0.333333333	0.215384615
GnRH secretion	0.509065174	7	0.269230769	2	0.666666667	0.5076923078
GnRH signaling pathway	0.5499924	7	0.269230769	2	0.666666667	0.5076923078
Growth hormone synthesis, secretion and action	0.345895315	9	0.346153846	2	0.666666667	0.5384615386
Hedgehog signaling pathway	0.61200169	2	0.076923077	1	0.333333333	0.2307692306
Hematopoietic cell lineage	0.473718368	3	0.115384615	2	0.666666667	0.4461538462
Hepatitis B	0.035061537	16	0.615384615	2	0.666666667	0.6461538462
Hepatitis C	0.217205093	12	0.461538462	1	0.333333333	0.3846153846
Hepatocellular carcinoma	0.262366549	11	0.423076923	2	0.666666667	0.5692307694
Herpes simplex virus 1 infection	0.045919047	12	0.461538462	2	0.666666667	0.584615385
HIF-1 signaling pathway	0.296738609	11	0.423076923	3	1	0.7692307692
Hippo signaling pathway	0.683092256	2	0.076923077	2	0.666666667	0.430769231
Human cytomegalovirus infection	0.556759856	15	0.576923077	2	0.666666667	0.630769231
Human immunodeficiency virus 1 infection	0.001539259	19	0.730769231	2	0.666666667	0.6923076926
Human papillomavirus infection	0.126961586	19	0.730769231	2	0.666666667	0.6923076926
Human T-cell leukemia virus 1 infection	0.083832386	13	0.5	1	0.333333333	0.3999999998
Huntington disease	0.21622713	11	0.423076923	2	0.666666667	0.5692307694
Hypertrophic cardiomyopathy	0.944378583	1	0.038461538	1	0.333333333	0.215384615
IL-17 signaling pathway	0.808599526	5	0.192307692	2	0.666666667	0.476923077
Inflammatory bowel disease	0.558180702	2	0.076923077	2	0.666666667	0.430769231
Inflammatory mediator regulation of TRP channels	0.27714653	14	0.538461538	3	1	0.8153846152
Influenza A	0.056665115	12	0.461538462	2	0.666666667	0.584615385
Inositol phosphate metabolism	0.443703386	2	0.076923077	1	0.333333333	0.2307692306
Insulin resistance	0.123713882	11	0.423076923	2	0.666666667	0.5692307694
Insulin secretion	0.879557442	4	0.153846154	2	0.666666667	0.4615384618
Insulin signaling pathway	0.200880001	10	0.384615385	3	1	0.753846154
JAK-STAT signaling pathway	0.61352919	7	0.269230769	1	0.333333333	0.3076923074
Kaposi sarcoma-associated herpesvirus infection	0.357205078	14	0.538461538	1	0.333333333	0.415384615
Legionellosis	0.551089914	2	0.076923077	2	0.666666667	0.430769231
Leishmaniasis	0.893238152	4	0.153846154	2	0.666666667	0.4615384618
Leukocyte transendothelial migration	0.282485995	6	0.230769231	2	0.666666667	0.4923076926
Linoleic acid metabolism	0.881120017	1	0.038461538	1	0.333333333	0.215384615
Lipid and atherosclerosis	0.497812971	13	0.5	3	1	0.8
Long-term depression	0.932126171	2	0.076923077	2	0.666666667	0.430769231
Long-term potentiation	0.86437997	4	0.153846154	2	0.666666667	0.4615384618
Longevity regulating pathway	0.139021643	10	0.384615385	2	0.666666667	0.5538461542
Malaria	0.889543005	1	0.038461538	1	0.333333333	0.215384615
MAPK signaling pathway	0.467243371	13	0.5	3	1	0.8
Measles	0.024114254	13	0.5	2	0.666666667	0.6000000002
Melanogenesis	0.812700437	3	0.115384615	3	1	0.646153846
Melanoma	0.582349788	7	0.269230769	1	0.333333333	0.3076923074
Metabolism of xenobiotics by cytochrome P450	0.911399208	1	0.038461538	1	0.333333333	0.215384615
MicroRNAs in cancer	0.624137692	14	0.538461538	3	1	0.8153846152
Mineral absorption	0.76970731	1	0.038461538	1	0.333333333	0.215384615
Mitophagy	0.377705787	3	0.115384615	1	0.333333333	0.2461538458
Morphine addiction	0.772064649	6	0.230769231	3	1	0.6923076924
mTOR signaling pathway	0.101727967	10	0.384615385	2	0.666666667	0.5538461542
Natural killer cell mediated cytotoxicity	0.324469693	6	0.230769231	2	0.666666667	0.4923076926
Necroptosis	0.857342971	3	0.115384615	2	0.666666667	0.4461538462
Neuroactive ligand-receptor interaction	0.999997726	12	0.461538462	2	0.666666667	0.584615385
Neurotrophin signaling pathway	0.37988722	9	0.346153846	3	1	0.7384615384
Neutrophil extracellular trap formation	0.060897369	13	0.5	2	0.666666667	0.6000000002
NF-kappa B signaling pathway	0.486210834	7	0.269230769	2	0.666666667	0.5076923078
Nicotinate and nicotinamide metabolism	0.585580014	1	0.038461538	1	0.333333333	0.215384615
Nicotine addiction	0.986908671	1	0.038461538	1	0.333333333	0.215384615
NOD-like receptor signaling pathway	0.42792879	7	0.269230769	3	1	0.7076923076
Non-alcoholic fatty liver disease	0.748031273	6	0.230769231	2	0.666666667	0.4923076926
Non-homologous end-joining	0.023087165	2	0.076923077	1	0.333333333	0.2307692306
Non-small cell lung cancer	0.579240378	8	0.307692308	2	0.666666667	0.5230769234
Notch signaling pathway	0.358871866	2	0.076923077	2	0.666666667	0.430769231
Nucleotide excision repair	0.055975183	2	0.076923077	1	0.333333333	0.2307692306
One carbon pool by folate	0.554006068	1	0.038461538	1	0.333333333	0.215384615
Oocyte meiosis	0.439681175	7	0.269230769	1	0.333333333	0.3076923074
Osteoclast differentiation	0.403827348	9	0.346153846	3	1	0.7384615384
Oxytocin signaling pathway	0.891064843	7	0.269230769	2	0.666666667	0.5076923078
p53 signaling pathway	0.015829488	8	0.307692308	1	0.333333333	0.323076923
Pancreatic cancer	0.086676568	13	0.5	1	0.333333333	0.3999999998
Pancreatic secretion	0.943320754	3	0.115384615	2	0.666666667	0.4461538462
Parathyroid hormone synthesis, secretion and action	0.785735965	5	0.192307692	3	1	0.6769230768
Parkinson disease	0.66683128	8	0.307692308	3	1	0.7230769232
Pathogenic Escherichia coli infection	0.408281626	7	0.269230769	3	1	0.7076923076
Pathways in cancer	0.629759493	26	1	3	1	1
Pathways of neurodegeneration	0.795844857	16	0.615384615	3	1	0.846153846
PD-L1 expression and PD-1 checkpoint pathway in cancer	0.174577679	12	0.461538462	2	0.666666667	0.584615385
Pentose and glucuronate interconversions	0.457553499	1	0.038461538	1	0.333333333	0.215384615
Pertussis	0.753081177	3	0.115384615	2	0.666666667	0.4461538462
Phagosome	0.87817206	1	0.038461538	1	0.333333333	0.215384615
Phosphatidylinositol signaling system	0.164218305	4	0.153846154	2	0.666666667	0.4615384618
Phospholipase D signaling pathway	0.254302664	13	0.5	3	1	0.8
PI3K-Akt signaling pathway	0.150635376	22	0.846153846	3	1	0.9384615384
Platelet activation	0.870285152	6	0.230769231	2	0.666666667	0.4923076926
Porphyrin and chlorophyll metabolism	0.32391622	1	0.038461538	1	0.333333333	0.215384615
PPAR signaling pathway	0.949572572	1	0.038461538	1	0.333333333	0.215384615
Primary immunodeficiency	0.410464393	2	0.076923077	1	0.333333333	0.2307692306
Prion disease	0.649864146	7	0.269230769	2	0.666666667	0.5076923078
Progesterone-mediated oocyte maturation	0.260340374	10	0.384615385	2	0.666666667	0.5538461542
Prolactin signaling pathway	0.83381857	6	0.230769231	2	0.666666667	0.4923076926
Prostate cancer	0.115325974	16	0.615384615	2	0.666666667	0.6461538462
Protein processing in endoplasmic reticulum	0.851800693	1	0.038461538	1	0.333333333	0.215384615
Proteoglycans in cancer	0.690468254	13	0.5	3	1	0.8
Purine metabolism	0.840487316	2	0.076923077	2	0.666666667	0.430769231
Pyrimidine metabolism	0.752154797	1	0.038461538	1	0.333333333	0.215384615
Rap1 signaling pathway	0.702958707	14	0.538461538	3	1	0.8153846152
Ras signaling pathway	0.421636122	14	0.538461538	3	1	0.8153846152
Regulation of actin cytoskeleton	0.947426737	6	0.230769231	1	0.333333333	0.2923076922
Regulation of lipolysis in adipocytes	0.951069412	5	0.192307692	2	0.666666667	0.476923077
Relaxin signaling pathway	0.614952627	8	0.307692308	2	0.666666667	0.5230769234
Renal cell carcinoma	0.852622928	3	0.115384615	1	0.333333333	0.2461538458
Renin-angiotensin system	0.435489822	2	0.076923077	1	0.333333333	0.2307692306
Renin secretion	0.876193465	5	0.192307692	2	0.666666667	0.476923077
Retinol metabolism	0.858885265	1	0.038461538	1	0.333333333	0.215384615
Retrograde endocannabinoid signaling	0.995716417	3	0.115384615	2	0.666666667	0.4461538462
Rheumatoid arthritis	0.760878016	2	0.076923077	2	0.666666667	0.430769231
RIG-I-like receptor signaling pathway	0.238632477	4	0.153846154	1	0.333333333	0.2615384614
RNA polymerase	0.024165223	1	0.038461538	1	0.333333333	0.215384615
Salivary secretion	0.791928545	7	0.269230769	3	1	0.7076923076
Salmonella infection	0.716120559	7	0.269230769	2	0.666666667	0.5076923078
Serotonergic synapse	0.933753343	11	0.423076923	3	1	0.7692307692
Shigellosis	0.115481673	14	0.538461538	2	0.666666667	0.6153846154
Signaling pathways regulating pluripotency of stem cells	0.959732287	3	0.115384615	1	0.333333333	0.2461538458
Small cell lung cancer	0.07050337	13	0.5	1	0.333333333	0.3999999998
Sphingolipid signaling pathway	0.952541057	5	0.192307692	2	0.666666667	0.476923077
Spinocerebellar ataxia	0.290817057	8	0.307692308	2	0.666666667	0.5230769234
Starch and sucrose metabolism	0.554006068	1	0.038461538	1	0.333333333	0.215384615
Steroid hormone biosynthesis	0.956468974	1	0.038461538	1	0.333333333	0.215384615
Systemic lupus erythematosus	0.832495011	1	0.038461538	1	0.333333333	0.215384615
T cell receptor signaling pathway	0.069535641	11	0.423076923	2	0.666666667	0.5692307694
Taste transduction	0.870964823	7	0.269230769	2	0.666666667	0.5076923078
TGF-beta signaling pathway	0.902276876	1	0.038461538	1	0.333333333	0.215384615
Th1 and Th2 cell differentiation	0.302019022	5	0.192307692	2	0.666666667	0.476923077
Th17 cell differentiation	0.244882038	9	0.346153846	2	0.666666667	0.5384615386
Thermogenesis	0.463060173	7	0.269230769	2	0.666666667	0.5076923078
Thyroid cancer	0.741784413	3	0.115384615	2	0.666666667	0.4461538462
Thyroid hormone signaling pathway	0.513554116	10	0.384615385	2	0.666666667	0.5538461542
Thyroid hormone synthesis	0.536668835	2	0.076923077	2	0.666666667	0.430769231
Tight junction	0.178261338	7	0.269230769	2	0.666666667	0.5076923078
TNF signaling pathway	0.545496909	8	0.307692308	3	1	0.7230769232
Toll-like receptor signaling pathway	0.302869297	7	0.269230769	2	0.666666667	0.5076923078
Toxoplasmosis	0.65306509	7	0.269230769	2	0.666666667	0.5076923078
Transcriptional misregulation in cancer	0.173844974	11	0.423076923	3	1	0.7692307692
Tuberculosis	0.750789359	6	0.230769231	3	1	0.6923076924
Type II diabetes mellitus	0.099422151	9	0.346153846	2	0.666666667	0.5384615386
Valine, leucine and isoleucine degradation	0.542955977	1	0.038461538	1	0.333333333	0.215384615
Vascular smooth muscle contraction	0.727341447	8	0.307692308	3	1	0.7230769232
VEGF signaling pathway	0.76853151	7	0.269230769	3	1	0.7076923076
Vibrio cholerae infection	0.189082889	3	0.115384615	2	0.666666667	0.4461538462
Viral carcinogenesis	0.026188623	14	0.538461538	2	0.666666667	0.6153846154
Viral myocarditis	0.698532323	1	0.038461538	1	0.333333333	0.215384615
Viral protein interaction with cytokine and cytokine receptor	0.865631372	1	0.038461538	1	0.333333333	0.215384615
Wnt signaling pathway	0.880099407	2	0.076923077	2	0.666666667	0.430769231
Yersinia infection	0.305778082	9	0.346153846	2	0.666666667	0.5384615386
