moa	p_value	Freq	count_lists_with_drugs	normalised_freq.freq.max.	normalised_count_lists_with_drugs	sum_of_norm_freq_norm_count_lists	product_of_norm_freq_norm_count_lists	score
dystrophin stimulant	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
excipient	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
food preservative	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
glycosylated protein precursor	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
hemoglobin antagonist	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
hydrogen peroxide decomposition inhibitor	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
IL5 inhibitor	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
norepinephrine precursor	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
PKA inhibitor	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
polar auxin transport inhibitor	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
prolactin inhibitor	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
prostaglandin synthesis inhibitor	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
thymidine phosphorylase inhibitor	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
thyroid peroxidase inhibitor	0.138547982	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
bacterial DNA gyrase inhibitor	0.144785469	7	3	0.189189189	0.157894737	0.347083926	0.029871977	0.1704125178
bacterial antifolate	0.150845525	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
thymidylate synthase inhibitor	0.150845525	3	2	0.081081081	0.105263158	0.186344239	0.008534851	0.0955903272
PPAR receptor agonist	0.182527953	7	6	0.189189189	0.315789474	0.504978663	0.059743954	0.26514936
selective estrogen receptor modulator (SERM)	0.187146286	3	2	0.081081081	0.105263158	0.186344239	0.008534851	0.0955903272
antibacterial	0.196892196	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
norepinephrine reputake inhibitor	0.196892196	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
hypoxia inducible factor prolyl hydroxylase inhibitor	0.196892196	2	1	0.054054054	0.052631579	0.106685633	0.00284495	0.053200569
phosphodiesterase inhibitor	0.204625015	15	9	0.405405405	0.473684211	0.879089616	0.192034139	0.4463726886
adrenergic receptor agonist	0.223466398	16	10	0.432432432	0.526315789	0.958748222	0.227596017	0.4887624462
acetylcholine receptor antagonist	0.231260309	15	9	0.405405405	0.473684211	0.879089616	0.192034139	0.4463726886
aromatase inhibitor	0.251549313	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
insulin secretagogue	0.251549313	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
adenosine reuptake inhibitor	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
adenylyl cyclase inhibitor	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
breast cancer resistance protein inhibitor	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
butyrylcholinesterase inhibitor	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
cAMP stimulant	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
coloring agent	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
dihydropyrimidine dehydrogenase inhibitor	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
dopamine precursor	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
dopamine receptor partial agonist	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
electrolyte reabsorption inhibitor	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
folate receptor ligand	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
fungal lanosterol demethylase inhibitor	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
myeloperoxidase inhibitor	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
nematocide	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
neuromuscular blocker	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
renin inhibitor	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
serotonin transporter (SERT) inhibitor	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
succinimide antiepileptic	0.257918071	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
lipoxygenase inhibitor	0.28749639	5	4	0.135135135	0.210526316	0.345661451	0.028449502	0.1803698436
bone resorption inhibitor	0.305158164	3	2	0.081081081	0.105263158	0.186344239	0.008534851	0.0955903272
estrogen receptor antagonist	0.305158164	3	2	0.081081081	0.105263158	0.186344239	0.008534851	0.0955903272
topoisomerase inhibitor	0.32279666	8	7	0.216216216	0.368421053	0.584637269	0.079658606	0.3075391182
leukotriene receptor antagonist	0.345620204	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
FXR agonist	0.360590159	2	1	0.054054054	0.052631579	0.106685633	0.00284495	0.053200569
aldehyde dehydrogenase inhibitor	0.360762438	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
benzodiazepine receptor antagonist	0.360762438	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
beta secretase inhibitor	0.360762438	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
calcium sensitizer	0.360762438	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
capillary stabilizing agent	0.360762438	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
CFTR channel agonist	0.360762438	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
histamine receptor modulator	0.360762438	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
hydantoin antiepileptic	0.360762438	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
kainate receptor antagonist	0.360762438	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
neprilysin inhibitor	0.360762438	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
penicillin binding protein inhibitor	0.360762438	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
phospholipase activator	0.360762438	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
photosensitizing agent	0.360762438	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
plasminogen activator inhibitor	0.360762438	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
TP53 activator	0.360762438	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
estrogen receptor agonist	0.374513666	5	4	0.135135135	0.210526316	0.345661451	0.028449502	0.1803698436
ALK tyrosine kinase receptor inhibitor	0.385845164	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
radiopaque medium	0.385845164	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
DNA replication inhibitor	0.449366816	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
FABI inhibitor	0.449366816	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
guanylate cyclase activator	0.449366816	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
melanin inhibitor	0.449366816	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
microtubule stabilizing agent	0.449366816	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
potassium channel antagonist	0.449366816	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
solute carrier family member inhibitor	0.449366816	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
thiazide diuretic	0.449366816	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
vesicular monoamine transporter inhibitor	0.449366816	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
NFkB pathway inhibitor	0.461460085	5	5	0.135135135	0.263157895	0.39829303	0.035561878	0.211948791
adenosine receptor agonist	0.463064881	4	4	0.108108108	0.210526316	0.318634424	0.022759602	0.1695590328
angiogenesis inhibitor	0.463221881	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
TRPV agonist	0.463221881	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
carbonic anhydrase inhibitor	0.501609305	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
chelating agent	0.501609305	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
alcohol dehydrogenase inhibitor	0.52570108	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
glutamate inhibitor	0.52570108	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
leukotriene synthesis inhibitor	0.52570108	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
prostanoid receptor antagonist	0.526074244	4	4	0.108108108	0.210526316	0.318634424	0.022759602	0.1695590328
cytochrome P450 inhibitor	0.544515448	5	5	0.135135135	0.263157895	0.39829303	0.035561878	0.211948791
antiprotozoal agent	0.555497327	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
bacterial 30S ribosomal subunit inhibitor	0.585274264	4	4	0.108108108	0.210526316	0.318634424	0.022759602	0.1695590328
11-beta hydroxysteroid dehydrogenase inhibitor	0.591462857	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
aryl hydrocarbon receptor agonist	0.591462857	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
calcineurin inhibitor	0.591462857	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
cytokine production inhibitor	0.591462857	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
dihydroorotate dehydrogenase inhibitor	0.591462857	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
hedgehog pathway inhibitor	0.591462857	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
thromboxane receptor antagonist	0.591462857	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
dihydrofolate reductase inhibitor	0.597220521	2	1	0.054054054	0.052631579	0.106685633	0.00284495	0.053200569
ribonucleotide reductase inhibitor	0.635928262	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
antihistamine	0.648115115	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
bacterial permeability inducer	0.648115115	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
DNA directed DNA polymerase inhibitor	0.648115115	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
mineralocorticoid receptor antagonist	0.648115115	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
nitric oxide donor	0.648115115	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
thromboxane synthase inhibitor	0.648115115	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
vitamin K antagonist	0.648115115	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
benzodiazepine receptor agonist	0.689674193	4	4	0.108108108	0.210526316	0.318634424	0.022759602	0.1695590328
GABA receptor antagonist	0.693351135	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
progesterone receptor agonist	0.693351135	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
bacterial cell wall synthesis inhibitor	0.694959429	12	9	0.324324324	0.473684211	0.798008535	0.153627312	0.4139402562
tumor necrosis factor production inhibitor	0.696918569	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
endothelin receptor antagonist	0.704481322	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
anticonvulsant	0.73895962	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
DNA methyltransferase inhibitor	0.73895962	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
nicotinic receptor agonist	0.73895962	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
platelet aggregation inhibitor	0.73895962	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
smoothened receptor antagonist	0.73895962	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
vitamin B	0.73895962	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
potassium channel activator	0.761927643	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
monoamine oxidase inhibitor	0.765828385	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
acetylcholine receptor agonist	0.766485535	5	4	0.135135135	0.210526316	0.345661451	0.028449502	0.1803698436
bacterial 50S ribosomal subunit inhibitor	0.786841793	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
casein kinase inhibitor	0.806369687	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
CCK receptor antagonist	0.806369687	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
melatonin receptor agonist	0.806369687	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
muscle relaxant	0.806369687	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
sigma receptor agonist	0.806369687	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
DNA inhibitor	0.809430736	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
cholesterol inhibitor	0.833240481	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
hypoxia inducible factor inhibitor	0.833240481	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
HIV protease inhibitor	0.856385744	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
nucleoside reverse transcriptase inhibitor	0.856385744	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
STAT inhibitor	0.856385744	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
DNA polymerase inhibitor	0.87632153	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
DNA synthesis inhibitor	0.903577277	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
glutamate receptor positive allosteric modulator	0.908281682	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
Aurora kinase inhibitor	0.915894038	2	1	0.054054054	0.052631579	0.106685633	0.00284495	0.053200569
dopamine reuptake inhibitor	0.921019204	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
protein synthesis inhibitor	0.92973196	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
GABA receptor modulator	0.93198941	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
glycogen synthase kinase inhibitor	0.93198941	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
ATPase inhibitor	0.934004849	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
Bruton's tyrosine kinase (BTK) inhibitor	0.941437286	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
histamine receptor antagonist	0.944666759	7	6	0.189189189	0.315789474	0.504978663	0.059743954	0.26514936
adenosine receptor antagonist	0.964475096	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
CDK inhibitor	0.970912063	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
PARP inhibitor	0.97228668	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
mTOR inhibitor	0.972395382	2	2	0.054054054	0.105263158	0.159317212	0.0056899	0.0847795164
opioid receptor agonist	0.979458002	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
p38 MAPK inhibitor	0.982315038	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
potassium channel blocker	0.984775075	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
antioxidant	0.996599899	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
JAK inhibitor	0.997073638	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
glutamate receptor antagonist	0.999641877	3	3	0.081081081	0.157894737	0.238975818	0.012802276	0.1271692746
PI3K inhibitor	0.999949541	1	1	0.027027027	0.052631579	0.079658606	0.001422475	0.0423897582
