drug.me	AD.composite.score.repurposed	AD.ranking.repurposed	AD.composite.score.trials	AD.ranking.trials	AD.weighted_sum	AD.rank_of_weighted_sum	PD.composite.score.repurposed	PD.ranking.repurposed	PD.composite.score.trials	PD.ranking.trials	PD.weighted.sum	PD.ranking.of.weighted.sum	HD.composite.score.repurposed	HD.ranking.repurposed	HD.composite.score.trials	HD.ranking.trials	HD_weighted_sum	HD_rank_of_weighted_sum	MS.composite.score.repurposed	MS.ranking.repurposed	MS.composite.score.trials	MS.ranking.trials	MS.weighted.sum	MS.ranking.weighted.sum
zotepine	0.779029193	11	0.65	92	0.714514597	29	0.525395109	434	0.633333333	172	0.579364221	122	0.533333333	48	0.6	165	0.566666667	39	0.294857143	667	0.346666667	304	0.320761905	120
iloperidone	0.778053583	12	0.6	123	0.689026792	84	0.516097812	440	0.666666667	128	0.59138224	108	0.533333333	25	0.633333333	92	0.583333333	10	0.294857143	574	0.293333333	358	0.294095238	293
clozapine	0.770248705	13	0.7	20	0.735124353	8	0.507881596	454	0.666666667	119	0.587274132	112	0.533333333	21	0.633333333	90	0.583333333	8	0.294857143	546	0.293333333	338	0.294095238	288
pipotiazine-palmitate	0.770248705	14	0.65	91	0.710124353	30	0.513719434	445	0.666666667	138	0.590193051	111	0.533333333	39	0.633333333	99	0.583333333	14	0.294857143	617	0.346666667	239	0.320761905	101
loxapine	0.76374464	15	0.7	33	0.73187232	9	0.492314028	488	0.633333333	156	0.562823681	129	0.533333333	28	0.6	140	0.566666667	29	0.289142857	724	0.293333333	367	0.291238095	324
perospirone	0.751632487	16	0.6	127	0.675816244	88	0.509611326	451	0.633333333	165	0.57147233	126	0.533333333	35	0.6	152	0.566666667	35	0.294857143	611	0.346666667	231	0.320761905	99
lamotrigine	0.750927145	17	0.6	125	0.675463573	89	0.516097812	441	0.7	62	0.608048906	102	0.086666667	1013	0.4	533	0.243333334	570	0	3018	0.693333333	10	0.346666667	53
benperidol	0.750166132	18	0.2	1143	0.475083066	126	0.287135135	2311	0.333333333	1028	0.310234234	1271	0.533333333	16	0.6	118	0.566666667	22	0.294857143	530	0.346666667	106	0.320761905	78
bromperidol	0.750166132	19	0.2	1148	0.475083066	127	0.287135135	2314	0.333333333	1033	0.310234234	1273	0.533333333	18	0.6	121	0.566666667	24	0.294857143	535	0.346666667	113	0.320761905	81
cariprazine	0.750166132	20	0.2	1155	0.475083066	128	0.287135135	2317	0.333333333	1041	0.310234234	1274	0.533333333	19	0.6	123	0.566666667	25	0.294857143	539	0.346666667	123	0.320761905	83
fluphezine-decanoate	0.750166132	21	0.25	911	0.500083066	111	0.302918919	2110	0.333333333	1101	0.318126126	1146	0.533333333	23	0.6	134	0.566666667	26	0.347428571	460	0.346666667	153	0.347047619	34
levosulpiride	0.750166132	22	0.2	1206	0.475083066	129	0.287135135	2339	0.333333333	1134	0.310234234	1280	0.533333333	27	0.6	139	0.566666667	28	0.294857143	585	0.346666667	185	0.320761905	92
mesoridazine	0.750166132	23	0.25	937	0.500083066	112	0.310486486	2056	0.333333333	1148	0.32190991	1127	0.533333333	30	0.6	144	0.566666667	31	0.347428571	465	0.346666667	197	0.347047619	38
molindone	0.750166132	24	0.25	947	0.500083066	113	0.310486486	2058	0.333333333	1156	0.32190991	1129	0.533333333	31	0.6	146	0.566666667	32	0.347428571	467	0.346666667	211	0.347047619	40
nemopride	0.750166132	25	0.2	1219	0.475083066	130	0.287135135	2344	0.333333333	1163	0.310234234	1281	0.533333333	32	0.6	148	0.566666667	33	0.294857143	598	0.346666667	214	0.320761905	94
asepine	0.747730048	26	0.65	84	0.698865024	52	0.525395109	432	0.633333333	152	0.579364221	120	0.533333333	15	0.6	116	0.566666667	21	0.347428571	454	0.346666667	102	0.347047619	30
pipamperone	0.746263693	27	0.25	976	0.498131847	115	0.302918919	2112	0.333333333	1190	0.318126126	1147	0.533333333	36	0.6	155	0.566666667	36	0.347428571	473	0.346666667	236	0.347047619	46
spiperone	0.744312473	28	0.2	1269	0.472156237	132	0.293621622	2241	0.366666667	951	0.330144145	1030	0.533333333	43	0.633333333	104	0.583333333	16	0.294857143	645	0.293333333	395	0.294095238	302
thioproperazine	0.742686457	29	0.2	1282	0.471343229	133	0.293621622	2244	0.366666667	959	0.330144145	1031	0.533333333	45	0.633333333	106	0.583333333	17	0.294857143	651	0.293333333	400	0.294095238	303
thiothixene	0.741385644	30	0.25	1017	0.495692822	117	0.287135135	2362	0.366666667	961	0.326900901	1081	0.533333333	46	0.633333333	108	0.583333333	18	0.294857143	653	0.346666667	287	0.320761905	114
haloperidol	0.740410034	31	0.25	915	0.495205017	118	0.287135135	2328	0.333333333	1110	0.310234234	1277	0.483333333	85	0.6	136	0.541666667	40	0.289142857	715	0.213333333	829	0.251238095	446
methysergide	0.737753658	32	0.7	40	0.718876829	11	0.57166538	320	0.7	68	0.63583269	72	0	3006	0.4	574	0.2	963	0.4	256	0	3175	0.2	744
fluspirilene	0.736507595	33	0.25	912	0.493253798	119	0.294486486	2195	0.333333333	1102	0.31390991	1208	0.533333333	24	0.6	135	0.566666667	27	0.347428571	461	0.293333333	351	0.320380952	123
pipotiazine	0.736507595	34	0.25	978	0.493253798	120	0.291243243	2258	0.366666667	920	0.328954955	1038	0.533333333	38	0.633333333	98	0.583333333	13	0.294857143	616	0.346666667	238	0.320761905	100
quetiapine	0.736347934	35	0.7	53	0.718173967	12	0.506151866	457	0.633333333	167	0.5697426	127	0.533333333	41	0.6	156	0.566666667	37	0.289142857	741	0.293333333	386	0.291238095	328
ziprasidone	0.736347934	36	0.7	81	0.718173967	13	0.506151866	458	0.633333333	171	0.5697426	128	0.533333333	47	0.6	164	0.566666667	38	0.289142857	759	0.293333333	405	0.291238095	329
promazine	0.734881579	37	0.3	659	0.51744079	107	0.285405405	2375	0.366666667	925	0.326036036	1085	0.533333333	40	0.633333333	101	0.583333333	15	0.294857143	621	0.293333333	385	0.294095238	299
gr-113808	0.733693694	38	0.7	26	0.716846847	16	0.60193565	264	0.7	53	0.650967825	27	0	2440	0.4	466	0.2	881	0.4	196	0	2665	0.2	689
gr125487	0.733693694	39	0.7	28	0.716846847	17	0.60193565	265	0.7	55	0.650967825	28	0	2445	0.4	468	0.2	883	0.4	198	0	2671	0.2	691
idalopirdine	0.733693694	40	0.7	31	0.716846847	18	0.60193565	266	0.7	59	0.650967825	29	0	2600	0.4	496	0.2	903	0.4	210	0	2813	0.2	702
r-1485	0.733693694	41	0.7	54	0.716846847	19	0.60193565	267	0.7	75	0.650967825	30	0	3634	0.4	694	0.2	1052	0.4	330	0	3752	0.2	806
rs-23597-190	0.733693694	42	0.7	60	0.716846847	20	0.60193565	268	0.7	78	0.650967825	31	0	3742	0.4	709	0.2	1065	0.4	355	0	3866	0.2	827
rs-39604	0.733693694	43	0.7	61	0.716846847	21	0.60193565	269	0.7	79	0.650967825	32	0	3743	0.4	710	0.2	1066	0.4	356	0	3867	0.2	828
sb-203186	0.733693694	44	0.7	63	0.716846847	22	0.60193565	270	0.7	80	0.650967825	33	0	3800	0.4	723	0.2	1078	0.4	370	0	3921	0.2	841
sb-258585	0.733693694	45	0.7	68	0.716846847	23	0.60193565	271	0.7	82	0.650967825	34	0	3810	0.4	730	0.2	1081	0.4	377	0	3932	0.2	847
sb-271046	0.733693694	46	0.7	70	0.716846847	24	0.60193565	272	0.7	83	0.650967825	35	0	3813	0.4	731	0.2	1082	0.4	379	0	3935	0.2	849
sb-399885	0.733693694	47	0.7	71	0.716846847	25	0.60193565	273	0.7	84	0.650967825	36	0	3816	0.4	732	0.2	1083	0.4	380	0	3939	0.2	850
sb-742457	0.733693694	48	0.7	72	0.716846847	26	0.60193565	274	0.7	85	0.650967825	37	0	3824	0.4	734	0.2	1084	0.4	382	0	3950	0.2	852
fluphezine	0.733255563	49	0.33	514	0.531627782	104	0.283675676	2394	0.333333333	1100	0.308504505	1288	0.754871795	2	0.6	133	0.677435898	2	0.294857143	566	0.24	628	0.267428572	401
perphezine	0.733255563	50	0.33	518	0.531627782	105	0.283675676	2400	0.333333333	1180	0.308504505	1291	0.754871795	3	0.6	153	0.677435898	3	0.294857143	612	0.24	712	0.267428572	402
flupentixol	0.732302871	51	0.471428571	147	0.601865721	101	0.413926766	580	0.366666667	875	0.390296717	495	0.533333333	22	0.633333333	91	0.583333333	9	0.294857143	565	0.293333333	350	0.294095238	292
trifluoperazine	0.731629546	52	0.3	684	0.515814773	108	0.276756757	2496	0.333333333	1229	0.305045045	1337	0.754871795	4	0.6	162	0.677435898	4	0.294857143	657	0.24	779	0.267428572	405
olanzapine	0.731469885	53	0.6	126	0.665734943	90	0.492314028	489	0.666666667	136	0.579490348	119	0.533333333	33	0.633333333	97	0.583333333	12	0.294857143	602	0.293333333	379	0.294095238	297
amisulpride	0.717891377	54	0.2	1135	0.458945689	138	0.287135135	2302	0.333333333	1011	0.310234234	1269	0.533333333	14	0.6	115	0.566666667	20	0.294857143	522	0.346666667	96	0.320761905	76
nimesulide	0.716587542	55	0.15	1677	0.433293771	184	0.246702703	2821	0	3409	0.123351352	2988	0	3198	0	3071	0	3621	0.4	278	0	3335	0.2	761
zuclopenthixol	0.713988938	56	0.2	1297	0.456994469	141	0.290378378	2282	0.366666667	975	0.328522523	1043	0.533333333	49	0.633333333	110	0.583333333	19	0.294857143	668	0.293333333	406	0.294095238	304
risperidone	0.713504074	57	0.6	128	0.656752037	92	0.516097812	442	0.666666667	140	0.59138224	109	0.533333333	42	0.733333333	42	0.633333333	5	0.294857143	632	0.293333333	387	0.294095238	300
acemetacin	0.706831444	58	0.17	1357	0.438415722	157	0.332108108	1426	0	1701	0.166054054	2296	0	1156	0	1664	0	2192	0.4	47	0	1451	0.2	558
amtolmetin-guacil	0.706831444	59	0.17	1367	0.438415722	158	0.332108108	1443	0	1825	0.166054054	2313	0	1311	0	1773	0	2300	0.4	68	0	1590	0.2	578
carprofen	0.706831444	60	0.17	1373	0.438415722	159	0.332108108	1491	0	2138	0.166054054	2356	0	1677	0	2043	0	2561	0.4	100	0	1940	0.2	607
deracoxib	0.706831444	61	0.17	1381	0.438415722	160	0.332108108	1528	0	2432	0.166054054	2391	0	1979	0	2261	0	2768	0.4	131	0	2227	0.2	630
droxicam	0.706831444	62	0.205	1095	0.455915722	143	0.274594595	2511	0	2525	0.137297298	2869	0	2097	0	2343	0	2849	0.4	144	0	2332	0.2	642
etodolac	0.706831444	63	0.17	1388	0.438415722	161	0.332108108	1561	0	2639	0.166054054	2423	0	2244	0	2440	0	2957	0.4	159	0	2463	0.2	654
firocoxib	0.706831444	64	0.17	1395	0.438415722	162	0.332108108	1574	0	2693	0.166054054	2436	0	2309	0	2481	0	3000	0.4	174	0	2525	0.2	669
flurbiprofen-(s)-(+)	0.706831444	65	0.17	1400	0.438415722	163	0.332108108	1577	0	2721	0.166054054	2439	0	2342	0	2504	0	3025	0.4	182	0	2558	0.2	677
ketoprofen	0.706831444	66	0.17	1426	0.438415722	164	0.332108108	1614	0	3020	0.166054054	2475	0	2723	0	2760	0	3291	0.4	224	0	2926	0.2	716
lornoxicam	0.706831444	67	0.17	1433	0.438415722	165	0.332108108	1620	0	3133	0.166054054	2481	0	2866	0	2854	0	3386	0.4	236	0	3039	0.2	725
meloxicam	0.706831444	68	0.17	1443	0.438415722	166	0.332108108	1630	0	3206	0.166054054	2491	0	2960	0	2921	0	3450	0.4	251	0	3134	0.2	739
bumetone	0.706831444	69	0.17	1447	0.438415722	167	0.332108108	1635	0	3352	0.166054054	2496	0	3131	0	3025	0	3572	0.4	271	0	3282	0.2	755
oxaprozin	0.706831444	70	0.17	1454	0.438415722	168	0.332108108	1667	0	3533	0.166054054	2527	0	3329	0	3182	0	3720	0.4	290	0	3473	0.2	772
piroxicam	0.706831444	71	0.17	1464	0.438415722	169	0.332108108	1688	0	3667	0.166054054	2547	0	3493	0	3292	0	3820	0.4	313	0	3632	0.2	791
tolmetin	0.706831444	72	0.17	1493	0.438415722	170	0.332108108	1745	0	4208	0.166054054	2598	0	4141	0	3764	0	4270	0.4	417	0	4278	0.2	883
diclofec	0.704880224	73	0.16	1546	0.432440112	186	0.20972973	3003	0	2457	0.104864865	3110	0	2009	0	2282	0	2792	0.341714286	489	0	2251	0.170857143	1013
4-(4-fluorobenzoyl)-1-(4-phenylbutyl)-piperidine	0.703124588	74	0.7	10	0.701562294	31	0.59220592	277	0.3	1251	0.44610296	396	0	1077	0	1613	0	2139	0.4	40	0	1380	0.2	552
altanserin	0.703124588	75	0.7	14	0.701562294	32	0.59220592	278	0.3	1259	0.44610296	397	0	1247	0	1725	0	2255	0.4	58	0	1528	0.2	568
at-1015	0.703124588	76	0.7	15	0.701562294	33	0.59220592	279	0.3	1260	0.44610296	398	0	1380	0	1823	0	2348	0.4	74	0	1669	0.2	584
cinserin	0.703124588	77	0.7	19	0.701562294	34	0.59220592	280	0.3	1274	0.44610296	399	0	1787	0	2130	0	2637	0.4	110	0	2057	0.2	613
ly266097	0.703124588	78	0.7	34	0.701562294	35	0.59220592	283	0.3	1320	0.44610296	401	0	2899	0	2877	0	3409	0.4	239	0	3071	0.2	728
mdl-11939	0.703124588	79	0.7	37	0.701562294	36	0.59220592	284	0.3	1323	0.44610296	402	0	2938	0	2905	0	3434	0.4	247	0	3116	0.2	735
pelanserin	0.703124588	80	0.7	45	0.701562294	37	0.59220592	285	0.3	1336	0.44610296	403	0	3384	0	3222	0	3748	0.4	298	0	3535	0.2	779
piboserod	0.703124588	81	0.7	46	0.701562294	38	0.581395109	304	0.7	72	0.640697555	59	0	3461	0.4	660	0.2	1025	0.4	304	0	3608	0.2	784
pruvanserin	0.703124588	82	0.7	51	0.701562294	39	0.59220592	288	0.3	1342	0.44610296	406	0	3594	0	3355	0	3893	0.4	325	0	3717	0.2	801
prx-08066	0.703124588	83	0.7	52	0.701562294	40	0.59220592	289	0.3	1344	0.44610296	407	0	3596	0	3357	0	3895	0.4	326	0	3719	0.2	802
r-96544	0.703124588	84	0.7	55	0.701562294	41	0.59220592	290	0.3	1347	0.44610296	408	0	3636	0	3380	0	3919	0.4	331	0	3755	0.2	807
rs-102221	0.703124588	85	0.7	58	0.701562294	42	0.59220592	291	0.3	1349	0.44610296	409	0	3737	0	3456	0	3989	0.4	353	0	3862	0.2	825
rs-127445	0.703124588	86	0.7	59	0.701562294	43	0.59220592	292	0.3	1350	0.44610296	410	0	3739	0	3458	0	3991	0.4	354	0	3864	0.2	826
sarpogrelate	0.703124588	87	0.842857143	6	0.772990866	6	0.59220592	293	0.3	1354	0.44610296	411	0	3794	0	3500	0	4028	0.4	367	0	3916	0.2	838
sb-200646	0.703124588	88	0.7	62	0.701562294	44	0.59220592	294	0.3	1355	0.44610296	412	0	3799	0	3504	0	4033	0.4	369	0	3920	0.2	840
sb-206553	0.703124588	89	0.7	64	0.701562294	45	0.59220592	295	0.3	1356	0.44610296	413	0	3802	0	3506	0	4035	0.4	371	0	3923	0.2	842
sb-221284	0.703124588	90	0.7	66	0.701562294	46	0.59220592	296	0.3	1357	0.44610296	414	0	3805	0	3509	0	4037	0.4	373	0	3927	0.2	844
sb-228357	0.703124588	91	0.7	67	0.701562294	47	0.59220592	297	0.3	1358	0.44610296	415	0	3808	0	3512	0	4040	0.4	374	0	3930	0.2	845
sdz-ser-082	0.703124588	92	0.7	75	0.701562294	48	0.59220592	298	0.3	1361	0.44610296	416	0	3845	0	3544	0	4064	0.4	387	0	3975	0.2	857
volinserin	0.703124588	93	0.7	77	0.701562294	49	0.59220592	299	0.3	1377	0.44610296	417	0	4298	0	3872	0	4381	0.4	432	0	4428	0.2	895
levomepromazine	0.702606824	94	0.3	622	0.501303412	110	0.285405405	2372	0.366666667	891	0.326036036	1084	0.533333333	26	0.633333333	94	0.583333333	11	0.294857143	584	0.293333333	364	0.294095238	294
dr-4485	0.700522962	95	0.7	23	0.700261481	50	0.62247619	227	0.3	1287	0.461238095	384	0	2093	0	2338	0	2846	0.4	143	0	2325	0.2	641
sb-269970	0.700522962	96	0.7	69	0.700261481	51	0.62247619	250	0.3	1359	0.461238095	385	0	3812	0	3514	0	4042	0.4	378	0	3934	0.2	848
chlorprothixene	0.697728776	97	0.33	510	0.513864388	109	0.278486486	2436	0.366666667	860	0.322576577	1113	0.533333333	20	0.633333333	89	0.583333333	7	0.294857143	544	0.346666667	129	0.320761905	85
alosetron	0.688165238	98	0.7	13	0.694082619	54	0.539881596	406	0.3	1258	0.419940798	443	0	1236	0	1719	0	2248	0.4	55	0	1520	0.2	566
azasetron	0.688165238	99	0.7	16	0.694082619	55	0.539881596	407	0.3	1262	0.419940798	444	0	1415	0	1849	0	2374	0.4	77	0	1702	0.2	586
bemesetron	0.688165238	100	0.7	17	0.694082619	56	0.539881596	408	0.3	1265	0.419940798	445	0	1474	0	1905	0	2421	0.4	81	0	1761	0.2	589
dolasetron	0.688165238	101	0.7	22	0.694082619	57	0.539881596	409	0.3	1285	0.419940798	446	0	2075	0	2328	0	2837	0.4	140	0	2310	0.2	638
flopropione	0.688165238	102	0.7	25	0.694082619	58	0.57166538	314	0.7	52	0.63583269	66	0	2320	0.4	442	0.2	868	0.4	178	0	2535	0.2	673
granisetron	0.688165238	103	0.7	29	0.694082619	59	0.539881596	410	0.3	1301	0.419940798	447	0	2447	0	2579	0	3101	0.4	200	0	2673	0.2	693
gsk163090	0.688165238	104	0.7	30	0.694082619	60	0.57166538	316	0.7	56	0.63583269	68	0	2457	0.4	473	0.2	886	0.4	202	0	2684	0.2	695
lerisetron	0.688165238	105	0.7	32	0.694082619	61	0.539881596	411	0.3	1315	0.419940798	448	0	2799	0	2814	0	3340	0.4	229	0	2988	0.2	721
ly310762	0.688165238	106	0.7	35	0.694082619	62	0.57166538	317	0.7	65	0.63583269	69	0	2907	0.4	549	0.2	942	0.4	241	0	3082	0.2	729
mdl-73005ef	0.688165238	107	0.7	38	0.694082619	63	0.57166538	319	0.7	67	0.63583269	71	0	2941	0.4	561	0.2	953	0.4	249	0	3119	0.2	737
mm77	0.688165238	108	0.7	41	0.694082619	64	0.57166538	321	0.7	70	0.63583269	73	0	3084	0.4	592	0.2	975	0.4	266	0	3240	0.2	750
s-181	0.688165238	109	0.7	42	0.694082619	65	0.57166538	322	0.7	71	0.63583269	74	0	3154	0.4	601	0.2	982	0.4	275	0	3300	0.2	758
ondansetron	0.688165238	110	0.7	43	0.694082619	66	0.539881596	412	0.3	1332	0.419940798	449	0	3297	0	3160	0	3699	0.4	287	0	3439	0.2	769
palonosetron	0.688165238	111	0.7	44	0.694082619	67	0.539881596	413	0.3	1333	0.419940798	450	0	3352	0	3198	0	3731	0.4	293	0	3502	0.2	774
pindolol-(-)	0.688165238	112	0.7	47	0.694082619	68	0.644427284	205	0.7	73	0.672213642	19	0	3476	0.4	667	0.2	1029	0.4	307	0	3619	0.2	786
ramosetron	0.688165238	113	0.7	56	0.694082619	69	0.539881596	414	0.3	1348	0.419940798	451	0	3648	0	3392	0	3928	0.4	333	0	3770	0.2	809
robalzotan	0.688165238	114	0.7	57	0.694082619	70	0.57166538	324	0.7	77	0.63583269	76	0	3718	0.4	706	0.2	1062	0.4	349	0	3848	0.2	821
sdz-205-557	0.688165238	115	0.7	73	0.694082619	71	0.539881596	415	0.3	1360	0.419940798	452	0	3840	0	3542	0	4062	0.4	385	0	3970	0.2	855
sdz-21009	0.688165238	116	0.7	74	0.694082619	72	0.644427284	206	0.7	86	0.672213642	20	0	3841	0.4	742	0.2	1088	0.4	386	0	3971	0.2	856
tropisetron	0.688165238	117	0.7	76	0.694082619	73	0.581395109	305	0.7	91	0.640697555	60	0	4202	0.4	809	0.2	1130	0.4	424	0	4335	0.2	888
vuf10166	0.688165238	118	0.7	78	0.694082619	74	0.539881596	416	0.3	1378	0.419940798	453	0	4322	0	3889	0	4400	0.4	435	0	4452	0.2	898
way-100635	0.688165238	119	0.7	79	0.694082619	75	0.57166538	326	0.7	92	0.63583269	78	0	4328	0.4	834	0.2	1147	0.4	437	0	4457	0.2	899
zacopride	0.688165238	120	0.7	80	0.694082619	76	0.581395109	306	0.7	93	0.640697555	61	0	4382	0.4	846	0.2	1156	0.4	443	0	4506	0.2	904
aminosalicylate	0.686792716	121	0.15	1648	0.418396358	202	0.246702703	2818	0	1813	0.123351352	2986	0.255384615	469	0	1762	0.127692308	1606	0.4	62	0	1575	0.2	572
pirenperone	0.685238409	122	0.7	48	0.692619205	77	0.59220592	286	0.3	1337	0.44610296	404	0	3487	0	3290	0	3818	0.4	311	0	3626	0.2	789
celecoxib	0.683584343	123	0.245714286	1035	0.464649315	136	0.270918919	2543	0	2198	0.13545946	2886	0	1711	0	2077	0	2591	0.4	103	0	1975	0.2	609
adatanserin	0.68133597	124	0.7	11	0.690667985	78	0.57166538	311	0.65	148	0.61083269	101	0	1181	0.4	225	0.2	704	0.4	49	0	1474	0.2	560
brl-15572	0.68133597	125	0.7	18	0.690667985	79	0.57166538	312	0.7	49	0.63583269	64	0	1594	0.4	311	0.2	766	0.4	93	0	1871	0.2	600
gr-127935	0.68133597	126	0.7	27	0.690667985	80	0.57166538	315	0.7	54	0.63583269	67	0	2441	0.4	467	0.2	882	0.4	197	0	2666	0.2	690
ly393558	0.68133597	127	0.7	36	0.690667985	81	0.57166538	318	0.7	66	0.63583269	70	0	2911	0.4	551	0.2	944	0.4	243	0	3086	0.2	731
pizotifen	0.68133597	128	0.7	50	0.690667985	82	0.57166538	323	0.7	74	0.63583269	75	0	3500	0.4	673	0.2	1035	0.4	315	0	3638	0.2	793
sb-216641	0.68133597	129	0.7	65	0.690667985	83	0.57166538	325	0.7	81	0.63583269	77	0	3803	0.4	724	0.2	1079	0.4	372	0	3924	0.2	843
mesalazine	0.675085398	130	0.16	1581	0.417542699	203	0.270918919	2546	0	3221	0.13545946	2887	0.255384615	488	0	2931	0.127692308	1608	0.341714286	497	0	3145	0.170857143	1016
bmy-7378	0.673856295	131	0.63	93	0.651928148	93	0.621940798	253	0.7	48	0.660970399	23	0	1572	0.4	305	0.2	761	0.4	91	0.24	557	0.32	128
spiroxatrine	0.673856295	132	0.63	95	0.651928148	94	0.54593565	378	0.7	87	0.622967825	91	0	3927	0.4	761	0.2	1098	0.4	397	0.24	757	0.32	145
lumateperone	0.673205889	133	0.475	138	0.574102945	102	0.532962677	423	0.633333333	157	0.583148005	114	0	2881	0.333333333	1162	0.166666667	1352	0.347428571	462	0.346666667	189	0.347047619	35
ritanserin	0.670604263	134	0.63	94	0.650302132	95	0.54593565	377	0.7	76	0.622967825	90	0	3700	0.4	702	0.2	1059	0.4	342	0.24	736	0.32	141
fanserin	0.669383479	135	0.7	24	0.68469174	85	0.59220592	281	0.3	1293	0.44610296	400	0.36	226	0.266666667	1334	0.313333334	391	0.4	167	0	2493	0.2	662
piricapiron	0.669383479	136	0.7	49	0.68469174	86	0.59220592	287	0.3	1338	0.44610296	405	0.36	242	0.266666667	1362	0.313333334	395	0.4	312	0	3629	0.2	790
chlorpromazine	0.665454021	137	0.3	577	0.482727011	122	0.269837838	2596	0.333333333	1049	0.301585586	1352	0.754871795	1	0.6	124	0.677435898	1	0.361523809	449	0.24	585	0.300761905	276
etoricoxib	0.660337242	138	0.255714286	847	0.458025764	140	0.332108108	1564	0	2643	0.166054054	2426	0	2252	0	2444	0	2961	0.4	163	0	2470	0.2	658
metoclopramide	0.658577505	139	0.73	9	0.694288753	53	0.525395109	433	0.633333333	160	0.579364221	121	0.36	235	0.6	145	0.48	75	0.347428571	466	0.346666667	203	0.347047619	39
balsalazide	0.657524423	140	0.16	1520	0.408762212	215	0.270918919	2542	0	1951	0.13545946	2885	0	1449	0	1885	0	2401	0.341714286	484	0	1736	0.170857143	1012
triflusal	0.654726979	141	0.385714286	201	0.520220633	106	0.278486486	2462	0.366666667	966	0.322576577	1124	0.249230769	634	0.366666667	1000	0.307948718	425	0.4	421	0.106666667	1137	0.253333334	441
tenoxicam	0.651309589	142	0.241428572	1049	0.446369081	149	0.332108108	1736	0	4140	0.166054054	2590	0	4075	0	3710	0	4226	0.4	410	0	4216	0.2	877
bufexamac	0.644381686	143	0	2591	0.322190843	462	0.269837838	2591	0.333333333	1036	0.301585586	1349	0.246153846	676	0.333333333	1053	0.28974359	477	0	1979	0	1889	0	2628
proxen	0.643637867	144	0.17	1448	0.406818934	218	0.332108108	1638	0	3370	0.166054054	2499	0	3149	0	3039	0	3587	0.4	273	0	3295	0.2	756
melperone	0.639464779	145	0.65	87	0.64473239	96	0.532962677	425	0.633333333	159	0.583148005	116	0.36	233	0.6	143	0.48	74	0.347428571	464	0.346666667	196	0.347047619	37
sulfasalazine	0.639313041	146	0.13	1795	0.384656521	279	0.20972973	3015	0	4043	0.104864865	3121	0.255384615	506	0	3631	0.127692308	1609	0.283428571	1037	0.053333333	1319	0.168380952	1023
sertindole	0.637838763	147	0.6	129	0.618919382	99	0.517827542	438	0.633333333	169	0.575580438	123	0.36	249	0.6	160	0.48	80	0.347428571	477	0.293333333	390	0.320380952	125
amperozide	0.635642369	148	0.235	1061	0.435321185	181	0.36972973	1097	0	1821	0.184864865	2114	0.36	216	0.266666667	1324	0.313333334	389	0.4	65	0	1585	0.2	575
am-404	0.634625588	149	0.17	1361	0.402312794	241	0.4	632	0	1783	0.2	1700	0	1259	0	1735	0	2266	0	1624	0	1541	0	2346
