drug name	indication
apremilast	psoriatic arthritis
aprepitant	nausea
aprepitant	vomiting
aprindine	cardiac arrythmia
arbidol	influenza A virus infection
argatroban	heparin-induced thrombocytopenia (HIT)
aripiprazole	depression
aripiprazole	schizophrenia
aripiprazole	bipolar disorder
aripiprazole-lauroxil	schizophrenia
arotinolol	hypertension
arotinolol	tremors
arsenic-trioxide	diarrhea
artemether	malaria
artemisinin	malaria
artemotil	malaria
artesunate	malaria
articaine	local anesthetic
ascorbic-acid	scurvy
asenapine	schizophrenia
asenapine	bipolar disorder
aspirin	headache
aspirin	fever
aspirin	toothache
aspirin	muscle pain
ataluren	duchenne muscular dystrophy (DMD)
ataluren	cystic fibrosis
atazanavir	human immunodeficiency virus (HIV-1)
atenolol-(-)	hypertension
atenolol-(+/-)	hypertension
atenolol-(+/-)	angina pectoris
atipamezole	reverse sedative
atomoxetine	attention-deficit/hyperactivity disorder (ADHD)
atorvastatin	stroke
atorvastatin	heart attack
atosiban	stroke
atosiban	angina pectoris
atosiban	myocardial infarction
atosiban	hyperlipidemia
atovaquone	pneumonia
atracurium	endotracheal intubation
atracurium	muscle relaxant
atropine	cycloplegia
atropine	mydriasis
atropine	amblyopia
auranofin	rheumatoid arthritis
aurothioglucose	rheumatoid arthritis
avanafil	erectile dysfunction
avatrombopag	thrombocytopenia
avibactam	intra-abdominal infections
avibactam	urinary tract infections
avibactam	pyelonephritis
avobenzone	cosmetic
avobenzone	sunscreen lotion
axitinib	renal cell carcinoma (RCC)
azacitidine	myelodysplastic diseases (MDS)
azacitidine	anemia
azacitidine	chronic myelomonocytic leukemia (CMMoL)
azaperone	sedative
azasetron	genitial herpes
azatadine	allergic rhinitis
azathioprine	renal homotransplantation
azathioprine	rheumatoid arthritis
azelaic-acid	rosacea
azelastine	conjunctivitis
azelnidipine	hypertension
azilsartan	hypertension
azilsartan-medoxomil	hypertension
azithromycin	pelvic inflammatory disease
azithromycin	pneumonia
azlocillin	gram-positive bacterial infections
azlocillin	gram-negative bacterial infections
azosemide	edema
aztreonam	urinary tract infections
aztreonam	respiratory tract infections
aztreonam	bacterial septicemia
aztreonam	skin infections
aztreonam	intra-abdominal infections
aztreonam	gynecologic infections
bacampicillin	gram-positive bacterial infections
bacampicillin	gram-negative bacterial infections
bacitracin	first-aid antibiotic
bacitracin-zinc	first-aid antibiotic
baclofen	multiple sclerosis
baclofen	spasms
baicalin	anxiety
balofloxacin	gram-negative bacterial infections
baloxavir-marboxil	influenza A virus infection
balsalazide	ulcerative colitis
bambuterol	asthma
baricitinib	rheumatoid arthritis
barnidipine	hypertension
bazedoxifene	osteoporosis
bazedoxifene	menopause
beclamide	sedative
beclamide	seizures
beclomethasone	allergic rhinitis
beclomethasone-dipropionate	allergic rhinitis
bedaquiline	tuberculosis
bekanamycin	gram-negative bacterial infections
belinostat	peripheral T-cell lymphoma (PTCL)
bemegride	poison antidote
bemotrizinol	sunscreen lotion
benazepril	hypertension
bendamustine	chronic lymphocytic leukemia (CLL)
bendamustine	non-Hodgkin lymphoma (NHL)
bendazac	muscle pain
bendazac	joint pain
bendroflumethiazide	hypertension
benfotiamine	lumbago
benidipine	hypertension
benperidol	schizophrenia
benproperine	cough suppressant
benserazide	Parkinson's Disease
bentiromide	pancreas diagnostic agent
benzalkonium	abrasions
benzalkonium	superficial cuts
benzbromarone	gout
benzethonium	first-aid antiseptic
benznidazole	Chagas disease
benzocaine	first-aid antiseptic
benzoic-acid	tinea pedis
benzonatate	cough suppressant
benzoyl-peroxide	acne vulgaris (AV)
benzthiazide	hypertension
benzthiazide	edema
benztropine-mesylate	extrapyramidal symptoms (EPS)
benztropine-mesylate	Parkinson's Disease
benzydamine	mouth inflammation
benzydamine	throat inflammation
benzyl-alcohol	virus herpes simplex (HSV)
benzyl-benzoate	sweet itch
benzylpenicillin	celluitis
benzylpenicillin	meningitis
benzylpenicillin	endocarditis
benzylpenicillin	syphilis
benzylpenicillin	pneumonia
benzylpenicillin	bacterial septicemia
bephenium-hydroxynaphthoate	ascariasis
bepotastine	conjunctivitis
bepridil	angina pectoris
besifloxacin	conjunctivitis
betahistine	Meniere's disease
betaine	homocystinuria
betamethasone	corticosteroid-responsive dermatoses
betamethasone-acetate	corticosteroid-responsive dermatoses
betamethasone-butyrate-propionate	rheumatoid arthritis
betamethasone-dipropionate	corticosteroid-responsive dermatoses
betamethasone-phosphate	rheumatoid arthritis
betamethasone-valerate	corticosteroid-responsive dermatoses
betamipron	renal toxicity
betaxolol	intraocular pressure
betaxolol	glaucoma
betaxolol	ocular hypertension
betazole	gastric hypersecretion diagnostic
bethanechol	urinary retention
betrixaban	deep vein thrombosis (DVT)
bevantolol	angina pectoris
bevantolol	hypertension
bexarotene	cutaneous T-cell lymphoma (CTCL)
bezafibrate	cholesterol
biapenem	bacterial septicemia
biapenem	pneumonia
biapenem	urinary tract infections
bicalutamide	prostate cancer
bictegravir	human immunodeficiency virus (HIV-1)
bicyclol	hepatitis B
bicyclol	hepatitis C
bifemelane	glaucoma
bifemelane	senile dementia
bifendate	hepatitis B
bifendate	hepatitis C
bifonazole	tinea pedis
bifonazole	tinea cruris
bilastine	conjunctivitis
bimatoprost	intraocular pressure
bimatoprost	glaucoma
bimatoprost	ocular hypertension
binimetinib	melanoma
biperiden	Parkinson's Disease
bisacodyl	constipation
bismuth-subcitrate-potassium	duodenal ulcer disease
bismuth-subgallate	internal deoderant
bismuth-subsalicylate	diarrhea
bisoprolol	hypertension
bivalirudin	angina pectoris
bleomycin	non-Hodgkin lymphoma (NHL)
bleomycin	Hodgkin's lymphoma
bleomycin	pleural effusion
bleomycin	testicular carcinoma
bleomycin	squamous cell carcinoma
blonanserin	schizophrenia
boceprevir	hepatitis C
bopindolol	hypertension
bopindolol	coronary artery disease (CAD)
bortezomib	multiple myeloma
bortezomib	mantle cell lymphoma (MCL)
bosentan	pulmonary arterial hypertension (PAH)
bosutinib	chronic myeloid leukemia (CML)
bremelanotide	hypoactive sexual desire disorder
bretylium	ventricular arrhythmias
bretylium	ventricular fibrillation (VF)
bretylium	ventricular tachycardia (VT)
brexpiprazole	depression
brexpiprazole	schizophrenia
brigatinib	non-small cell lung cancer (NSCLC)
brilliant-green	antiseptic
brimonidine	intraocular pressure
brimonidine	glaucoma
brimonidine	ocular hypertension
brinzolamide	intraocular pressure
brinzolamide	glaucoma
brinzolamide	ocular hypertension
brivudine	shingles
brolitene	lumbago
bromantan	neurasthenia
bromhexine	chest congestion
bromocriptine	hyperprolactinemia
bromocriptine	Parkinson's Disease
bromocriptine	acromegaly
bromopride	nausea
bromopride	vomiting
bromopride	gastroesophageal reflux disease (GERD)
bromperidol	schizophrenia
brompheniramine	allergic rhinitis
brompheniramine	common cold
bronopol	mastitis
bucillamine	rheumatoid arthritis
bucladesine	skin ulcer
buclizine	migraine headache
budesonide	Crohn's disease
budipine	Parkinson's Disease
buflomedil	peripheral artery disease (PAD)
bumetanide	edema
bumetanide	congestive heart failure
bunazosin	glaucoma
bunazosin	intraocular pressure
buparvaquone	protozoan infection
buphenine	Raynaud's disease
bupivacaine	peripheral nerve block
bupivacaine	caudal epidural block
bupivacaine	lumbar epidural block
bupranolol	hypertension
bupranolol	glaucoma
bupropion	depression
buserelin	prostate cancer
buserelin	endometriosis
buspirone	generalized anxiety disorder (GAD)
busulfan	chronic myeloid leukemia (CML)
butacaine	local anesthetic
butalbital	headache
butalbital	muscle relaxant
butenafine	tinea pedis
butenafine	tinea cruris
butenafine	tinea corporis
butoconazole	vulvovaginal candidiasis
butylphthalide	stroke
butylscopolamine-bromide	abdominal pain
cabagin	dyspepsia
cabazitaxel	prostate cancer
cabergoline	hyperprolactinemia
cabozantinib	medullary thyroid cancer (MTC)
cadralazine	hypertension
caffeine	fatigue
caffeine	drowsiness
calcifediol	hyperparathyroidism
calcipotriol	psoriasis
calcitonin	osteoporosis
calcitriol	hypocalcemia
calcitriol	hypoparathyroidism
calcitriol	osteoporosis
camostat-mesilate	pancreatitis
camylofine-chlorhydrate	abdominal pain
canagliflozin	diabetes mellitus
candesartan	hypertension
candesartan	congestive heart failure
candesartan-cilexetil	hypertension
candesartan-cilexetil	congestive heart failure
candesartan-cilexetil	hypertension
candicidin	vulvovaginal candidiasis
cangrelor	myocardial infarction
cantharidin	blisters
capecitabine	breast cancer
capecitabine	colorectal cancer
capreomycin	tuberculosis
capsaicin	muscle pain
capsaicin	rheumatoid arthritis
captopril	hypertension
captopril	congestive heart failure
captopril	myocardial infarction
captopril	diabetes mellitus
captopril	diabetic nephropathy
caramiphen	Parkinson's Disease
carazolol	angina pectoris
carazolol	cardiac arrythmia
carazolol	hypertension
carazolol	myocardial infarction
carbachol	intraocular pressure
carbadox	dysentry
carbadox	enteritis
carbamazepine	seizures
carbarsone	amebiasis
carbazochrome	hemorrhage
carbendazim	fungicide
carbenicillin	gram-negative bacterial infections
carbenoxolone	peptic ulcer disease (PUD)
carbenoxolone	mouth inflammation
carbetapentane	common cold
carbetapentane	nasal congestion
carbetapentane	bronchitis
carbetocin	hemorrhage
carbidopa	Parkinson's Disease
carbimazole	hyperthyroidism
carbinoxamine	allergic rhinitis
carbinoxamine	conjunctivitis
carbinoxamine	vasomotor rhinitis
carbinoxamine	dermatographism
carboplatin	ovarian cancer
carfilzomib	multiple myeloma
carglumic-acid	hyperammonemia
cariprazine	schizophrenia
carmofur	breast cancer
carmofur	colorectal cancer
carmustine	non-Hodgkin lymphoma (NHL)
carmustine	Hodgkin's lymphoma
carmustine	multiple myeloma
carmustine	glioblastoma
carmustine	brainstem glioma
carmustine	medulloblastoma
carmustine	astrocytoma
carmustine	ependymoma
carprofen	osteoarthritis
carteolol	intraocular pressure
carteolol	glaucoma
carteolol	ocular hypertension
carumonam	urinary tract infections
carumonam	gram-negative bacterial infections
carvedilol	myocardial infarction
carvedilol	hypertension
casanthranol-variant	constipation
caspofungin	candidemia
caspofungin	esophageal candidiasis
caspofungin	aspergillosis
caspofungin	peritonitis
caspofungin	fungal infection
cefaclor	pneumonia
cefaclor	skin infections
cefaclor	urinary tract infections
cefaclor	respiratory tract infections
cefaclor	tonsillitis
cefaclor	pharyngitis
cefadroxil	urinary tract infections
cefadroxil	skin infections
cefadroxil	tonsillitis
cefadroxil	pharyngitis
cefalonium	gram-positive bacterial infections
cefamandole	skin infections
cefamandole	urinary tract infections
cefamandole	respiratory tract infections
cefamandole-nafate	skin infections
cefamandole-nafate	urinary tract infections
cefamandole-nafate	respiratory tract infections
cefathiamidine	gram-positive bacterial infections
cefazolin	urinary tract infections
cefazolin	skin infections
cefazolin	bacterial septicemia
cefazolin	endocarditis
cefazolin	surgical prophylaxis
cefazolin	bone and joint infections
cefcapene-pivoxil	skin infections
cefcapene-pivoxil	pneumonia
cefcapene-pivoxil	urinary tract infections
cefdinir	pneumonia
cefdinir	tonsillitis
cefdinir	pharyngitis
cefdinir	bronchitis
cefdinir	skin infections
cefdinir	otitis
cefdinir	sinusitis
cefditoren-pivoxil	pneumonia
cefditoren-pivoxil	bronchitis
cefditoren-pivoxil	skin infections
cefditoren-pivoxil	tonsillitis
cefditoren-pivoxil	pharyngitis
cefepime	pneumonia
cefepime	urinary tract infections
cefepime	skin infections
cefepime	intra-abdominal infections
cefetamet	ear infections
cefetamet	pneumonia
cefetamet	otitis
cefetamet	sinusitis
cefetamet	bronchitis
cefetamet	urinary tract infections
cefetamet-pivoxil	gram-positive bacterial infections
cefixime	urinary tract infections
cefixime	otitis
cefixime	pharyngitis
cefixime	tonsillitis
cefixime	gonorrhea
cefixime	bronchitis
cefmenoxime	gram-negative bacterial infections
cefmetazole	urinary tract infections
cefmetazole	skin infections
cefminox	gram-negative bacterial infections
cefodizime	respiratory tract infections
cefodizime	skin infections
cefodizime	gonorrhea
cefonicid	gram-positive bacterial infections
cefoperazone	gram-negative bacterial infections
ceforanide	gram-negative bacterial infections
cefoselis	gram-negative bacterial infections
cefoselis	gram-positive bacterial infections
cefotaxime	respiratory tract infections
cefotaxime	bone and joint infections
cefotaxime	pelvic inflammatory disease
cefotaxime	intra-abdominal infections
cefotaxime	skin infections
cefotaxime	meningitis
cefotaxime	urinary tract infections
cefotaxime	bacterial septicemia
cefotaxime	gynecologic infections
cefotetan	urinary tract infections
cefotetan	respiratory tract infections
cefotetan	skin infections
cefotetan	gynecologic infections
cefotetan	chlamydia
cefotetan	intra-abdominal infections
cefotetan	bone and joint infections
cefotetan	surgical prophylaxis
cefotiam	bacterial septicemia
cefotiam	bone and joint infections
cefotiam	respiratory tract infections
cefotiam	skin infections
cefotiam	urinary tract infections
cefotiam-cilexetil	gram-negative bacterial infections
cefotiam-cilexetil	gram-positive bacterial infections
cefoxitin	respiratory tract infections
cefoxitin	urinary tract infections
cefoxitin	intra-abdominal infections
cefoxitin	gynecologic infections
cefoxitin	bacterial septicemia
cefoxitin	bone and joint infections
cefoxitin	skin infections
cefozopran	gram-negative bacterial infections
cefozopran	gram-positive bacterial infections
cefpiramide	gram-negative bacterial infections
cefpirome	gram-negative bacterial infections
cefpodoxime	pharyngitis
cefpodoxime	pneumonia
cefpodoxime	bronchitis
cefpodoxime	gonorrhea
cefpodoxime	skin infections
cefpodoxime	urinary tract infections
cefpodoxime	sinusitis
cefpodoxime	tonsillitis
cefprozil	pharyngitis
cefprozil	tonsillitis
cefprozil	otitis
cefprozil	sinusitis
cefprozil	respiratory tract infections
cefprozil	skin infections
cefprozil	bronchitis
cefradine	respiratory tract infections
cefradine	otitis
cefradine	skin infections
cefradine	urinary tract infections
cefradine	tonsillitis
cefradine	pharyngitis
cefradine	pneumonia
cefsulodin	gram-negative bacterial infections
ceftaroline-fosamil	skin infections
ceftaroline-fosamil	pneumonia
ceftazidime	respiratory tract infections
ceftazidime	skin infections
ceftazidime	bacterial septicemia
ceftazidime	bone and joint infections
ceftazidime	gynecologic infections
ceftazidime	intra-abdominal infections
ceftazidime	meningitis
ceftibuten	bronchitis
ceftibuten	otitis
ceftibuten	pharyngitis
ceftibuten	tonsillitis
ceftiofur	pneumonia
ceftiofur	respiratory tract infections
ceftizoxim	respiratory tract infections
ceftizoxim	urinary tract infections
ceftizoxim	gonorrhea
ceftizoxim	pelvic inflammatory disease
ceftizoxim	intra-abdominal infections
ceftizoxim	bacterial septicemia
ceftizoxim	skin infections
ceftizoxim	bone and joint infections
ceftizoxim	meningitis
ceftriaxone	gonorrhea
ceftriaxone	pneumonia
ceftriaxone	otitis
ceftriaxone	skin infections
ceftriaxone	urinary tract infections
ceftriaxone	pelvic inflammatory disease
ceftriaxone	bacterial septicemia
ceftriaxone	bone and joint infections
ceftriaxone	intra-abdominal infections
ceftriaxone	meningitis
ceftriaxone	surgical prophylaxis
cefuroxime	gram-negative bacterial infections
cefuroxime-axetil	pharyngitis
cefuroxime-axetil	tonsillitis
cefuroxime-axetil	otitis
cefuroxime-axetil	sinusitis
celecoxib	osteoarthritis
celecoxib	rheumatoid arthritis
celecoxib	ankylosing spondylitis
celecoxib	primary dysmenorrhea (PD)
celiprolol	Ehlers-Danlos syndrome (EDS)
cephalexin	respiratory tract infections
cephalexin	otitis
cephalexin	skin infections
cephalexin	bone and joint infections
cephalexin	genitourinary tract infections
cephalothin	skin infections
cephalothin	surgical prophylaxis
cephapirin	mastitis
cephradine	skin infections
cephradine	respiratory tract infections
cephradine	urinary tract infections
ceramide	cosmetic
ceritinib	non-small cell lung cancer (NSCLC)
cerulenin	fungal infection
cetirizine	allergic rhinitis
cetrimonium	cosmetic
cetrorelix	premature luteinizing hormone surges
cetylpyridinium	gingivitis
cetylpyridinium	mouth inflammation
cevimeline	sjogren's syndrome
chenodeoxycholic-acid	cerebral cholesterosis
chenodeoxycholic-acid	gallstones
chidamide	peripheral T-cell lymphoma (PTCL)
chiniofon	amebiasis
chlorambucil	chronic lymphocytic leukemia (CLL)
chlorambucil	Hodgkin's lymphoma
chloramine-t	bacterial gill disease
chloramphenicol	meningitis
chloramphenicol	fever
chloramphenicol	cholera
chloramphenicol-palmitate	meningitis
chloramphenicol-palmitate	fever
chloramphenicol-palmitate	cholera
chloramphenicol-sodium-succinate	gram-negative bacterial infections
chlorcyclizine	allergic rhinitis
chlorhexidine	cosmetic
chlorhexidine	skin infections
chlorhexidine	gingivitis
chlormadinone-acetate	hypermenorrhea
chlormadinone-acetate	amenorrhea
chlormadinone-acetate	oligomenorrhea
chlormadinone-acetate	polymenorrhea
chlormidazole	fungal infection
chlorobutanol	anesthetic
chlorobutanol	sedative
chlorocresol	first-aid antiseptic
chlorogenic-acid	headache
chlorogenic-acid	chest congestion
chlorogenic-acid	allergic rhinitis
chlorophyllin	urinary incontinence
chloroprocaine	local anesthetic
chloropyramine	edema
chloropyramine	conjunctivitis
chloropyramine	allergic rhinitis
chloropyramine	asthma
chloroquine	malaria
chloroquine	amebiasis
chlorothiazide	hypertension
chlorotrianisene	menopause
chlorotrianisene	prostate cancer
chloroxine	diarrhea
chloroxine	inflammatory bowel disease
chloroxine	giardiasis
chloroxine	dandruff
chloroxylenol	skin infections
chlorphenamine	allergic rhinitis
chlorphenamine	urticaria
chlorphenesin	muscle relaxant
chlorphenesin	sedative
chlorphensin-carbamate	spasms
chlorproguanil	malaria
chlorpromazine	schizophrenia
chlorpromazine	nausea
chlorpromazine	vomiting
chlorpromazine	acute intermittent porphyria (AIP)
chlorpromazine	tetanus
chlorpropamide	diabetes mellitus
chlorprothixene	schizophrenia
chlorprothixene	bipolar disorder
chlorquinaldol	fungal infection
chlortetracycline	conjunctivitis
chlorthalidone	hypertension
chlorthalidone	edema
chlorthalidone	congestive heart failure
chlorthalidone	hepatic cirrhosis
chlorthalidone	nephrotic syndrome
chlorthalidone	acute glomerulonephritis (AGN)
chlorthalidone	chronic renal failure
chlorzoxazone	muscle relaxant
cholecalciferol	vitamin D deficiency
cholic-acid	bile acid synthesis disorders
cholic-acid	peroxisomal disorders
cholic-acid	Zellweger syndrome
chromium-picolinate	diabetes mellitus
cibenzoline	cardiac arrythmia
ciclesonide	allergic rhinitis
ciclopirox	onychomycosis
cidofovir	acquired immunodeficiency syndrome (AIDS)
cidofovir	cytomegalovirus retinitis
cilazapril	hypertension
cilazapril	congestive heart failure
cilnidipine	hypertension
cilostazol	claudication
cimetidine	duodenal ulcer disease
cimetidine	peptic ulcer disease (PUD)
cimetidine	gastroesophageal reflux disease (GERD)
cimetidine	aggressive systemic mastocytosis (ASM)
cimetidine	Zollinger-Ellison syndrome
cimetidine	endocrine adenoma
cimetropium	irritable bowel syndrome
cinacalcet	hyperparathyroidism
cinacalcet	chronic kidney disease (CKD)
cinacalcet	parathyroid carcinoma
cinacalcet	hypercalcemia
cinchocaine	local anesthetic
cinchophen	gout
cinnarazine	Meniere's disease
cinnarazine	nausea
cinnarazine	vomiting
cinnarazine	Cogan's syndrome
cinoxacin	urinary tract infections
cinoxate	sunscreen lotion
ciprofibrate	hyperlipidemia
ciprofloxacin	otitis
cisatracurium	muscle relaxant
cisatracurium	endotracheal intubation
cisplatin	testicular carcinoma
cisplatin	ovarian cancer
cisplatin	bladder cancer
citalopram	depression
citicoline	stroke
citicoline	Alzheimer's disease
citicoline	senile dementia
citicoline	Parkinson's Disease
citicoline	attention-deficit/hyperactivity disorder (ADHD)
citicoline	glaucoma
cladribine	hairy cell leukemia
clarithromycin	pharyngitis
clarithromycin	tonsillitis
clarithromycin	sinusitis
clarithromycin	bronchitis
clarithromycin	pneumonia
clarithromycin	skin infections
clarithromycin	otitis
clavulanate	otitis
clebopride	nausea
clemastine	allergic rhinitis
clemastine	urticaria
clemizole	allergic rhinitis
clenbuterol	chronic obstructive pulmonary disease (COPD)
clenbuterol	asthma
cleviprex	hypertension
clevudine	hepatitis B
clidinium	peptic ulcer disease (PUD)
clidinium	irritable bowel syndrome
clidinium	enterocolitis
climbazole	dandruff
climbazole	eczema
clindamycin	respiratory tract infections
clindamycin	pneumonia
clindamycin	skin infections
clindamycin	gynecologic infections
clindamycin	intra-abdominal infections
clindamycin	bacterial septicemia
clindamycin	bone and joint infections
clindamycin-palmitate	intra-abdominal infections
clindamycin-palmitate	skin infections
clindamycin-palmitate	pneumonia
clindamycin-palmitate	peritonitis
clindamycin-palmitate	gynecologic infections
clindamycin-phosphate	bacterial vaginosis
clinofibrate	hypertriglyceridemia
clobetasol-propionate	corticosteroid-responsive dermatoses
clobetasone-butyrate	eczema
clobetasone-butyrate	psoriasis
clobetasone-butyrate	dermatitis
clocortolone-pivalate	corticosteroid-responsive dermatoses
clodronic-acid	osteoporosis
clodronic-acid	hyperparathyroidism
clodronic-acid	hypercalcemia
clodronic-acid	multiple myeloma
clofarabine	acute lymphoblastic leukemia (ALL)
clofazimine	leprosy
clofedanol	cough suppressant
