pathway	p_value	Freq_of_paths	normalised_freq	count_lists_with_drugs	normalised_count_lists_with_drugs	score
Glutathione metabolism	0.102212774	4	0.054054054	4	0.266666667	0.1816216218
Hypertrophic cardiomyopathy	0.107550362	8	0.108108108	6	0.4	0.2832432432
Olfactory transduction	0.108779468	4	0.054054054	4	0.266666667	0.1816216218
Proximal tubule bicarbonate reclamation	0.112159111	5	0.067567568	4	0.266666667	0.1870270274
Sulfur relay system	0.116846197	1	0.013513514	2	0.133333333	0.0854054054
Pathways of neurodegeneration	0.122614535	39	0.527027027	14	0.933333333	0.7708108106
alpha-Linolenic acid metabolism	0.129689187	3	0.040540541	2	0.133333333	0.0962162162
Arrhythmogenic right ventricular cardiomyopathy	0.141888292	5	0.067567568	4	0.266666667	0.1870270274
GnRH secretion	0.162107735	15	0.202702703	9	0.6	0.4410810812
Butanoate metabolism	0.164330541	2	0.027027027	2	0.133333333	0.0908108106
Oxidative phosphorylation	0.164330541	2	0.027027027	2	0.133333333	0.0908108106
Glutamatergic synapse	0.183281327	13	0.175675676	9	0.6	0.4302702704
Ribosome	0.187058792	1	0.013513514	2	0.133333333	0.0854054054
Ras signaling pathway	0.201460763	26	0.351351351	13	0.866666667	0.6605405406
Inflammatory bowel disease	0.202669289	5	0.067567568	6	0.4	0.2670270272
Circadian rhythm	0.20881487	2	0.027027027	3	0.2	0.1308108108
Pertussis	0.213285766	9	0.121621622	7	0.466666667	0.328648649
Selenocompound metabolism	0.220043995	1	0.013513514	2	0.133333333	0.0854054054
Thiamine metabolism	0.220043995	1	0.013513514	2	0.133333333	0.0854054054
Prion disease	0.22348273	16	0.216216216	10	0.666666667	0.4864864866
Antigen processing and presentation	0.225889121	4	0.054054054	5	0.333333333	0.2216216214
Ether lipid metabolism	0.231237671	3	0.040540541	2	0.133333333	0.0962162162
N-Glycan biosynthesis	0.251691313	1	0.013513514	2	0.133333333	0.0854054054
Vitamin B6 metabolism	0.251691313	1	0.013513514	2	0.133333333	0.0854054054
Rap1 signaling pathway	0.257302219	30	0.405405405	12	0.8	0.642162162
beta-Alanine metabolism	0.26955767	2	0.027027027	2	0.133333333	0.0908108106
Linoleic acid metabolism	0.278223227	5	0.067567568	3	0.2	0.1470270272
Taurine and hypotaurine metabolism	0.28205499	1	0.013513514	2	0.133333333	0.0854054054
Ferroptosis	0.284790334	2	0.027027027	2	0.133333333	0.0908108106
Phosphatidylinositol signaling system	0.286091862	5	0.067567568	5	0.333333333	0.227027027
Nicotine addiction	0.292357915	9	0.121621622	6	0.4	0.2886486488
Allograft rejection	0.299989799	2	0.027027027	3	0.2	0.1308108108
Melanogenesis	0.309040218	9	0.121621622	7	0.466666667	0.328648649
Rheumatoid arthritis	0.309996157	6	0.081081081	6	0.4	0.2724324324
Type II diabetes mellitus	0.311957489	11	0.148648649	7	0.466666667	0.3394594598
Graft-versus-host disease	0.315133691	2	0.027027027	3	0.2	0.1308108108
Propanoate metabolism	0.315133691	2	0.027027027	2	0.133333333	0.0908108106
Fat digestion and absorption	0.319970482	3	0.040540541	2	0.133333333	0.0962162162
Amyotrophic lateral sclerosis	0.328002677	16	0.216216216	11	0.733333333	0.5264864862
Tryptophan metabolism	0.334012527	5	0.067567568	4	0.266666667	0.1870270274
African trypanosomiasis	0.334698394	4	0.054054054	4	0.266666667	0.1816216218
Pentose phosphate pathway	0.3391375	1	0.013513514	2	0.133333333	0.0854054054
Transcriptional misregulation in cancer	0.354880274	15	0.202702703	11	0.733333333	0.521081081
Arginine and proline metabolism	0.358252548	5	0.067567568	5	0.333333333	0.227027027
Tight junction	0.36592384	9	0.121621622	8	0.533333333	0.3686486486
Aminoacyl-tRNA biosynthesis	0.365954182	1	0.013513514	2	0.133333333	0.0854054054
Ribosome biogenesis in eukaryotes	0.365954182	1	0.013513514	2	0.133333333	0.0854054054
Legionellosis	0.371827237	4	0.054054054	5	0.333333333	0.2216216214
Thyroid hormone signaling pathway	0.376136198	18	0.243243243	10	0.666666667	0.4972972974
GnRH signaling pathway	0.391895994	13	0.175675676	8	0.533333333	0.3902702702
Amoebiasis	0.404143242	8	0.108108108	6	0.4	0.2832432432
Steroid hormone biosynthesis	0.418610355	6	0.081081081	6	0.4	0.2724324324
Peroxisome	0.419960288	3	0.040540541	3	0.2	0.1362162164
Hematopoietic cell lineage	0.430915604	5	0.067567568	5	0.333333333	0.227027027
Cysteine and methionine metabolism	0.432165903	2	0.027027027	2	0.133333333	0.0908108106
Type I diabetes mellitus	0.432165903	2	0.027027027	3	0.2	0.1308108108
Carbohydrate digestion and absorption	0.46181593	6	0.081081081	7	0.466666667	0.3124324326
Spinocerebellar ataxia	0.481683849	11	0.148648649	9	0.6	0.4194594596
Citrate cycle (TCA cycle)	0.484576745	1	0.013513514	2	0.133333333	0.0854054054
Malaria	0.498606731	4	0.054054054	4	0.266666667	0.1816216218
Apelin signaling pathway	0.50374734	12	0.162162162	7	0.466666667	0.344864865
Sphingolipid metabolism	0.505493708	1	0.013513514	2	0.133333333	0.0854054054
Mitophagy	0.507281789	4	0.054054054	5	0.333333333	0.2216216214
Prolactin signaling pathway	0.52005918	14	0.189189189	7	0.466666667	0.3556756758
Natural killer cell mediated cytotoxicity	0.525749387	8	0.108108108	6	0.4	0.2832432432
ABC transporters	0.537685112	2	0.027027027	3	0.2	0.1308108108
Cytosolic DNA-sensing pathway	0.537685112	2	0.027027027	3	0.2	0.1308108108
Drug metabolism	0.5378563	7	0.094594595	5	0.333333333	0.2378378378
ECM-receptor interaction	0.563289595	1	0.013513514	2	0.133333333	0.0854054054
Alzheimer disease	0.563829707	29	0.391891892	13	0.866666667	0.676756757
Adipocytokine signaling pathway	0.569830089	9	0.121621622	7	0.466666667	0.328648649
Metabolism of xenobiotics by cytochrome P450	0.574024288	4	0.054054054	3	0.2	0.1416216216
Vitamin digestion and absorption	0.581013331	1	0.013513514	2	0.133333333	0.0854054054
Thyroid hormone synthesis	0.582110178	3	0.040540541	4	0.266666667	0.1762162166
Neutrophil extracellular trap formation	0.586754749	13	0.175675676	11	0.733333333	0.5102702702
Tuberculosis	0.588555317	12	0.162162162	8	0.533333333	0.3848648646
Estrogen signaling pathway	0.590908319	19	0.256756757	9	0.6	0.4627027028
Viral myocarditis	0.596415982	2	0.027027027	3	0.2	0.1308108108
Glucagon signaling pathway	0.597506935	6	0.081081081	5	0.333333333	0.2324324322
RIG-I-like receptor signaling pathway	0.605410099	4	0.054054054	5	0.333333333	0.2216216214
Folate biosynthesis	0.618286459	2	0.027027027	2	0.133333333	0.0908108106
Thyroid cancer	0.628478579	6	0.081081081	6	0.4	0.2724324324
Notch signaling pathway	0.628874338	2	0.027027027	3	0.2	0.1308108108
Fatty acid degradation	0.629985724	1	0.013513514	2	0.133333333	0.0854054054
Retinol metabolism	0.635016288	3	0.040540541	3	0.2	0.1362162164
Purine metabolism	0.64396812	5	0.067567568	6	0.4	0.2670270272
Viral protein interaction with cytokine and cytokine receptor	0.651576129	3	0.040540541	4	0.266666667	0.1762162166
Lysosome	0.659412089	1	0.013513514	2	0.133333333	0.0854054054
Leishmaniasis	0.659416737	10	0.135135135	8	0.533333333	0.3740540538
Cushing syndrome	0.679781355	11	0.148648649	7	0.466666667	0.3394594598
MAPK signaling pathway	0.686379202	19	0.256756757	11	0.733333333	0.5427027026
Arachidonic acid metabolism	0.691162442	7	0.094594595	5	0.333333333	0.2378378378
C-type lectin receptor signaling pathway	0.692816842	13	0.175675676	9	0.6	0.4302702704
Mineral absorption	0.705420503	2	0.027027027	3	0.2	0.1308108108
Cell adhesion molecules	0.711432589	1	0.013513514	2	0.133333333	0.0854054054
Terpenoid backbone biosynthesis	0.711432589	1	0.013513514	2	0.133333333	0.0854054054
Renin-angiotensin system	0.714000445	2	0.027027027	3	0.2	0.1308108108
Aldosterone-regulated sodium reabsorption	0.721421226	5	0.067567568	4	0.266666667	0.1870270274
PPAR signaling pathway	0.733893054	4	0.054054054	4	0.266666667	0.1816216218
Long-term depression	0.737444008	6	0.081081081	5	0.333333333	0.2324324322
Glioma	0.73845895	11	0.148648649	8	0.533333333	0.3794594594
Acute myeloid leukemia	0.738633144	10	0.135135135	7	0.466666667	0.3340540542
Huntington disease	0.745661761	12	0.162162162	8	0.533333333	0.3848648646
TGF-beta signaling pathway	0.746009847	3	0.040540541	4	0.266666667	0.1762162166
Chagas disease	0.751150978	9	0.121621622	7	0.466666667	0.328648649
Regulation of actin cytoskeleton	0.75344438	15	0.202702703	10	0.666666667	0.4810810814
Thermogenesis	0.75500417	9	0.121621622	6	0.4	0.2886486488
Staphylococcus aureus infection	0.755510199	1	0.013513514	2	0.133333333	0.0854054054
Nicotinate and nicotinamide metabolism	0.774956872	1	0.013513514	2	0.133333333	0.0854054054
NF-kappa B signaling pathway	0.777246185	9	0.121621622	9	0.6	0.4086486488
Adherens junction	0.784800661	7	0.094594595	5	0.333333333	0.2378378378
Breast cancer	0.785568416	15	0.202702703	7	0.466666667	0.3610810814
Fluid shear stress and atherosclerosis	0.786018885	14	0.189189189	10	0.666666667	0.4756756758
Retrograde endocannabinoid signaling	0.792627066	13	0.175675676	9	0.6	0.4302702704
Human immunodeficiency virus 1 infection	0.802765585	12	0.162162162	9	0.6	0.4248648648
Oxytocin signaling pathway	0.823497421	14	0.189189189	8	0.533333333	0.3956756754
Protein processing in endoplasmic reticulum	0.830240475	2	0.027027027	3	0.2	0.1308108108
Sphingolipid signaling pathway	0.845141607	12	0.162162162	9	0.6	0.4248648648
B cell receptor signaling pathway	0.845323665	6	0.081081081	6	0.4	0.2724324324
Wnt signaling pathway	0.862007234	4	0.054054054	4	0.266666667	0.1816216218
Th1 and Th2 cell differentiation	0.865396166	4	0.054054054	5	0.333333333	0.2216216214
Phagosome	0.868567776	2	0.027027027	3	0.2	0.1308108108
Glycerolipid metabolism	0.868698306	1	0.013513514	2	0.133333333	0.0854054054
Insulin resistance	0.87377965	9	0.121621622	8	0.533333333	0.3686486486
Bacterial invasion of epithelial cells	0.876537667	3	0.040540541	4	0.266666667	0.1762162166
Cytokine-cytokine receptor interaction	0.876537667	3	0.040540541	4	0.266666667	0.1762162166
Histidine metabolism	0.879144414	1	0.013513514	2	0.133333333	0.0854054054
Coronavirus disease	0.885822596	11	0.148648649	10	0.666666667	0.4594594598
Non-small cell lung cancer	0.886153396	10	0.135135135	7	0.466666667	0.3340540542
Th17 cell differentiation	0.888598623	8	0.108108108	7	0.466666667	0.3232432434
Herpes simplex virus 1 infection	0.894989706	8	0.108108108	8	0.533333333	0.363243243
HIF-1 signaling pathway	0.895291538	11	0.148648649	9	0.6	0.4194594596
Protein digestion and absorption	0.895399498	2	0.027027027	3	0.2	0.1308108108
Epithelial cell signaling in Helicobacter pylori infection	0.901633021	6	0.081081081	6	0.4	0.2724324324
Necroptosis	0.904982942	5	0.067567568	6	0.4	0.2670270272
Pyrimidine metabolism	0.905757016	1	0.013513514	2	0.133333333	0.0854054054
mTOR signaling pathway	0.905961696	7	0.094594595	7	0.466666667	0.3178378382
Relaxin signaling pathway	0.906782677	10	0.135135135	7	0.466666667	0.3340540542
Hippo signaling pathway	0.908347385	2	0.027027027	3	0.2	0.1308108108
Ovarian steroidogenesis	0.909449553	5	0.067567568	6	0.4	0.2670270272
Primary immunodeficiency	0.909584045	1	0.013513514	2	0.133333333	0.0854054054
Neurotrophin signaling pathway	0.910074604	9	0.121621622	7	0.466666667	0.328648649
Endocytosis	0.913731064	5	0.067567568	5	0.333333333	0.227027027
Choline metabolism in cancer	0.914109167	8	0.108108108	7	0.466666667	0.3232432434
Axon guidance	0.922489101	7	0.094594595	7	0.466666667	0.3178378382
Proteoglycans in cancer	0.926957409	18	0.243243243	9	0.6	0.4572972972
PD-L1 expression and PD-1 checkpoint pathway in cancer	0.927024123	10	0.135135135	8	0.533333333	0.3740540538
Insulin signaling pathway	0.927181767	8	0.108108108	6	0.4	0.2832432432
T cell receptor signaling pathway	0.928984607	7	0.094594595	6	0.4	0.277837838
Fc gamma R-mediated phagocytosis	0.92959654	4	0.054054054	4	0.266666667	0.1816216218
Fc epsilon RI signaling pathway	0.936405283	6	0.081081081	5	0.333333333	0.2324324322
IL-17 signaling pathway	0.939210041	7	0.094594595	8	0.533333333	0.3578378378
Leukocyte transendothelial migration	0.941761684	4	0.054054054	4	0.266666667	0.1816216218
Pathogenic Escherichia coli infection	0.94485143	6	0.081081081	7	0.466666667	0.3124324326
Hepatitis C	0.948749163	10	0.135135135	9	0.6	0.414054054
NOD-like receptor signaling pathway	0.951106581	6	0.081081081	6	0.4	0.2724324324
Human cytomegalovirus infection	0.954480804	18	0.243243243	11	0.733333333	0.537297297
AGE-RAGE signaling pathway in diabetic complications	0.956769798	9	0.121621622	9	0.6	0.4086486488
Central carbon metabolism in cancer	0.956769798	9	0.121621622	7	0.466666667	0.328648649
Influenza A	0.956843525	7	0.094594595	7	0.466666667	0.3178378382
Chronic myeloid leukemia	0.958789708	6	0.081081081	6	0.4	0.2724324324
Yersinia infection	0.962498939	7	0.094594595	8	0.533333333	0.3578378378
Epstein-Barr virus infection	0.962795571	9	0.121621622	7	0.466666667	0.328648649
Hepatitis B	0.963819479	10	0.135135135	9	0.6	0.414054054
Lipid and atherosclerosis	0.964021361	14	0.189189189	11	0.733333333	0.5156756754
Cellular senescence	0.965297428	8	0.108108108	7	0.466666667	0.3232432434
ErbB signaling pathway	0.965886721	7	0.094594595	6	0.4	0.277837838
Non-alcoholic fatty liver disease	0.965886721	7	0.094594595	7	0.466666667	0.3178378382
Small cell lung cancer	0.966839337	8	0.108108108	6	0.4	0.2832432432
Diabetic cardiomyopathy	0.967348054	9	0.121621622	8	0.533333333	0.3686486486
Human papillomavirus infection	0.967378104	16	0.216216216	11	0.733333333	0.5264864862
Chemokine signaling pathway	0.969035931	8	0.108108108	8	0.533333333	0.363243243
Longevity regulating pathway	0.970957323	6	0.081081081	6	0.4	0.2724324324
Toxoplasmosis	0.975662683	7	0.094594595	6	0.4	0.277837838
VEGF signaling pathway	0.979656018	8	0.108108108	7	0.466666667	0.3232432434
Hepatocellular carcinoma	0.980601175	8	0.108108108	8	0.533333333	0.363243243
Bladder cancer	0.980819232	4	0.054054054	3	0.2	0.1416216216
Osteoclast differentiation	0.981455669	7	0.094594595	8	0.533333333	0.3578378378
Toll-like receptor signaling pathway	0.982447961	4	0.054054054	5	0.333333333	0.2216216214
PI3K-Akt signaling pathway	0.982519136	19	0.256756757	12	0.8	0.5827027028
Melanoma	0.982681626	6	0.081081081	4	0.266666667	0.1924324326
Pathways in cancer	0.982934091	33	0.445945946	14	0.933333333	0.7383783782
Phospholipase D signaling pathway	0.983033434	10	0.135135135	8	0.533333333	0.3740540538
Apoptosis	0.983999804	6	0.081081081	7	0.466666667	0.3124324326
Shigellosis	0.984159125	9	0.121621622	8	0.533333333	0.3686486486
Prostate cancer	0.985580661	11	0.148648649	9	0.6	0.4194594596
Signaling pathways regulating pluripotency of stem cells	0.986022288	5	0.067567568	4	0.266666667	0.1870270274
JAK-STAT signaling pathway	0.986359163	6	0.081081081	5	0.333333333	0.2324324322
Renal cell carcinoma	0.986712296	3	0.040540541	4	0.266666667	0.1762162166
Human T-cell leukemia virus 1 infection	0.988549509	7	0.094594595	6	0.4	0.277837838
MicroRNAs in cancer	0.988696525	15	0.202702703	11	0.733333333	0.521081081
Autophagy	0.988806067	4	0.054054054	5	0.333333333	0.2216216214
Viral carcinogenesis	0.990906701	6	0.081081081	7	0.466666667	0.3124324326
Cell cycle	0.991024629	3	0.040540541	4	0.266666667	0.1762162166
TNF signaling pathway	0.99270245	6	0.081081081	7	0.466666667	0.3124324326
Kaposi sarcoma-associated herpesvirus infection	0.9938949	11	0.148648649	7	0.466666667	0.3394594598
Oocyte meiosis	0.993943321	4	0.054054054	4	0.266666667	0.1816216218
Salmonella infection	0.994475973	6	0.081081081	7	0.466666667	0.3124324326
Focal adhesion	0.995679393	8	0.108108108	6	0.4	0.2832432432
Gastric cancer	0.995702503	7	0.094594595	5	0.333333333	0.2378378378
Pancreatic cancer	0.995950322	6	0.081081081	6	0.4	0.2724324324
Endometrial cancer	0.996595479	3	0.040540541	3	0.2	0.1362162164
Platelet activation	0.996957229	6	0.081081081	6	0.4	0.2724324324
Measles	0.997497916	4	0.054054054	5	0.333333333	0.2216216214
Colorectal cancer	0.998849608	4	0.054054054	4	0.266666667	0.1816216218
Progesterone-mediated oocyte maturation	0.999843116	3	0.040540541	4	0.266666667	0.1762162166
FoxO signaling pathway	0.999940804	4	0.054054054	4	0.266666667	0.1816216218
