pathway	p_value	Freq.x	normalised_freq	score
Proximal tubule bicarbonate reclamation	0.480434326	1	0.066666667	0.066666667
Pancreatic secretion	0.481100383	3	0.2	0.2
Dilated cardiomyopathy	0.486896428	2	0.133333333	0.133333333
Cardiac muscle contraction	0.5016019	1	0.066666667	0.066666667
Neuroactive ligand-receptor interaction	0.505119014	15	1	1
Arrhythmogenic right ventricular cardiomyopathy	0.50675785	1	0.066666667	0.066666667
Parkinson disease	0.528449968	4	0.266666667	0.266666667
Parathyroid hormone synthesis, secretion and action	0.532075971	3	0.2	0.2
Salivary secretion	0.532697415	4	0.266666667	0.266666667
Diabetic cardiomyopathy	0.536925842	4	0.266666667	0.266666667
HIF-1 signaling pathway	0.541134962	4	0.266666667	0.266666667
Prostate cancer	0.542934446	5	0.333333333	0.333333333
Protein processing in endoplasmic reticulum	0.555476913	1	0.066666667	0.066666667
Inflammatory mediator regulation of TRP channels	0.555894025	5	0.333333333	0.333333333
Pathways of neurodegeneration	0.571501975	8	0.533333333	0.533333333
Measles	0.573108715	3	0.2	0.2
Glycerophospholipid metabolism	0.573591365	1	0.066666667	0.066666667
Phosphatidylinositol signaling system	0.599390388	1	0.066666667	0.066666667
Yersinia infection	0.602933153	3	0.2	0.2
Necroptosis	0.605460656	2	0.133333333	0.133333333
Tyrosine metabolism	0.607638919	1	0.066666667	0.066666667
Mitophagy	0.611699371	1	0.066666667	0.066666667
TGF-beta signaling pathway	0.627525906	1	0.066666667	0.066666667
Lipid and atherosclerosis	0.629541504	5	0.333333333	0.333333333
Arginine and proline metabolism	0.635195963	1	0.066666667	0.066666667
Hippo signaling pathway	0.635195963	1	0.066666667	0.066666667
Glioma	0.635594189	3	0.2	0.2
Metabolism of xenobiotics by cytochrome P450	0.642708311	1	0.066666667	0.066666667
Regulation of actin cytoskeleton	0.646657215	4	0.266666667	0.266666667
RIG-I-like receptor signaling pathway	0.657272763	1	0.066666667	0.066666667
Rap1 signaling pathway	0.662732928	6	0.4	0.4
Osteoclast differentiation	0.664345942	3	0.2	0.2
Bladder cancer	0.669877925	2	0.133333333	0.133333333
Epithelial cell signaling in Helicobacter pylori infection	0.681690653	2	0.133333333	0.133333333
Salmonella infection	0.683851415	3	0.2	0.2
Serotonergic synapse	0.694799407	6	0.4	0.4
Gap junction	0.708278881	5	0.333333333	0.333333333
Glutamatergic synapse	0.712931599	2	0.133333333	0.133333333
C-type lectin receptor signaling pathway	0.715046837	3	0.2	0.2
AGE-RAGE signaling pathway in diabetic complications	0.718555752	3	0.2	0.2
PPAR signaling pathway	0.718757985	1	0.066666667	0.066666667
Human immunodeficiency virus 1 infection	0.725472851	3	0.2	0.2
PD-L1 expression and PD-1 checkpoint pathway in cancer	0.727181219	3	0.2	0.2
Human papillomavirus infection	0.729060554	5	0.333333333	0.333333333
Epstein-Barr virus infection	0.730572968	3	0.2	0.2
Coronavirus disease	0.735598347	3	0.2	0.2
Pathogenic Escherichia coli infection	0.735640013	2	0.133333333	0.133333333
Steroid hormone biosynthesis	0.735784355	1	0.066666667	0.066666667
p53 signaling pathway	0.749184032	1	0.066666667	0.066666667
mTOR signaling pathway	0.751178962	2	0.133333333	0.133333333
MicroRNAs in cancer	0.761280054	5	0.333333333	0.333333333
MAPK signaling pathway	0.776106884	4	0.266666667	0.266666667
Human cytomegalovirus infection	0.779180251	5	0.333333333	0.333333333
Hepatitis B	0.781845982	3	0.2	0.2
Aldosterone-regulated sodium reabsorption	0.785447058	1	0.066666667	0.066666667
Shigellosis	0.788868023	3	0.2	0.2
Wnt signaling pathway	0.789868818	1	0.066666667	0.066666667
Th1 and Th2 cell differentiation	0.792045457	1	0.066666667	0.066666667
GnRH signaling pathway	0.801066246	2	0.133333333	0.133333333
Chemical carcinogenesis	0.801278199	7	0.466666667	0.466666667
Ras signaling pathway	0.80534691	4	0.266666667	0.266666667
Thyroid cancer	0.808667336	1	0.066666667	0.066666667
Choline metabolism in cancer	0.810209598	2	0.133333333	0.133333333
Oxytocin signaling pathway	0.817566231	3	0.2	0.2
Apoptosis	0.818976433	2	0.133333333	0.133333333
Cushing syndrome	0.818976433	2	0.133333333	0.133333333
Cholinergic synapse	0.829476055	3	0.2	0.2
Breast cancer	0.832916628	3	0.2	0.2
Growth hormone synthesis, secretion and action	0.835428612	2	0.133333333	0.133333333
Viral carcinogenesis	0.846868244	2	0.133333333	0.133333333
Neurotrophin signaling pathway	0.848093713	2	0.133333333	0.133333333
Tight junction	0.861467608	1	0.066666667	0.066666667
PI3K-Akt signaling pathway	0.862429694	5	0.333333333	0.333333333
Natural killer cell mediated cytotoxicity	0.86573083	1	0.066666667	0.066666667
Proteoglycans in cancer	0.867524756	4	0.266666667	0.266666667
Renal cell carcinoma	0.868499947	1	0.066666667	0.066666667
Prolactin signaling pathway	0.868677188	2	0.133333333	0.133333333
Chemokine signaling pathway	0.869742057	2	0.133333333	0.133333333
Alzheimer disease	0.871644705	5	0.333333333	0.333333333
Endocytosis	0.876469815	1	0.066666667	0.066666667
cGMP-PKG signaling pathway	0.877212259	4	0.266666667	0.266666667
Pancreatic cancer	0.878974555	2	0.133333333	0.133333333
Relaxin signaling pathway	0.878974555	2	0.133333333	0.133333333
B cell receptor signaling pathway	0.882741653	1	0.066666667	0.066666667
Cell cycle	0.883957336	1	0.066666667	0.066666667
Central carbon metabolism in cancer	0.886670311	2	0.133333333	0.133333333
Hepatocellular carcinoma	0.889437523	2	0.133333333	0.133333333
Adherens junction	0.896527218	1	0.066666667	0.066666667
Calcium signaling pathway	0.897676127	8	0.533333333	0.533333333
Pathways in cancer	0.899210505	8	0.533333333	0.533333333
Retrograde endocannabinoid signaling	0.910171535	2	0.133333333	0.133333333
Autophagy	0.917734618	1	0.066666667	0.066666667
Focal adhesion	0.933144805	2	0.133333333	0.133333333
Oocyte meiosis	0.933221983	1	0.066666667	0.066666667
Insulin secretion	0.934600627	1	0.066666667	0.066666667
Chronic myeloid leukemia	0.93595085	1	0.066666667	0.066666667
Phospholipase D signaling pathway	0.939652024	2	0.133333333	0.133333333
Signaling pathways regulating pluripotency of stem cells	0.939836788	1	0.066666667	0.066666667
T cell receptor signaling pathway	0.94169056	1	0.066666667	0.066666667
Melanoma	0.955079353	1	0.066666667	0.066666667
ErbB signaling pathway	0.958244277	1	0.066666667	0.066666667
Colorectal cancer	0.961186528	1	0.066666667	0.066666667
Toxoplasmosis	0.963921748	1	0.066666667	0.066666667
Small cell lung cancer	0.970721487	1	0.066666667	0.066666667
Regulation of lipolysis in adipocytes	0.980314482	1	0.066666667	0.066666667
Hepatitis C	0.981316654	1	0.066666667	0.066666667
Gastric cancer	0.982081584	1	0.066666667	0.066666667
Vascular smooth muscle contraction	0.982815242	1	0.066666667	0.066666667
