drug.name	pathway
 flurizan	Acute myeloid leukemia
 fr-180204	Acute myeloid leukemia
 gdc-0068	Acute myeloid leukemia
 gdc-0349	Acute myeloid leukemia
 gdc-0879	Acute myeloid leukemia
 gdc-0941	Acute myeloid leukemia
 gdc-0980	Acute myeloid leukemia
 gdc-0994	Acute myeloid leukemia
 gf109203x	Acute myeloid leukemia
 gilteritinib	Acute myeloid leukemia
 gsk0660	Acute myeloid leukemia
 gsk2110183	Acute myeloid leukemia
 gsk2126458	Acute myeloid leukemia
 gsk2636771	Acute myeloid leukemia
 gsk3787	Acute myeloid leukemia
 gsk690693	Acute myeloid leukemia
 gtp-14564	Acute myeloid leukemia
 gw-0742	Acute myeloid leukemia
 gw-2580	Acute myeloid leukemia
 gw-501516	Acute myeloid leukemia
 gw-5074	Acute myeloid leukemia
 hexamethylenebisacetamide	Acute myeloid leukemia
 hypoestoxide	Acute myeloid leukemia
 icosapent	Acute myeloid leukemia
 idelalisib	Acute myeloid leukemia
 ikk-16	Acute myeloid leukemia
 ikk-2-inhibitor-v	Acute myeloid leukemia
 ikk-2-inhibitor	Acute myeloid leukemia
 imatinib	Acute myeloid leukemia
 indeglitazar	Acute myeloid leukemia
 isotretinoin	Acute myeloid leukemia
 k-ras(g12c)-inhibitor-12	Acute myeloid leukemia
 kg-5	Acute myeloid leukemia
 ki-20227	Acute myeloid leukemia
 kn-62	Acute myeloid leukemia
 ku-0063794	Acute myeloid leukemia
 kw-2449	Acute myeloid leukemia
 l-165041	Acute myeloid leukemia
 lestaurtinib	Acute myeloid leukemia
 linifanib	Acute myeloid leukemia
 lonafarnib	Acute myeloid leukemia
 lucitanib	Acute myeloid leukemia
 ly2584702	Acute myeloid leukemia
 ly294002	Acute myeloid leukemia
 ly3009120	Acute myeloid leukemia
 ly3023414	Acute myeloid leukemia
 masitinib	Acute myeloid leukemia
 meisoindigo	Acute myeloid leukemia
 mek1-2-inhibitor	Acute myeloid leukemia
 melatonin	Acute myeloid leukemia
 mesalazine	Acute myeloid leukemia
 methyl-aminolevulinate	Acute myeloid leukemia
 midostaurin	Acute myeloid leukemia
 mk-2206	Acute myeloid leukemia
 mk-2461	Acute myeloid leukemia
 ml786	Acute myeloid leukemia
 mln0128	Acute myeloid leukemia
 mln1117	Acute myeloid leukemia
 motesanib	Acute myeloid leukemia
 napabucasin	Acute myeloid leukemia
 nfkb-activation-inhibitor-ii	Acute myeloid leukemia
 niclosamide	Acute myeloid leukemia
 nilotinib	Acute myeloid leukemia
 nms-1286937	Acute myeloid leukemia
 nobiletin	Acute myeloid leukemia
 nu-2058	Acute myeloid leukemia
 nu-6027	Acute myeloid leukemia
 nvp-bez235	Acute myeloid leukemia
 ochromycinone	Acute myeloid leukemia
 olomoucine	Acute myeloid leukemia
 osi-027	Acute myeloid leukemia
 osi-930	Acute myeloid leukemia
 pacritinib	Acute myeloid leukemia
 palomid-529	Acute myeloid leukemia
 parthenolide-(alternate-stereo)	Acute myeloid leukemia
 pazopanib	Acute myeloid leukemia
 pd-0325901	Acute myeloid leukemia
 pd-184352	Acute myeloid leukemia
 pd-198306	Acute myeloid leukemia
 pd-98059	Acute myeloid leukemia
 perifosine	Acute myeloid leukemia
 pexidartinib	Acute myeloid leukemia
 pf-04691502	Acute myeloid leukemia
 pf-05212384	Acute myeloid leukemia
 pf-4708671	Acute myeloid leukemia
 pf-573228	Acute myeloid leukemia
 pha-767491	Acute myeloid leukemia
 pht-427	Acute myeloid leukemia
 pi-103	Acute myeloid leukemia
 pik-293	Acute myeloid leukemia
 pik-294	Acute myeloid leukemia
 pik-75	Acute myeloid leukemia
 pim-1-inhibitor-2	Acute myeloid leukemia
 pki-179	Acute myeloid leukemia
 plx4720	Acute myeloid leukemia
 plx647	Acute myeloid leukemia
 plx8394	Acute myeloid leukemia
 ponatinib	Acute myeloid leukemia
 pp-121	Acute myeloid leukemia
 pp242	Acute myeloid leukemia
 pranlukast	Acute myeloid leukemia
 purvalanol-b	Acute myeloid leukemia
 pyrrolidine-dithiocarbamate	Acute myeloid leukemia
 quercetin	Acute myeloid leukemia
 quizartinib	Acute myeloid leukemia
 raf265	Acute myeloid leukemia
 ravoxertinib	Acute myeloid leukemia
 rebastinib	Acute myeloid leukemia
 refametinib	Acute myeloid leukemia
 regorafenib	Acute myeloid leukemia
 reversine	Acute myeloid leukemia
 rgb-286638	Acute myeloid leukemia
 ro-4987655	Acute myeloid leukemia
 ro-5126766	Acute myeloid leukemia
 sar-245409	Acute myeloid leukemia
 sb-202190	Acute myeloid leukemia
 sb-203580	Acute myeloid leukemia
 sb-216763	Acute myeloid leukemia
 sb-2343	Acute myeloid leukemia
 sb-415286	Acute myeloid leukemia
 sb-590885	Acute myeloid leukemia
 sb-747651a	Acute myeloid leukemia
 selumetinib	Acute myeloid leukemia
 semaxanib	Acute myeloid leukemia
 sgi-1776	Acute myeloid leukemia
 sirolimus	Acute myeloid leukemia
 smi-4a	Acute myeloid leukemia
 sorafenib	Acute myeloid leukemia
 sp-100030	Acute myeloid leukemia
 stat3-inhibitor-vi	Acute myeloid leukemia
 sulfasalazine	Acute myeloid leukemia
 sunitinib	Acute myeloid leukemia
 tak-632	Acute myeloid leukemia
 tak-733	Acute myeloid leukemia
 tamibarotene	Acute myeloid leukemia
 tandutinib	Acute myeloid leukemia
 taselisib	Acute myeloid leukemia
 tazarotene	Acute myeloid leukemia
 tcs-359	Acute myeloid leukemia
 tcs-pim-1-1	Acute myeloid leukemia
 temsirolimus	Acute myeloid leukemia
 tg-02	Acute myeloid leukemia
 tg100-115	Acute myeloid leukemia
 tgx-221	Acute myeloid leukemia
 tic10	Acute myeloid leukemia
 tivozanib	Acute myeloid leukemia
 toceranib	Acute myeloid leukemia
 torin-1	Acute myeloid leukemia
 torin-2	Acute myeloid leukemia
 tpca-1	Acute myeloid leukemia
 trametinib	Acute myeloid leukemia
 treprostinil	Acute myeloid leukemia
 tretinoin	Acute myeloid leukemia
 triciribine	Acute myeloid leukemia
 triflusal	Acute myeloid leukemia
 triptolide	Acute myeloid leukemia
 ttnpb	Acute myeloid leukemia
 tws-119	Acute myeloid leukemia
 tyrphostin-ag-1296	Acute myeloid leukemia
 u-0126	Acute myeloid leukemia
 unc2025	Acute myeloid leukemia
 uprosertib	Acute myeloid leukemia
 urmc-099	Acute myeloid leukemia
 ve-822	Acute myeloid leukemia
 vemurafenib	Acute myeloid leukemia
 voxtalisib	Acute myeloid leukemia
 vx-11e	Acute myeloid leukemia
 way-600	Acute myeloid leukemia
 wortmannin	Acute myeloid leukemia
 wp1066	Acute myeloid leukemia
 wye-125132	Acute myeloid leukemia
 wye-354	Acute myeloid leukemia
 wye-687	Acute myeloid leukemia
 xl147	Acute myeloid leukemia
 xl388	Acute myeloid leukemia
 zm-336372	Acute myeloid leukemia
 zstk-474	Acute myeloid leukemia
1-naphthyl-pp1	Adherens junction
 3|4-methylenedioxy-beta-nitrostyrene	Adherens junction
 4|5|6|7-tetrabromobenzotriazole	Adherens junction
 adenine	Adherens junction
 aee788	Adherens junction
 afatinib	Adherens junction
 ag-1024	Adherens junction
 ag-490	Adherens junction
 alectinib	Adherens junction
 altiratinib	Adherens junction
 alvocidib	Adherens junction
 amg-208	Adherens junction
 amg-337	Adherens junction
 amg458	Adherens junction
 amuvatinib	Adherens junction
 ap26113	Adherens junction
 arry-334543	Adherens junction
 arsenic-trioxide	Adherens junction
 ast-1306	Adherens junction
 av-412	Adherens junction
 avl-292	Adherens junction
 az5104	Adherens junction
 azd3463	Adherens junction
 azd3759	Adherens junction
 azd4547	Adherens junction
 azd8931	Adherens junction
 azm-475271	Adherens junction
 bibu-1361	Adherens junction
 bibx-1382	Adherens junction
 bis(maltolato)oxovanadium(iv)	Adherens junction
 bisindolylmaleimide-ix	Adherens junction
 bms-536924	Adherens junction
 bms-599626	Adherens junction
 bms-690514	Adherens junction
 bms-754807	Adherens junction
 bms-777607	Adherens junction
 bms-817378	Adherens junction
 bosutinib	Adherens junction
 brigatinib	Adherens junction
 brivanib	Adherens junction
 bvt-948	Adherens junction
 c11-acetate	Adherens junction
 c646	Adherens junction
 cabozantinib	Adherens junction
 canertinib	Adherens junction
 cardionogen-1	Adherens junction
 casin	Adherens junction
 cct-031374	Adherens junction
 ceritinib	Adherens junction
 cgp-52411	Adherens junction
 cgp-53353	Adherens junction
 ch-5183284	Adherens junction
 chir-99021	Adherens junction
 chrysophanic-acid	Adherens junction
 cid-5458317	Adherens junction
 citric-acid	Adherens junction
 cnx-2006	Adherens junction
 corosolic-acid	Adherens junction
 cp-724714	Adherens junction
 crizotinib	Adherens junction
 cudc-101	Adherens junction
 curcumin	Adherens junction
 cx-4945	Adherens junction
 cytochalasin-b	Adherens junction
 dacomitinib	Adherens junction
 danusertib	Adherens junction
 dasatinib	Adherens junction
 dextromethorphan	Adherens junction
 dorsomorphin	Adherens junction
 dovitinib	Adherens junction
 egf816	Adherens junction
 ehop-016	Adherens junction
 ellagic-acid	Adherens junction
 emd-1214063	Adherens junction
 emodin	Adherens junction
 enmd-2076	Adherens junction
 epigallocatechin-gallate-(-)	Adherens junction
 erbstatin-analog	Adherens junction
 erdafitinib	Adherens junction
 erlotinib	Adherens junction
 evans-blue	Adherens junction
 ew-7197	Adherens junction
 ferb-033	Adherens junction
 foretinib	Adherens junction
 fr-180204	Adherens junction
 gdc-0994	Adherens junction
 gefitinib	Adherens junction
 golvatinib	Adherens junction
 gsk1838705a	Adherens junction
 gsk1904529a	Adherens junction
 gw-583340	Adherens junction
 gw-788388	Adherens junction
 hexylene-glycol	Adherens junction
 hki-357	Adherens junction
 i-cbp-112	Adherens junction
 icg-001	Adherens junction
 icotinib	Adherens junction
 icrt-14	Adherens junction
 inc-280	Adherens junction
 itd-1	Adherens junction
 jnj-38877605	Adherens junction
 kb-src-4	Adherens junction
 kn-62	Adherens junction
 kx2-391	Adherens junction
 lapatinib	Adherens junction
 licochalcone-a	Adherens junction
 lidocaine	Adherens junction
 linsitinib	Adherens junction
 lucitanib	Adherens junction
 ly2109761	Adherens junction
 ly2157299	Adherens junction
 ly2801653	Adherens junction
 ly2874455	Adherens junction
 ly294002	Adherens junction
 ly364947	Adherens junction
 mgcd-265	Adherens junction
 mk-2461	Adherens junction
 mk-8033	Adherens junction
 ml141	Adherens junction
 mubritinib	Adherens junction
 neratinib	Adherens junction
 nintedanib	Adherens junction
 nt157	Adherens junction
 nvp-adw742	Adherens junction
 nvp-aew541	Adherens junction
 nvp-bgj398	Adherens junction
 nvp-bvu972	Adherens junction
 nvp-tae684	Adherens junction
 olmutinib	Adherens junction
 olomoucine	Adherens junction
 orantinib	Adherens junction
 osi-420	Adherens junction
 osimertinib	Adherens junction
 pazopanib	Adherens junction
 pd-153035	Adherens junction
 pd-158780	Adherens junction
 pd-161570	Adherens junction
 pd-166285	Adherens junction
 pd-168393	Adherens junction
 pd-173074	Adherens junction
 pd-98059	Adherens junction
 pelitinib	Adherens junction
 pf-04217903	Adherens junction
 pha-665752	Adherens junction
 pki-166	Adherens junction
 pnu-74654	Adherens junction
 podophyllotoxin	Adherens junction
 ponatinib	Adherens junction
 poziotinib	Adherens junction
 pp-121	Adherens junction
 pp-2	Adherens junction
 pq-401	Adherens junction
 purvalanol-a	Adherens junction
 purvalanol-b	Adherens junction
 qx-314	Adherens junction
 r-268712	Adherens junction
 ravoxertinib	Adherens junction
 rebastinib	Adherens junction
 regorafenib	Adherens junction
 repsox	Adherens junction
 resveratrol	Adherens junction
 rgb-286638	Adherens junction
 rheochrysidin	Adherens junction
 rociletinib	Adherens junction
 s-nitrosoglutathione	Adherens junction
 saracatinib	Adherens junction
 savolitinib	Adherens junction
 sb-202190	Adherens junction
 sb-203580	Adherens junction
 sb-431542	Adherens junction
 sb-505124	Adherens junction
 sb-525334	Adherens junction
 sd-208	Adherens junction
 semaxanib	Adherens junction
 sgc-cbp30	Adherens junction
 sgx523	Adherens junction
 sis3	Adherens junction
 snap	Adherens junction
 sodium-stibogluconate	Adherens junction
 sorafenib	Adherens junction
 su11274	Adherens junction
 sun-11602	Adherens junction
 sunitinib	Adherens junction
 tak-285	Adherens junction
 tg-100572	Adherens junction
 tg-100801	Adherens junction
 tic10	Adherens junction
 tiludronate	Adherens junction
 tivantinib	Adherens junction
 tolimidone	Adherens junction
 ttp-22	Adherens junction
 tucatinib	Adherens junction
 tyrphostin-ag-1478	Adherens junction
 tyrphostin-ag-18	Adherens junction
 tyrphostin-ag-494	Adherens junction
 tyrphostin-ag-825	Adherens junction
 tyrphostin-ag-835	Adherens junction
 tyrphostin-ag-879	Adherens junction
 tyrphostin-ag-99	Adherens junction
 u-0126	Adherens junction
 urea	Adherens junction
 ursolic-acid	Adherens junction
 usniacin-(+)	Adherens junction
 vandetanib	Adherens junction
 vatalanib	Adherens junction
 vx-11e	Adherens junction
 way-200070	Adherens junction
 wh-4-023	Adherens junction
 whi-p154	Adherens junction
 wiskostatin	Adherens junction
 wz-3146	Adherens junction
 wz-4002	Adherens junction
 wz8040	Adherens junction
 xl228	Adherens junction
 xl647	Adherens junction
 y16	Adherens junction
 zcl-278	Adherens junction
 zm-306416	Adherens junction
1|2|3|4|5|6-hexabromocyclohexane	Adipocytokine signaling pathway
 2-deoxyglucose	Adipocytokine signaling pathway
 4|5|6|7-tetrabromobenzotriazole	Adipocytokine signaling pathway
 a-674563	Adipocytokine signaling pathway
 acetylcysteine	Adipocytokine signaling pathway
 acitretin	Adipocytokine signaling pathway
 adapalene	Adipocytokine signaling pathway
 adenine	Adipocytokine signaling pathway
 adenosine-phosphate	Adipocytokine signaling pathway
 adenosine-triphosphate	Adipocytokine signaling pathway
 adiporon	Adipocytokine signaling pathway
 afimoxifene	Adipocytokine signaling pathway
 ag-490	Adipocytokine signaling pathway
 agn-194310	Adipocytokine signaling pathway
 alantolactone	Adipocytokine signaling pathway
 aminosalicylate	Adipocytokine signaling pathway
 amrinone	Adipocytokine signaling pathway
 andrographolide	Adipocytokine signaling pathway
 antagonist-g	Adipocytokine signaling pathway
 ap1903	Adipocytokine signaling pathway
 apck-110	Adipocytokine signaling pathway
 api-1	Adipocytokine signaling pathway
 arctigenin	Adipocytokine signaling pathway
 arglabin	Adipocytokine signaling pathway
 arq-092	Adipocytokine signaling pathway
 arsenic-trioxide	Adipocytokine signaling pathway
 aspirin	Adipocytokine signaling pathway
 at-9283	Adipocytokine signaling pathway
 at13148	Adipocytokine signaling pathway
 at7867	Adipocytokine signaling pathway
 atiprimod	Adipocytokine signaling pathway
 auranofin	Adipocytokine signaling pathway
 az20	Adipocytokine signaling pathway
 az960	Adipocytokine signaling pathway
 azd1480	Adipocytokine signaling pathway
 azd2014	Adipocytokine signaling pathway
 azd3264	Adipocytokine signaling pathway
 azd5363	Adipocytokine signaling pathway
 azd8055	Adipocytokine signaling pathway
 baicalein	Adipocytokine signaling pathway
 bardoxolone-methyl	Adipocytokine signaling pathway
 baricitinib	Adipocytokine signaling pathway
 bay-11-7082	Adipocytokine signaling pathway
 bay-11-7085	Adipocytokine signaling pathway
 bergenin	Adipocytokine signaling pathway
 beta-hydroxy-beta-methylbutyrate	Adipocytokine signaling pathway
 bexarotene	Adipocytokine signaling pathway
 bezafibrate	Adipocytokine signaling pathway
 bgt226	Adipocytokine signaling pathway
 bi-78d3	Adipocytokine signaling pathway
 biotin	Adipocytokine signaling pathway
 bisindolylmaleimide-ix	Adipocytokine signaling pathway
 bms-345541	Adipocytokine signaling pathway
 bms-536924	Adipocytokine signaling pathway
 bms-649	Adipocytokine signaling pathway
 bms-754807	Adipocytokine signaling pathway
 bortezomib	Adipocytokine signaling pathway
 bvt-948	Adipocytokine signaling pathway
 caffeic-acid-phenethyl-ester	Adipocytokine signaling pathway
 camkii-in-1	Adipocytokine signaling pathway
 canertinib	Adipocytokine signaling pathway
 cc-115	Adipocytokine signaling pathway
 cc-223	Adipocytokine signaling pathway
 cc-401	Adipocytokine signaling pathway
 cep-33779	Adipocytokine signaling pathway
 cetaben	Adipocytokine signaling pathway
 ch5132799	Adipocytokine signaling pathway
 chrysophanic-acid	Adipocytokine signaling pathway
 ciprofibrate	Adipocytokine signaling pathway
 ckd-712	Adipocytokine signaling pathway
 clofibrate	Adipocytokine signaling pathway
 clofibric-acid	Adipocytokine signaling pathway
 compound-401	Adipocytokine signaling pathway
 cp-640186	Adipocytokine signaling pathway
 cp-775146	Adipocytokine signaling pathway
 cpi-1189	Adipocytokine signaling pathway
 cryptotanshinone	Adipocytokine signaling pathway
 curcumol	Adipocytokine signaling pathway
 cyt387	Adipocytokine signaling pathway
 deforolimus	Adipocytokine signaling pathway
 dehydroepiandrosterone	Adipocytokine signaling pathway
 dexfosfoserine	Adipocytokine signaling pathway
 dorsomorphin	Adipocytokine signaling pathway
 elafibranor	Adipocytokine signaling pathway
 enilconazole	Adipocytokine signaling pathway
 enzastaurin	Adipocytokine signaling pathway
 ephedrine-(racemic)	Adipocytokine signaling pathway
 epinephrine	Adipocytokine signaling pathway
 etofibrate	Adipocytokine signaling pathway
 etofylline-clofibrate	Adipocytokine signaling pathway
 etomoxir	Adipocytokine signaling pathway
 etretinate	Adipocytokine signaling pathway
 everolimus	Adipocytokine signaling pathway
 fedratinib	Adipocytokine signaling pathway
 fenofibrate	Adipocytokine signaling pathway
 fenofibric-acid	Adipocytokine signaling pathway
 filgotinib	Adipocytokine signaling pathway
 flurizan	Adipocytokine signaling pathway
 gdc-0068	Adipocytokine signaling pathway
 gdc-0980	Adipocytokine signaling pathway
 gemfibrozil	Adipocytokine signaling pathway
 glyburide	Adipocytokine signaling pathway
 glycitein	Adipocytokine signaling pathway
 gs-143	Adipocytokine signaling pathway
 gsk2110183	Adipocytokine signaling pathway
 gsk2126458	Adipocytokine signaling pathway
 gsk690693	Adipocytokine signaling pathway
 gw-501516	Adipocytokine signaling pathway
 gw-6471	Adipocytokine signaling pathway
 gw-7647	Adipocytokine signaling pathway
 gw-9662	Adipocytokine signaling pathway
 hexamethylenebisacetamide	Adipocytokine signaling pathway
 hypoestoxide	Adipocytokine signaling pathway
 icosapent	Adipocytokine signaling pathway
 ikk-16	Adipocytokine signaling pathway
 ikk-2-inhibitor-v	Adipocytokine signaling pathway
 ikk-2-inhibitor	Adipocytokine signaling pathway
 indeglitazar	Adipocytokine signaling pathway
 indomethacin	Adipocytokine signaling pathway
 jte-607	Adipocytokine signaling pathway
 kd-023	Adipocytokine signaling pathway
 kn-62	Adipocytokine signaling pathway
 ku-0063794	Adipocytokine signaling pathway
 lenalidomide	Adipocytokine signaling pathway
 ligustilide	Adipocytokine signaling pathway
 loperamide	Adipocytokine signaling pathway
 ly2784544	Adipocytokine signaling pathway
 ly294002	Adipocytokine signaling pathway
 ly3023414	Adipocytokine signaling pathway
 meisoindigo	Adipocytokine signaling pathway
 mesalazine	Adipocytokine signaling pathway
 metformin	Adipocytokine signaling pathway
 mk-2206	Adipocytokine signaling pathway
 mln0128	Adipocytokine signaling pathway
 napabucasin	Adipocytokine signaling pathway
 nfkb-activation-inhibitor-ii	Adipocytokine signaling pathway
 niclosamide	Adipocytokine signaling pathway
 ns-018	Adipocytokine signaling pathway
 nvp-bez235	Adipocytokine signaling pathway
 nvp-bsk805	Adipocytokine signaling pathway
 ochromycinone	Adipocytokine signaling pathway
 oleoylethanolamide	Adipocytokine signaling pathway
 osi-027	Adipocytokine signaling pathway
 oxfenicine	Adipocytokine signaling pathway
 pa-452	Adipocytokine signaling pathway
 pacritinib	Adipocytokine signaling pathway
 palomid-529	Adipocytokine signaling pathway
 parthenolide-(alternate-stereo)	Adipocytokine signaling pathway
 pd-98059	Adipocytokine signaling pathway
 peficitinib	Adipocytokine signaling pathway
 pentoxifylline	Adipocytokine signaling pathway
 peretinoin	Adipocytokine signaling pathway
 perhexiline	Adipocytokine signaling pathway
 perifosine	Adipocytokine signaling pathway
 pf-04691502	Adipocytokine signaling pathway
 pf-05212384	Adipocytokine signaling pathway
 pf-573228	Adipocytokine signaling pathway
 pgl5001	Adipocytokine signaling pathway
 phenformin	Adipocytokine signaling pathway
 pht-427	Adipocytokine signaling pathway
 pi-103	Adipocytokine signaling pathway
 pirfenidone	Adipocytokine signaling pathway
 pirinixic-acid	Adipocytokine signaling pathway
 pki-179	Adipocytokine signaling pathway
 pp-121	Adipocytokine signaling pathway
 pp242	Adipocytokine signaling pathway
 pranlukast	Adipocytokine signaling pathway
 pyrazolanthrone	Adipocytokine signaling pathway
 pyrrolidine-dithiocarbamate	Adipocytokine signaling pathway
 retinol	Adipocytokine signaling pathway
 rgb-286638	Adipocytokine signaling pathway
 ruxolitinib-(s)	Adipocytokine signaling pathway
 ruxolitinib	Adipocytokine signaling pathway
 sar-245409	Adipocytokine signaling pathway
 saroglitazar	Adipocytokine signaling pathway
 sb-202190	Adipocytokine signaling pathway
 sb-203580	Adipocytokine signaling pathway
 sb-2343	Adipocytokine signaling pathway
 sb-747651a	Adipocytokine signaling pathway
 shp099	Adipocytokine signaling pathway
 sirolimus	Adipocytokine signaling pathway
 sotrastaurin	Adipocytokine signaling pathway
 sp-100030	Adipocytokine signaling pathway
 sr-3306	Adipocytokine signaling pathway
 sr-3576	Adipocytokine signaling pathway
 stat3-inhibitor-vi	Adipocytokine signaling pathway
 stf-31	Adipocytokine signaling pathway
 su3327	Adipocytokine signaling pathway
 sulfasalazine	Adipocytokine signaling pathway
 t-0901317	Adipocytokine signaling pathway
 talmapimod	Adipocytokine signaling pathway
 tamoxifen	Adipocytokine signaling pathway
 tanshinone-iia	Adipocytokine signaling pathway
 taxifolin	Adipocytokine signaling pathway
 tazarotene	Adipocytokine signaling pathway
 temsirolimus	Adipocytokine signaling pathway
 tesaglitazar	Adipocytokine signaling pathway
 tg-02	Adipocytokine signaling pathway
 tg-101209	Adipocytokine signaling pathway
 thalidomide	Adipocytokine signaling pathway
 thiram	Adipocytokine signaling pathway
 tic10	Adipocytokine signaling pathway
 tofacitinib	Adipocytokine signaling pathway
 torin-1	Adipocytokine signaling pathway
 torin-2	Adipocytokine signaling pathway
 tpca-1	Adipocytokine signaling pathway
 tretinoin	Adipocytokine signaling pathway
